variant,cell,outgoing_path_score,incoming_path_score,net_out_minus_in
with_self,CA3c Pyramidal,300.70231600309523,1.0940990678073372,299.6082169352879
with_self,EC LI II Multipolar Pyramidal,291.319706740703,6.348488503734125,284.97121823696887
with_self,CA3 Pyramidal,202.23211961618944,1.3541947712546727,200.87792484493477
with_self,EC LI II Pyramidal Fan,98.30891878673107,0.7758567045203486,97.53306208221072
with_self,CA2 Pyramidal,57.91054700409927,5.065881377865561,52.84466562623371
with_self,EC LII III Pyramidal Tripolar,57.17043177962843,7.825160559359618,49.34527122026881
with_self,MEC LII Stellate,57.140984377448866,6.875329057088887,50.26565532035998
with_self,DG Granule,54.27002184075043,2.839643251467335,51.430378589283094
with_self,MEC LV Pyramidal,28.37409563851461,2.624853451927174,25.749242186587438
with_self,CA1 Pyramidal,14.987981690625594,9.370290223344629,5.617691467280965
with_self,EC LIII Pyramidal Stellate,12.168083886769196,5.529709134123887,6.638374752645309
with_self,MEC LIII Complex Pyramidal,8.270800940078203,5.259307868125355,3.011493071952848
with_self,DG Semilunar Granule,7.850703629977949,0.1911735750430904,7.659530054934859
with_self,CA3 Basket CCK+,7.4060423728824,2.378354180108255,5.027688192774145
with_self,LEC LIII Multipolar Principal,5.633654479340042,4.268901731348647,1.3647527479913952
with_self,DG Mossy,3.6993619908162714,7.056111042952285,-3.3567490521360135
with_self,LEC LIII Complex Pyramidal,3.376784137632406,5.097631247322712,-1.7208471096903062
with_self,CA3 Basket,3.270131579873799,10.90477218707175,-7.634640607197951
with_self,MEC LII III Pyramidal Multiform,2.997233744605438,5.869504448891419,-2.8722707042859814
with_self,CA2 Wide Arbor Basket,2.8183034862848193,8.033577220847253,-5.215273734562434
no_self,EC LI II Multipolar Pyramidal,817.5866200469881,5.259048519207902,812.3275715277802
no_self,CA3c Pyramidal,777.8448024193162,3.2318347975774158,774.6129676217388
no_self,CA3 Pyramidal,499.8738131069445,2.831854258096426,497.0419588488481
no_self,EC LI II Pyramidal Fan,472.17497921173174,1.2577083601147008,470.91727085161705
no_self,EC LII III Pyramidal Tripolar,259.54849716775993,11.439835102515662,248.10866206524426
no_self,MEC LII Stellate,230.89511853473,11.348220830804681,219.5468977039253
no_self,CA2 Pyramidal,162.26032138098773,14.061341840983433,148.1989795400043
no_self,DG Granule,133.68025472122696,7.909618343652253,125.7706363775747
no_self,MEC LV Pyramidal,112.38314030314322,8.31051052916922,104.072629773974
no_self,CA1 Pyramidal,45.192610821344005,25.501005027741787,19.691605793602218
no_self,MEC LIII Complex Pyramidal,41.17048583582734,9.148707437480352,32.02177839834699
no_self,EC LIII Pyramidal Stellate,31.127068099111046,9.86861855656637,21.258449542544675
no_self,CA3 Basket CCK+,30.99066424370548,6.108165315721946,24.882498927983534
no_self,LEC LIII Multipolar Principal,28.740861102567692,11.441745085760687,17.299116016807005
no_self,LEC LIII Complex Pyramidal,18.029128933283406,9.21608741797758,8.813041515305827
no_self,DG Semilunar Granule,17.19663985652741,0.4908324235420698,16.70580743298534
no_self,MEC LII III Pyramidal Multiform,16.07089149791439,9.1015635370593,6.969327960855088
no_self,CA3 Basket,13.817900463925898,33.75968488415101,-19.941784420225108
no_self,EC LIV VI Deep Multipolar Principal,13.683431429070296,9.522598035565032,4.160833393505264
no_self,EC LIII V Bipolar Pyramidal,11.35563571771877,12.72628782377698,-1.3706521060582109
