pathway,n_edges,mean_degree,mean_betweenness,internal_density,total_weight
EC→DG,41,0,0,0.297441998810232,2048507.401905
DG→CA3,26,0,0,0.3698224852071006,694030.0117545511
CA3→CA1,66,0,0,0.3379247015610652,39839523.752757795
CA1→EC,9,0,0,0.8888888888888888,1945274.45914
CA3→CA3,70,0,0,0.37020408163265306,1443200.9273790522
CA1→CA1,339,0,0,0.16839394018499665,806058.11816875
