edge_label,source_node,target_node,source_idx,target_idx,original_weight
CA3 Trilaminar→CA1 Oriens Bistratified,CA3 Trilaminar,CA1 Oriens Bistratified,22,41,-342.3900395
CA3 Trilaminar→CA1 OR LM,CA3 Trilaminar,CA1 OR LM,22,42,-528.7711222
CA3 Trilaminar→CA1 Perforant Path Associated,CA3 Trilaminar,CA1 Perforant Path Associated,22,43,-122.6980578
CA3 Trilaminar→CA1 Perforant Path Associated QuadD,CA3 Trilaminar,CA1 Perforant Path Associated QuadD,22,44,-1637.045385
CA3 Trilaminar→CA1 Radiatum,CA3 Trilaminar,CA1 Radiatum,22,45,-233.8953891
CA3 Trilaminar→CA1 R Receiving Apical Targeting,CA3 Trilaminar,CA1 R Receiving Apical Targeting,22,46,-354.3182666
CA3 Trilaminar→CA1 Schaffer Collateral Associated,CA3 Trilaminar,CA1 Schaffer Collateral Associated,22,47,-601.7736217
CA3 Trilaminar→CA1 SO SO,CA3 Trilaminar,CA1 SO SO,22,48,-611.5928072
CA3 Trilaminar→CA1 Trilaminar,CA3 Trilaminar,CA1 Trilaminar,22,49,-709.7553592
CA3 Trilaminar→CA1 Radial Trilaminar,CA3 Trilaminar,CA1 Radial Trilaminar,22,50,-1162.135946
