edge_label,source_node,target_node,source_idx,target_idx,original_weight
DG HICAP→DG Basket,DG HICAP,DG Basket,6,5,-74.92934952
DG HICAP→DG HIPROM,DG HICAP,DG HIPROM,6,8,-198.4055371
DG HICAP→DG MOLAX,DG HICAP,DG MOLAX,6,9,-157.5078307
DG HICAP→DG Total Molecular Layer,DG HICAP,DG Total Molecular Layer,6,12,-86.26670516
DG HIPP→DG Granule,DG HIPP,DG Granule,7,0,-4519.965682
DG HIPP→DG Semilunar Granule,DG HIPP,DG Semilunar Granule,7,1,-4421.758813
DG HIPP→DG AIPRIM,DG HIPP,DG AIPRIM,7,3,-2244.483387
DG HIPP→DG Axo Axonic,DG HIPP,DG Axo Axonic,7,4,-3199.135215
DG HIPP→DG Basket,DG HIPP,DG Basket,7,5,-3295.452961
DG HIPP→DG HICAP,DG HIPP,DG HICAP,7,6,-2376.60981
DG HIPP→DG MOLAX,DG HIPP,DG MOLAX,7,9,-3142.627402
DG HIPP→DG MOPP,DG HIPP,DG MOPP,7,10,-5264.097257
DG HIPP→DG Neurogliaform,DG HIPP,DG Neurogliaform,7,11,-3892.431416
DG HIPP→DG Total Molecular Layer,DG HIPP,DG Total Molecular Layer,7,12,-2415.954003
DG HIPP→CA1 Neurogliaform Projecting,DG HIPP,CA1 Neurogliaform Projecting,7,37,-5463.381349
DG HIPROM→DG Granule,DG HIPROM,DG Granule,8,0,-7.197889979
DG HIPROM→DG Semilunar Granule,DG HIPROM,DG Semilunar Granule,8,1,-7.083911848
DG HIPROM→DG Mossy,DG HIPROM,DG Mossy,8,2,-10.87005829
DG HIPROM→DG AIPRIM,DG HIPROM,DG AIPRIM,8,3,-16.43796539
DG HIPROM→DG Axo Axonic,DG HIPROM,DG Axo Axonic,8,4,-12.12859923
DG HIPROM→DG Basket,DG HIPROM,DG Basket,8,5,-13.70280371
DG HIPROM→DG HICAP,DG HIPROM,DG HICAP,8,6,-13.40606855
DG HIPROM→DG HIPP,DG HIPROM,DG HIPP,8,7,-6.480757406
DG HIPROM→DG MOLAX,DG HIPROM,DG MOLAX,8,9,-16.76995865
DG HIPROM→DG MOPP,DG HIPROM,DG MOPP,8,10,-3.530191984
DG HIPROM→DG Neurogliaform,DG HIPROM,DG Neurogliaform,8,11,-2.564272067
DG HIPROM→DG Total Molecular Layer,DG HIPROM,DG Total Molecular Layer,8,12,-12.9948577
DG HIPROM→CA3 Pyramidal,DG HIPROM,CA3 Pyramidal,8,13,-8.449511821
DG HIPROM→CA3c Pyramidal,DG HIPROM,CA3c Pyramidal,8,14,-7.819844383
DG HIPROM→CA3 Granule,DG HIPROM,CA3 Granule,8,15,-0.182094239
DG HIPROM→CA3 Axo Axonic,DG HIPROM,CA3 Axo Axonic,8,16,-4.732231259
DG HIPROM→CA3 Basket,DG HIPROM,CA3 Basket,8,17,-4.023225259
DG HIPROM→CA3 LMR Targeting,DG HIPROM,CA3 LMR Targeting,8,18,-1.405551099
DG HIPROM→CA3 Lucidum ORAX,DG HIPROM,CA3 Lucidum ORAX,8,19,-2.613670653
DG HIPROM→CA3 Spiny Lucidum,DG HIPROM,CA3 Spiny Lucidum,8,20,-13.41277192
DG HIPROM→CA3 Mossy Fiber Associated ORDEN,DG HIPROM,CA3 Mossy Fiber Associated ORDEN,8,21,-7.843745093
DG HIPROM→CA3 Trilaminar,DG HIPROM,CA3 Trilaminar,8,22,-3.543581723
DG HIPROM→CA2 Wide Arbor Basket,DG HIPROM,CA2 Wide Arbor Basket,8,24,-0.710758099
DG HIPROM→CA1 Neurogliaform Projecting,DG HIPROM,CA1 Neurogliaform Projecting,8,37,-3.580912371
DG MOLAX→DG Granule,DG MOLAX,DG Granule,9,0,-3449.792253
DG MOLAX→DG Semilunar Granule,DG MOLAX,DG Semilunar Granule,9,1,-3165.375504
DG MOLAX→DG AIPRIM,DG MOLAX,DG AIPRIM,9,3,-1899.055877
DG MOLAX→DG Axo Axonic,DG MOLAX,DG Axo Axonic,9,4,-2035.04661
DG MOLAX→DG Basket,DG MOLAX,DG Basket,9,5,-2118.6821
DG MOLAX→DG HICAP,DG MOLAX,DG HICAP,9,6,-2023.699037
DG MOLAX→DG HIPROM,DG MOLAX,DG HIPROM,9,8,-1657.586868
DG MOLAX→DG MOPP,DG MOLAX,DG MOPP,9,10,-1795.936044
DG MOLAX→DG Neurogliaform,DG MOLAX,DG Neurogliaform,9,11,-1340.953477
DG MOLAX→DG Total Molecular Layer,DG MOLAX,DG Total Molecular Layer,9,12,-1995.546035
DG MOLAX→CA1 Neurogliaform Projecting,DG MOLAX,CA1 Neurogliaform Projecting,9,37,-1904.106606
DG MOPP→DG Granule,DG MOPP,DG Granule,10,0,-141.225297
DG MOPP→DG Semilunar Granule,DG MOPP,DG Semilunar Granule,10,1,-130.0950272
DG MOPP→DG AIPRIM,DG MOPP,DG AIPRIM,10,3,-76.56289324
DG MOPP→DG Axo Axonic,DG MOPP,DG Axo Axonic,10,4,-87.67444964
DG MOPP→DG Basket,DG MOPP,DG Basket,10,5,-89.7931889
DG MOPP→DG HICAP,DG MOPP,DG HICAP,10,6,-74.88297667
DG MOPP→DG MOLAX,DG MOPP,DG MOLAX,10,9,-119.1670812
DG MOPP→DG Neurogliaform,DG MOPP,DG Neurogliaform,10,11,-119.8869153
DG MOPP→DG Total Molecular Layer,DG MOPP,DG Total Molecular Layer,10,12,-90.38432397
DG MOPP→CA1 Neurogliaform Projecting,DG MOPP,CA1 Neurogliaform Projecting,10,37,-184.7396436
DG Neurogliaform→DG Granule,DG Neurogliaform,DG Granule,11,0,-48.70676802
DG Neurogliaform→DG Semilunar Granule,DG Neurogliaform,DG Semilunar Granule,11,1,-52.29438009
DG Neurogliaform→DG AIPRIM,DG Neurogliaform,DG AIPRIM,11,3,-16.48470015
DG Neurogliaform→DG Axo Axonic,DG Neurogliaform,DG Axo Axonic,11,4,-39.49972998
DG Neurogliaform→DG Basket,DG Neurogliaform,DG Basket,11,5,-19.15346085
DG Neurogliaform→DG HICAP,DG Neurogliaform,DG HICAP,11,6,-16.75227523
DG Neurogliaform→DG MOLAX,DG Neurogliaform,DG MOLAX,11,9,-42.37004596
DG Neurogliaform→DG MOPP,DG Neurogliaform,DG MOPP,11,10,-12.59870291
DG Neurogliaform→DG Total Molecular Layer,DG Neurogliaform,DG Total Molecular Layer,11,12,-15.68517814
DG Neurogliaform→CA1 Neurogliaform Projecting,DG Neurogliaform,CA1 Neurogliaform Projecting,11,37,-32.1361705
DG Total Molecular Layer→DG Granule,DG Total Molecular Layer,DG Granule,12,0,-4088.47068
DG Total Molecular Layer→DG Semilunar Granule,DG Total Molecular Layer,DG Semilunar Granule,12,1,-3909.870445
DG Total Molecular Layer→DG Mossy,DG Total Molecular Layer,DG Mossy,12,2,-5027.841134
DG Total Molecular Layer→DG AIPRIM,DG Total Molecular Layer,DG AIPRIM,12,3,-4666.196837
DG Total Molecular Layer→DG Axo Axonic,DG Total Molecular Layer,DG Axo Axonic,12,4,-3496.86551
DG Total Molecular Layer→DG Basket,DG Total Molecular Layer,DG Basket,12,5,-3556.482476
DG Total Molecular Layer→DG HICAP,DG Total Molecular Layer,DG HICAP,12,6,-3940.760581
DG Total Molecular Layer→DG HIPP,DG Total Molecular Layer,DG HIPP,12,7,-2498.027912
DG Total Molecular Layer→DG HIPROM,DG Total Molecular Layer,DG HIPROM,12,8,-6450.7415
DG Total Molecular Layer→DG MOLAX,DG Total Molecular Layer,DG MOLAX,12,9,-7452.518615
DG Total Molecular Layer→DG MOPP,DG Total Molecular Layer,DG MOPP,12,10,-1769.660126
DG Total Molecular Layer→DG Neurogliaform,DG Total Molecular Layer,DG Neurogliaform,12,11,-1405.900723
DG Total Molecular Layer→CA1 Neurogliaform Projecting,DG Total Molecular Layer,CA1 Neurogliaform Projecting,12,37,-2118.724267
CA3 Pyramidal→CA3c Pyramidal,CA3 Pyramidal,CA3c Pyramidal,13,14,395693.8458
CA3 Pyramidal→CA3 Granule,CA3 Pyramidal,CA3 Granule,13,15,41592.49664
CA3 Pyramidal→CA3 Axo Axonic,CA3 Pyramidal,CA3 Axo Axonic,13,16,175688.468
CA3 Pyramidal→CA3 Basket,CA3 Pyramidal,CA3 Basket,13,17,229695.88
CA3 Pyramidal→CA3 LMR Targeting,CA3 Pyramidal,CA3 LMR Targeting,13,18,29902.14385
CA3 Pyramidal→CA3 Lucidum ORAX,CA3 Pyramidal,CA3 Lucidum ORAX,13,19,96208.96061
CA3 Pyramidal→CA3 Mossy Fiber Associated ORDEN,CA3 Pyramidal,CA3 Mossy Fiber Associated ORDEN,13,21,203028.4106
CA3 Pyramidal→CA3 Trilaminar,CA3 Pyramidal,CA3 Trilaminar,13,22,185716.6009
CA3 Pyramidal→CA2 Basket,CA3 Pyramidal,CA2 Basket,13,23,485909.8258
CA3 Pyramidal→CA2 Wide Arbor Basket,CA3 Pyramidal,CA2 Wide Arbor Basket,13,24,196409.1927
CA3 Pyramidal→CA2 Bistratified,CA3 Pyramidal,CA2 Bistratified,13,25,468952.7398
CA3 Pyramidal→CA2 SP SR,CA3 Pyramidal,CA2 SP SR,13,26,278151.1629
CA3 Pyramidal→CA1 Pyramidal,CA3 Pyramidal,CA1 Pyramidal,13,27,380827.9828
CA3 Pyramidal→CA1 Radiatum Giant,CA3 Pyramidal,CA1 Radiatum Giant,13,28,165936.0382
CA3 Pyramidal→CA1 Axo Axonic,CA3 Pyramidal,CA1 Axo Axonic,13,29,159502.0083
CA3 Pyramidal→CA1 Horizontal Axo Axonic,CA3 Pyramidal,CA1 Horizontal Axo Axonic,13,30,330795.0048
CA3 Pyramidal→CA1 Basket,CA3 Pyramidal,CA1 Basket,13,31,228141.6357
CA3 Pyramidal→CA1 Basket CCK+,CA3 Pyramidal,CA1 Basket CCK+,13,32,156057.7545
CA3 Pyramidal→CA1 Horizontal Basket,CA3 Pyramidal,CA1 Horizontal Basket,13,33,755237.5847
CA3 Pyramidal→CA1 Ivy,CA3 Pyramidal,CA1 Ivy,13,34,69076.63515
CA3 Pyramidal→CA1 LMR,CA3 Pyramidal,CA1 LMR,13,35,32725.76193
CA3 Pyramidal→CA1 Recurrent O LM,CA3 Pyramidal,CA1 Recurrent O LM,13,38,2081164.348
CA3 Pyramidal→CA1 O LMR,CA3 Pyramidal,CA1 O LMR,13,39,673425.8315
CA3 Pyramidal→CA1 Oriens Alveus,CA3 Pyramidal,CA1 Oriens Alveus,13,40,124756.4419
CA3 Pyramidal→CA1 Oriens Bistratified,CA3 Pyramidal,CA1 Oriens Bistratified,13,41,476142.3705
CA3 Pyramidal→CA1 OR LM,CA3 Pyramidal,CA1 OR LM,13,42,530494.5778
CA3 Pyramidal→CA1 Perforant Path Associated,CA3 Pyramidal,CA1 Perforant Path Associated,13,43,78833.56183
CA3 Pyramidal→CA1 Perforant Path Associated QuadD,CA3 Pyramidal,CA1 Perforant Path Associated QuadD,13,44,584453.5674
CA3 Pyramidal→CA1 Radiatum,CA3 Pyramidal,CA1 Radiatum,13,45,77702.49045
CA3 Pyramidal→CA1 R Receiving Apical Targeting,CA3 Pyramidal,CA1 R Receiving Apical Targeting,13,46,212463.5636
CA3 Pyramidal→CA1 Schaffer Collateral Associated,CA3 Pyramidal,CA1 Schaffer Collateral Associated,13,47,405597.7514
CA3 Pyramidal→CA1 SO SO,CA3 Pyramidal,CA1 SO SO,13,48,1082066.721
CA3 Pyramidal→CA1 Trilaminar,CA3 Pyramidal,CA1 Trilaminar,13,49,2030611.127
CA3 Pyramidal→CA1 Radial Trilaminar,CA3 Pyramidal,CA1 Radial Trilaminar,13,50,48612.11039
CA3c Pyramidal→DG Granule,CA3c Pyramidal,DG Granule,14,0,160418.7567
CA3c Pyramidal→DG Semilunar Granule,CA3c Pyramidal,DG Semilunar Granule,14,1,87352.46675
CA3c Pyramidal→DG Mossy,CA3c Pyramidal,DG Mossy,14,2,33393.42822
CA3c Pyramidal→DG AIPRIM,CA3c Pyramidal,DG AIPRIM,14,3,108136.7762
CA3c Pyramidal→DG Axo Axonic,CA3c Pyramidal,DG Axo Axonic,14,4,143794.6172
CA3c Pyramidal→DG Basket,CA3c Pyramidal,DG Basket,14,5,96808.27901
CA3c Pyramidal→DG HICAP,CA3c Pyramidal,DG HICAP,14,6,82111.44265
CA3c Pyramidal→DG HIPP,CA3c Pyramidal,DG HIPP,14,7,18549.9662
CA3c Pyramidal→DG HIPROM,CA3c Pyramidal,DG HIPROM,14,8,164558.2794
CA3c Pyramidal→DG MOLAX,CA3c Pyramidal,DG MOLAX,14,9,108931.5881
CA3c Pyramidal→DG Total Molecular Layer,CA3c Pyramidal,DG Total Molecular Layer,14,12,72103.63782
CA3c Pyramidal→CA3 Pyramidal,CA3c Pyramidal,CA3 Pyramidal,14,13,31089.11555
CA3c Pyramidal→CA3 Granule,CA3c Pyramidal,CA3 Granule,14,15,5108.886819
CA3c Pyramidal→CA3 Axo Axonic,CA3c Pyramidal,CA3 Axo Axonic,14,16,19320.76491
CA3c Pyramidal→CA3 Basket,CA3c Pyramidal,CA3 Basket,14,17,25171.51724
CA3c Pyramidal→CA3 LMR Targeting,CA3c Pyramidal,CA3 LMR Targeting,14,18,4152.834731
CA3c Pyramidal→CA3 Lucidum ORAX,CA3c Pyramidal,CA3 Lucidum ORAX,14,19,12467.06147
CA3c Pyramidal→CA3 Mossy Fiber Associated ORDEN,CA3c Pyramidal,CA3 Mossy Fiber Associated ORDEN,14,21,19935.28605
