variant,node_ei_signature,observed_count,null_mean,null_sd,null_p95,enrichment_ratio,z_score,empirical_p_ge,significant_enriched
self_free,1E-2I,2318,9518.35,314.703080613089,9981.85,0.24352960334511758,-22.8798205151746,1.0,False
self_free,0E-3I,1607,5001.75,343.34559465416334,5547.1,0.3212875493577248,-9.887268259315748,1.0,False
self_free,2E-1I,1454,5632.85,209.59466520932858,5944.55,0.2581286560089475,-19.937768911372125,1.0,False
self_free,3E-0I,364,1038.35,118.4839651598477,1187.65,0.35055617084798,-5.6914874438092005,1.0,False
with_self_connections,1E-2I,2318,9453.8,468.76788106246084,10090.05,0.24519240940151052,-15.222459320008726,1.0,False
with_self_connections,0E-3I,1607,5015.95,239.34636320392957,5416.35,0.32037799419850677,-14.242748268105007,1.0,False
with_self_connections,2E-1I,1454,5640.6,210.93910321028173,5913.8,0.25777399567421905,-19.84743433665994,1.0,False
with_self_connections,3E-0I,364,1062.1,112.4997777775583,1244.7,0.34271725826193394,-6.205345590818211,1.0,False
