variant,edge_ei_signature,triad_count,total_abs_weight,median_abs_weight,mean_spectral_radius,max_spectral_radius,within_region_rate
self_free,I->I + I->I,1607,416741.7956849519,133.17029915441685,0.0,0.0,0.19788425637834475
self_free,E->I + E->I,1095,94874103.31855153,21985.083100300384,0.0,0.0,0.0
self_free,I->I + E->I,841,14226590.272373796,3404.16901531941,0.0,0.0,0.0047562425683709865
self_free,E->I + E->E,801,23375207.77120567,8577.780707287862,0.0,0.0,0.0024968789013732834
self_free,E->E + E->E,364,3198841.4813205698,3851.1357231753864,0.0,0.0,0.03021978021978022
self_free,E->E + E->I,245,3342609.7818453233,3979.841064925218,0.0,0.0,0.0
self_free,I->I + I->E,153,27909.279352363497,106.76431456228491,0.0,0.0,0.0
self_free,I->E + E->I,147,7300907.676033039,1190.203393682667,0.0,0.0,0.05442176870748299
self_free,I->E + I->I,132,14366.204636138671,38.986910956304555,0.0,0.0,0.015151515151515152
self_free,I->E + E->E,115,710963.5910164531,3009.6200396259587,0.0,0.0,0.0
self_free,E->I + I->E,87,5127501.537671072,12483.851576530671,0.0,0.0,0.0
self_free,E->E + I->E,71,374647.98705699603,3900.4538519093376,0.0,0.0,0.0
self_free,I->E + I->E,48,2130.4348674258645,17.781197303437622,0.0,0.0,0.08333333333333333
self_free,E->I + I->I,37,330019.90931100684,4085.4341919356225,0.0,0.0,0.05405405405405406
with_self_connections,I->I + I->I,1607,1475749.942367001,643.7296626468913,533.6731414686603,2739.6290265605458,0.19788425637834475
with_self_connections,E->I + E->I,1095,97374732.90293927,24833.011699993804,1810.4584085475972,3278.450765697168,0.0
with_self_connections,I->I + E->I,841,15137714.0565999,4238.15402527054,893.9391211122969,3278.450765697168,0.0047562425683709865
with_self_connections,E->I + E->E,801,24877595.949969072,10858.987177095267,1516.2884564053024,4691.989954689168,0.0024968789013732834
with_self_connections,E->E + E->E,364,4476061.132541067,6020.45460289389,2721.4044205614778,18296.078460202098,0.03021978021978022
with_self_connections,E->E + E->I,245,4335607.861239766,6642.33922728731,3337.975402977176,18296.078460202098,0.0
with_self_connections,I->I + I->E,153,154801.3388191392,632.5287314352491,672.9271006847013,3278.450765697168,0.0
with_self_connections,I->E + E->I,147,7431533.74456152,2768.5618210579028,748.9770189197583,3278.450765697168,0.05442176870748299
with_self_connections,I->E + I->I,132,206173.73722136815,644.197801064469,1245.201538922114,3278.450765697168,0.015151515151515152
with_self_connections,I->E + E->E,115,986161.1355566232,4706.049345115262,1929.1455884899256,3278.450765697168,0.0
with_self_connections,E->I + I->E,87,5327257.890985471,15406.687791041564,2197.363799654622,3278.450765697168,0.0
with_self_connections,E->E + I->E,71,625481.1907967957,7297.312277583278,2811.621408831973,4691.989954689168,0.0
with_self_connections,I->E + I->E,48,72614.67742468453,968.6974381091175,1361.7635400025345,2793.7555172355333,0.08333333333333333
with_self_connections,E->I + I->I,37,393897.03459494363,6273.907520530055,1523.6882989070834,2739.6290265605458,0.05405405405405406
