dominant_region,n_modes,mean_high_loading_inhibitory,max_high_loading_inhibitory,mean_dominant_loading
CA1,26,25.46153846153846,33,0.4287464183800639
CA3,15,27.666666666666668,32,0.40275723215009424
DG,15,26.2,35,0.416674876425695
MEC,12,22.166666666666668,32,0.4580935636009187
CA2,8,26.875,33,0.41609718858698386
EC,7,24.857142857142858,35,0.43982704785722315
LEC,1,32.0,32,0.3842947832106779
SUB,1,31.0,31,0.43079988212591874
