seed_mode,eigenvalue,timestep,loading_rank,cell_type,initial_mode_loading,signal_real,signal_imag,signal_magnitude
0,(0.9499999999999992+0j),0,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.6703921326931578,4.6266314297536504e-05,0.670392134289665
0,(0.9499999999999992+0j),0,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.4927893978156722,3.4009273155162734e-05,0.4927893989892269
0,(0.9499999999999992+0j),0,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.2874237007986318,1.983620425897386e-05,0.28742370148311774
0,(0.9499999999999992+0j),0,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.22740329471565918,1.56939674446114e-05,0.2274032952572094
0,(0.9499999999999992+0j),0,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.19408939572586037,1.3394848397753649e-05,0.1940893961880751
0,(0.9499999999999992+0j),1,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.6368725260584993,4.395299858265964e-05,0.6368725275751812
0,(0.9499999999999992+0j),1,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.4681499279248882,3.230880949740457e-05,0.46814992903976516
0,(0.9499999999999992+0j),1,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.27305251575869993,1.8844394046025154e-05,0.2730525164089616
0,(0.9499999999999992+0j),1,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.21603312997987603,1.4909269072380819e-05,0.21603313049434875
0,(0.9499999999999992+0j),1,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.18438492593956718,1.2725105977865956e-05,0.18438492637867118
0,(0.9499999999999992+0j),2,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.6050288997555738,4.175534865352662e-05,0.6050289011964216
0,(0.9499999999999992+0j),2,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.4447424315286434,3.069336902253431e-05,0.4447424325877765
0,(0.9499999999999992+0j),2,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.25939988997076474,1.7902174343723878e-05,0.2593998905885133
0,(0.9499999999999992+0j),2,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.20523147348088205,1.4163805618761764e-05,0.20523147396963112
0,(0.9499999999999992+0j),2,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.17516567964258867,1.2088850678972646e-05,0.17516568005973746
0,(0.9499999999999992+0j),3,1,MEC LIII Superficial Multipolar Interneuron (I),(0.6703921326931578+4.6266314297536504e-05j),0.5747774547677946,3.9667581220850255e-05,0.5747774561366
0,(0.9499999999999992+0j),3,2,CA1 Trilaminar (I),(0.4927893978156722+3.4009273155162734e-05j),0.42250530995221086,2.915870057140757e-05,0.42250531095838734
0,(0.9499999999999992+0j),3,3,CA1 Perforant Path Associated QuadD (I),(0.2874237007986318+1.983620425897386e-05j),0.24642989547222627,1.700706562653767e-05,0.24642989605908744
0,(0.9499999999999992+0j),3,4,CA1 Perforant Path Associated (I),(0.22740329471565918+1.56939674446114e-05j),0.1949698998068378,1.3455615337823665e-05,0.1949699002711494
0,(0.9499999999999992+0j),3,5,DG Axo Axonic (I),(0.19408939572586037+1.3394848397753649e-05j),0.1664073956604591,1.1484408145024004e-05,0.16640739605675045
