mode,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,cell_index,cell_type,region,ei,loading_rank,loading_real,loading_imag,loading_magnitude,energy_fraction
0,0.9499999999999992,0.0,0.9499999999999992,78,MEC LIII Superficial Multipolar Interneuron (I),MEC,i,1,0.6703921326931578,4.6266314297536504e-05,0.670392134289665,0.44942561371745227
0,0.9499999999999992,0.0,0.9499999999999992,27,CA1 Trilaminar (I),CA1,i,2,0.4927893978156722,3.4009273155162734e-05,0.49278939898922697,0.24284139175616354
0,0.9499999999999992,0.0,0.9499999999999992,17,CA1 Perforant Path Associated QuadD (I),CA1,i,3,0.2874237007986318,1.983620425897386e-05,0.2874237014831178,0.08261238417425641
0,0.9499999999999992,0.0,0.9499999999999992,16,CA1 Perforant Path Associated (I),CA1,i,4,0.22740329471565918,1.56939674446114e-05,0.2274032952572094,0.051712258693837554
0,0.9499999999999992,0.0,0.9499999999999992,48,DG Axo Axonic (I),DG,i,5,0.19408939572586037,1.3394848397753649e-05,0.1940893961880751,0.03767069371265158
0,0.9499999999999992,0.0,0.9499999999999992,47,DG AIPRIM (I),DG,i,6,0.1377384263496972,9.505853385752646e-06,0.1377384266777148,0.018971874183652215
0,0.9499999999999992,0.0,0.9499999999999992,20,CA1 R Receiving Apical Targeting (I),CA1,i,7,0.1298404625783105,8.960784826117881e-06,0.12984046288751946,0.01685854580284532
0,0.9499999999999992,0.0,0.9499999999999992,13,CA1 OR LM (I),CA1,i,8,0.08987000792736817,6.202271521275196e-06,0.08987000814138935,0.008076618363333387
0,0.9499999999999992,0.0,0.9499999999999992,8,CA1 LMR (I),CA1,i,9,0.08742897615866269,6.033806622131035e-06,0.08742897636687068,0.007643825908558831
0,0.9499999999999992,0.0,0.9499999999999992,3,CA1 Basket CCK+ (I),CA1,i,10,0.0828535284367175,5.718037549028897e-06,0.08285352863402928,0.00686470720710991
0,0.9499999999999992,0.0,0.9499999999999992,28,CA2 Basket (I),CA2,i,11,0.07692452354665984,5.308854340668391e-06,0.07692452372985197,0.005917382351064558
0,0.9499999999999992,0.0,0.9499999999999992,25,CA1 SO SO (I),CA1,i,12,0.07518734832496451,5.188965262504592e-06,0.07518734850401965,0.005653137375064905
0,0.9499999999999992,0.0,0.9499999999999992,2,CA1 Basket (I),CA1,i,13,0.07510058501186476,5.182977395825399e-06,0.07510058519071326,0.00564009789598758
0,0.9499999999999992,0.0,0.9499999999999992,14,CA1 Oriens Alveus (I),CA1,i,14,0.06963782367867552,4.805971431035143e-06,0.06963782384451472,0.004849426509799663
0,0.9499999999999992,0.0,0.9499999999999992,1,CA1 Back Projection (E),CA1,i,15,0.06421017765084676,4.431388907206141e-06,0.06421017780376027,0.0041229469335905084
0,0.9499999999999992,0.0,0.9499999999999992,51,DG HICAP (I),DG,i,16,0.05460228572961663,3.7683116936078698e-06,0.05460228585964941,0.00298140962109887
0,0.9499999999999992,0.0,0.9499999999999992,34,CA3 Basket (I),CA3,i,17,0.052021852153665456,3.5902261448272377e-06,0.05202185227755304,0.0027062731143875506
0,0.9499999999999992,0.0,0.9499999999999992,66,EC LIII Stellate (E),EC,e,18,0.049816343687879,3.438015605819232e-06,0.04981634380651428,0.0024816681102488333
0,0.9499999999999992,0.0,0.9499999999999992,79,MEC LIII Superficial Trilayered Interneuron (I),MEC,i,19,0.0493536053173149,3.4060802685054833e-06,0.04935360543484819,0.0024357783694186766
0,0.9499999999999992,0.0,0.9499999999999992,63,EC LII III Pyramidal Tripolar (E),EC,e,20,0.04929460185325119,3.4020082147329327e-06,0.04929460197064396,0.0024299577834442157
0,0.9499999999999992,0.0,0.9499999999999992,5,CA1 Horizontal Axo Axonic (I),CA1,i,21,0.04589598210839346,3.1674565223350432e-06,0.04589598221769259,0.0021064411837267544
0,0.9499999999999992,0.0,0.9499999999999992,0,CA1 Axo Axonic (I),CA1,i,22,0.04559472077458579,3.1466653303208596e-06,0.045594720883167475,0.0020788785724139484
0,0.9499999999999992,0.0,0.9499999999999992,76,MEC LIII Bipolar Complex Pyramidal (E),MEC,e,23,0.04481366254926143,3.0927615274937374e-06,0.04481366265598306,0.00200826436064425
0,0.9499999999999992,0.0,0.9499999999999992,6,CA1 Horizontal Basket (I),CA1,i,24,0.04387087978921592,3.027696498589926e-06,0.04387087989369236,0.0019246541026467804
0,0.9499999999999992,0.0,0.9499999999999992,75,MEC LII Stellate (E),MEC,e,25,0.04226945696306817,2.9171762102623317e-06,0.04226945706373089,0.0017867070004625894
0,0.9499999999999992,0.0,0.9499999999999992,29,CA2 Bistratified (I),CA2,i,26,0.040857667922109105,2.8197432716799094e-06,0.04085766801940972,0.0016693490359842955
0,0.9499999999999992,0.0,0.9499999999999992,9,CA1 Neurogliaform (I),CA1,i,27,0.04076577598126746,2.8134014588675888e-06,0.04076577607834923,0.0016618484992701106
0,0.9499999999999992,0.0,0.9499999999999992,64,EC LIII Pyramidal (E),EC,e,28,0.039931626068931046,2.755833596517568e-06,0.03993162616402633,0.0015945347681035522
0,0.9499999999999992,0.0,0.9499999999999992,61,EC LI II Multipolar Pyramidal (E),EC,e,29,0.03897694854172779,2.689947664430421e-06,0.03897694863454956,0.001519202524860315
0,0.9499999999999992,0.0,0.9499999999999992,33,CA3 Axo Axonic (I),CA3,i,30,0.036344266616561816,2.508256258080152e-06,0.03634426670311398,0.0013209057221870793
0,0.9499999999999992,0.0,0.9499999999999992,73,MEC LII III Pyramidal Multiform (E),MEC,e,31,0.03608630254332605,2.4904531749176864e-06,0.03608630262926388,0.0013022212374508171
0,0.9499999999999992,0.0,0.9499999999999992,19,CA1 Quadrilaminar (I),CA1,i,32,0.03468536717105887,2.3937692893484056e-06,0.034685367253660435,0.0012030747015212995
0,0.9499999999999992,0.0,0.9499999999999992,65,EC LIII Pyramidal Stellate (E),EC,e,33,0.033788568400464083,2.331877790688811e-06,0.03378856848092997,0.001141667359990494
