mode,dominant_region,dominant_cell_type,dominant_loading,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,n_high_loading_cells,n_high_loading_inhibitory,high_loading_inhibitory_cells
41,CA2,CA2 Wide Arbor Basket (I),0.31555022105507774,-0.00019280450224685097,0.0015802482735383812,0.001591966765390437,50,33,"CA2 Wide Arbor Basket (I), CA1 Schaffer Collateral Associated (I), CA1 Horizontal Axo Axonic (I), CA1 SO SO (I), CA1 Back Projection (E), CA1 Axo Axonic (I), CA3 Mossy Fiber Associated (I), CA1 Radiatum (I), CA2 Bistratified (I), CA1 Basket CCK+ (I), CA1 Neurogliaform (I), CA1 Quadrilaminar (I), CA1 Radial Trilaminar (I), DG MOLAX (I), CA2 SP SR (I), DG HIPROM (I), DG Basket (I), CA1 Oriens Alveus (I), CA1 Perforant Path Associated (I), CA3 Lucidum ORAX (I), CA1 LMR (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Bistratified (I), DG Total Molecular Layer (E), CA1 Ivy (I), CA3 Basket CCK+ (I), CA1 O LMR (I), CA1 R Receiving Apical Targeting (I), DG HIPP (I), CA2 Basket (I), CA1 Perforant Path Associated QuadD (I), DG HICAP (I), CA3 Axo Axonic (I)"
46,CA2,CA2 Wide Arbor Basket (I),0.42163833400472395,-0.0012452687226345543,-5.172215421826809e-19,0.0012452687226345543,43,33,"CA2 Wide Arbor Basket (I), CA1 Axo Axonic (I), CA1 Schaffer Collateral Associated (I), CA1 Basket (I), CA1 Ivy (I), CA3 Basket (I), CA1 Back Projection (E), CA3 LMR Targeting (I), CA1 Horizontal Axo Axonic (I), CA3 Basket CCK+ (I), DG Basket (I), CA3 Axo Axonic (I), CA1 Perforant Path Associated (I), CA1 O LMR (I), CA1 OR LM (I), CA1 Radiatum (I), CA3 Spiny Lucidum (I), CA3 Mossy Fiber Associated ORDEN (I), CA2 Bistratified (I), CA2 SP SR (I), CA1 Neurogliaform Projecting (I), CA1 Basket CCK+ (I), CA2 Basket (I), DG MOLAX (I), DG MOPP (I), DG HICAP (I), CA1 LMR (I), DG Neurogliaform (I), CA1 Neurogliaform (I), CA1 Oriens Alveus (I), CA1 Bistratified (I), CA1 SO SO (I), DG HIPP (I)"
71,CA2,CA2 SP SR (I),0.4697323984080701,-4.4040868290644895e-05,-6.3915809165211275e-21,4.4040868290644895e-05,39,21,"CA2 SP SR (I), CA1 SO SO (I), CA1 Ivy (I), DG HIPP (I), CA2 Wide Arbor Basket (I), CA1 Oriens Alveus (I), CA1 O LM (I), MEC LIII Superficial Trilayered Interneuron (I), CA3 Horizontal Axo Axonic (I), CA1 Basket CCK+ (I), CA1 Schaffer Collateral Associated (I), CA1 Back Projection (E), CA2 Basket (I), CA1 Horizontal Axo Axonic (I), CA1 O LMR (I), CA1 Horizontal Basket (I), CA3 Trilaminar (I), CA3 Spiny Lucidum (I), CA1 Oriens Bistratified (I), CA1 Recurrent O LM (I), DG Neurogliaform (I)"
72,CA2,CA2 SP SR (I),0.5105182201210089,-3.124664503039789e-05,6.541047760352778e-21,3.124664503039789e-05,34,15,"CA2 SP SR (I), CA1 Recurrent O LM (I), CA3 Trilaminar (I), CA3 Horizontal Axo Axonic (I), CA1 O LMR (I), CA1 SO SO (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 O LM (I), CA2 Wide Arbor Basket (I), CA1 Ivy (I), CA3 LMR Targeting (I), DG HIPP (I), CA3 O LM (I), CA1 Neurogliaform Projecting (I), CA1 Back Projection (E)"
9,CA3,CA3 Basket (I),0.35143803279837404,-0.0426304872053855,-0.10592150613141822,0.11417847389292171,44,31,"CA3 Basket (I), CA1 Perforant Path Associated (I), CA1 Horizontal Basket (I), CA3 Axo Axonic (I), CA1 Oriens Alveus (I), DG AIPRIM (I), CA1 Radial Trilaminar (I), CA2 Basket (I), DG Axo Axonic (I), CA3 LMR Targeting (I), CA1 LMR (I), CA1 R Receiving Apical Targeting (I), CA1 Basket (I), CA1 Basket CCK+ (I), CA1 Bistratified (I), CA3 Mossy Fiber Associated ORDEN (I), DG HICAP (I), MEC LIII Superficial Multipolar Interneuron (I), CA1 Neurogliaform (I), CA1 Quadrilaminar (I), CA1 Horizontal Axo Axonic (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Trilaminar (I), CA3 Basket CCK+ (I), CA1 Ivy (I), CA3 Lucidum ORAX (I), CA1 Perforant Path Associated QuadD (I), DG Basket (I), CA2 Wide Arbor Basket (I), CA2 Bistratified (I), CA3 O LM (I)"
32,CA3,CA3 Axo Axonic (I),0.31802315049440577,-0.0036295063067566763,-0.003928112997486311,0.005348213510304855,48,31,"CA3 Axo Axonic (I), CA3 Basket CCK+ (I), CA1 Bistratified (I), CA1 Radiatum (I), CA1 Basket (I), CA3 Lucidum ORAX (I), CA1 Neurogliaform Projecting (I), CA1 Perforant Path Associated (I), CA1 SO SO (I), CA1 Back Projection (E), CA1 Horizontal Axo Axonic (I), CA1 OR LM (I), CA3 O LM (I), CA1 Horizontal Basket (I), CA3 LMR Targeting (I), CA3 Basket (I), CA1 Axo Axonic (I), MEC LIII Superficial Trilayered Interneuron (I), DG MOLAX (I), CA1 Ivy (I), CA2 Bistratified (I), DG HIPROM (I), CA2 Basket (I), CA1 LMR (I), CA1 Radial Trilaminar (I), CA3 Mossy Fiber Associated ORDEN (I), DG HICAP (I), DG Total Molecular Layer (E), CA1 Perforant Path Associated QuadD (I), CA1 O LMR (I), CA2 Wide Arbor Basket (I)"
30,CA3,CA3 Basket CCK+ (I),0.3908152329820879,-0.0036295063067566685,0.003928112997486306,0.005348213510304846,48,32,"CA3 Basket CCK+ (I), CA3 Axo Axonic (I), CA1 Bistratified (I), CA3 Lucidum ORAX (I), CA1 Radiatum (I), CA1 Back Projection (E), CA1 Basket (I), CA3 O LM (I), CA1 Neurogliaform Projecting (I), CA1 Perforant Path Associated (I), CA3 LMR Targeting (I), CA1 Horizontal Basket (I), CA1 Horizontal Axo Axonic (I), CA1 SO SO (I), CA1 OR LM (I), CA2 Bistratified (I), CA3 Basket (I), CA2 Basket (I), DG Total Molecular Layer (E), CA3 Mossy Fiber Associated ORDEN (I), DG MOLAX (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Axo Axonic (I), CA1 Radial Trilaminar (I), CA1 LMR (I), DG AIPRIM (I), CA1 Ivy (I), CA1 Perforant Path Associated QuadD (I), CA1 Basket CCK+ (I), CA1 Schaffer Collateral Associated (I), CA3 Horizontal Axo Axonic (I), CA1 Neurogliaform (I)"
34,CA3,CA3 Basket CCK+ (I),0.46392127097613334,0.004007637716606012,9.537008557138761e-19,0.004007637716606012,39,28,"CA3 Basket CCK+ (I), CA3 O LM (I), CA3 Basket (I), DG HIPROM (I), CA3 Lucidum ORAX (I), CA1 Basket CCK+ (I), DG MOLAX (I), CA2 Wide Arbor Basket (I), CA1 Radiatum (I), CA1 Back Projection (E), CA1 OR LM (I), CA3 Horizontal Axo Axonic (I), CA1 Horizontal Basket (I), DG HICAP (I), CA2 Basket (I), CA1 LMR (I), CA3 Axo Axonic (I), CA1 Axo Axonic (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 Radial Trilaminar (I), CA1 Perforant Path Associated QuadD (I), CA1 R Receiving Apical Targeting (I), CA1 Neurogliaform Projecting (I), CA1 Neurogliaform (I), CA1 Basket (I), CA1 Perforant Path Associated (I), CA1 Oriens Alveus (I), CA2 SP SR (I)"
40,CA3,CA3 Mossy Fiber Associated (I),0.35776359441889366,-0.0019249937771686372,-1.8367810237272353e-19,0.0019249937771686372,45,28,"CA3 Mossy Fiber Associated (I), CA3 O LM (I), DG HIPP (I), DG HIPROM (I), CA3 Basket (I), CA1 Back Projection (E), CA1 Neurogliaform (I), CA3 Mossy Fiber Associated ORDEN (I), CA2 Wide Arbor Basket (I), CA1 Basket CCK+ (I), CA1 OR LM (I), DG MOLAX (I), CA1 Perforant Path Associated (I), CA3 Horizontal Axo Axonic (I), CA3 Basket CCK+ (I), DG MOPP (I), CA3 LMR Targeting (I), CA2 Basket (I), CA2 SP SR (I), CA2 Bistratified (I), CA1 Basket (I), DG AIPRIM (I), CA3 Lucidum ORAX (I), CA3 Axo Axonic (I), CA1 R Receiving Apical Targeting (I), CA1 Horizontal Basket (I), CA1 Recurrent O LM (I), CA1 Perforant Path Associated QuadD (I)"
55,CA3,CA3c Pyramidal (E),0.4127930002479725,0.00041197590894607615,-7.036381650434904e-05,0.00041794164212842364,44,29,"CA1 Bistratified (I), CA3 Spiny Lucidum (I), CA1 Radiatum (I), CA1 Radial Trilaminar (I), CA3 Mossy Fiber Associated (I), CA1 Ivy (I), CA1 Basket CCK+ (I), DG Basket (I), CA3 Axo Axonic (I), CA3 Mossy Fiber Associated ORDEN (I), CA3 Lucidum ORAX (I), CA2 Basket (I), CA3 Trilaminar (I), CA1 O LMR (I), CA1 Recurrent O LM (I), CA1 Neurogliaform (I), CA1 Axo Axonic (I), CA1 Schaffer Collateral Associated (I), CA1 O LM (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Neurogliaform Projecting (I), CA1 Back Projection (E), CA1 Quadrilaminar (I), CA3 Horizontal Axo Axonic (I), DG MOLAX (I), CA2 SP SR (I), CA1 SO SO (I), DG HIPP (I), CA1 Horizontal Axo Axonic (I)"
54,CA3,CA3c Pyramidal (E),0.3446045709307072,0.00041197590894607577,7.036381650434914e-05,0.00041794164212842326,44,25,"CA1 O LMR (I), CA1 Recurrent O LM (I), CA1 Ivy (I), CA1 O LM (I), CA1 Radiatum (I), CA1 Neurogliaform Projecting (I), CA3 Spiny Lucidum (I), DG Basket (I), CA3 Axo Axonic (I), CA1 Axo Axonic (I), CA1 Bistratified (I), CA1 Back Projection (E), CA3 Mossy Fiber Associated ORDEN (I), CA1 SO SO (I), CA1 Basket CCK+ (I), CA3 Trilaminar (I), CA1 Radial Trilaminar (I), MEC LIII Superficial Trilayered Interneuron (I), DG HIPP (I), DG MOLAX (I), DG HIPROM (I), CA3 Mossy Fiber Associated (I), CA3 Basket CCK+ (I), CA1 Quadrilaminar (I), DG HICAP (I)"
58,CA3,CA3 LMR Targeting (I),0.3638450639076375,0.0002061222080634518,0.00015480508128886447,0.0002577808717686494,54,32,"CA3 LMR Targeting (I), CA3 Mossy Fiber Associated ORDEN (I), CA3 Axo Axonic (I), DG HIPP (I), CA1 Bistratified (I), CA1 Neurogliaform Projecting (I), CA2 SP SR (I), CA3 Mossy Fiber Associated (I), DG Basket (I), CA3 Lucidum ORAX (I), CA1 Basket CCK+ (I), CA2 Basket (I), CA3 Trilaminar (I), CA1 Axo Axonic (I), CA3 Horizontal Axo Axonic (I), CA1 Schaffer Collateral Associated (I), CA1 SO SO (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Recurrent O LM (I), CA1 O LMR (I), CA1 Quadrilaminar (I), CA1 O LM (I), CA3 Basket (I), CA1 Radial Trilaminar (I), CA1 Neurogliaform (I), DG Neurogliaform (I), CA3 Basket CCK+ (I), DG Total Molecular Layer (E), DG MOPP (I), CA2 Wide Arbor Basket (I), CA3 Spiny Lucidum (I), DG HICAP (I)"
60,CA3,CA3 Spiny Lucidum (I),0.28021973032595393,0.00023648858980893257,2.7541322033715005e-19,0.00023648858980893257,43,31,"CA3 Spiny Lucidum (I), CA1 Quadrilaminar (I), CA1 O LMR (I), DG Basket (I), CA1 Axo Axonic (I), CA1 Neurogliaform Projecting (I), CA1 Recurrent O LM (I), DG HIPP (I), CA1 Schaffer Collateral Associated (I), CA3 LMR Targeting (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Basket CCK+ (I), CA1 Radiatum (I), CA1 Bistratified (I), DG Neurogliaform (I), CA2 Wide Arbor Basket (I), DG HIPROM (I), CA3 Mossy Fiber Associated ORDEN (I), DG MOLAX (I), CA1 Oriens Alveus (I), CA3 Mossy Fiber Associated (I), CA2 Basket (I), DG HICAP (I), CA1 O LM (I), DG Total Molecular Layer (E), CA3 Axo Axonic (I), CA1 Ivy (I), CA1 Neurogliaform (I), CA3 Trilaminar (I), CA3 Basket (I), DG MOPP (I)"
63,CA3,CA3 Pyramidal (E),0.45647258432182425,-3.287539765574347e-06,-0.00017611043684907158,0.00017614111923364476,45,25,"CA1 Ivy (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Schaffer Collateral Associated (I), DG HIPP (I), CA1 SO SO (I), CA2 SP SR (I), CA1 Quadrilaminar (I), CA1 O LM (I), CA3 Spiny Lucidum (I), CA1 O LMR (I), CA2 Wide Arbor Basket (I), DG MOPP (I), CA3 Trilaminar (I), CA1 Recurrent O LM (I), CA3 Mossy Fiber Associated (I), DG Basket (I), DG Neurogliaform (I), CA1 Basket (I), CA1 Neurogliaform Projecting (I), CA3 Basket (I), CA1 OR LM (I), CA1 Horizontal Axo Axonic (I), CA1 Axo Axonic (I), CA1 Bistratified (I), DG Total Molecular Layer (E)"
64,CA3,CA3 Pyramidal (E),0.4777848787072689,0.00014721086821478386,-7.756126873061701e-05,0.00016639347982313926,51,29,"CA1 SO SO (I), CA1 Schaffer Collateral Associated (I), CA1 Oriens Alveus (I), CA1 Basket CCK+ (I), DG MOPP (I), CA1 Ivy (I), CA1 Recurrent O LM (I), CA1 O LMR (I), CA2 SP SR (I), CA3 Spiny Lucidum (I), CA3 Axo Axonic (I), CA1 Neurogliaform Projecting (I), DG HIPP (I), CA1 Quadrilaminar (I), DG Basket (I), CA1 OR LM (I), MEC LIII Superficial Trilayered Interneuron (I), CA3 LMR Targeting (I), CA3 Horizontal Axo Axonic (I), CA1 Horizontal Basket (I), CA3 Basket (I), CA1 Radiatum (I), DG Total Molecular Layer (E), CA1 Bistratified (I), CA3 Mossy Fiber Associated (I), CA1 Back Projection (E), CA3 Trilaminar (I), DG Neurogliaform (I), CA1 Oriens Bistratified (I)"
68,CA3,CA3 Trilaminar (I),0.3465895437057044,-7.313616731370652e-05,3.371263037348372e-20,7.313616731370652e-05,45,26,"CA3 Trilaminar (I), DG Neurogliaform (I), CA1 O LM (I), CA3 Spiny Lucidum (I), CA1 Ivy (I), CA1 Quadrilaminar (I), CA2 Wide Arbor Basket (I), CA1 Bistratified (I), CA2 SP SR (I), MEC LIII Superficial Trilayered Interneuron (I), CA2 Basket (I), DG MOPP (I), CA1 Neurogliaform Projecting (I), CA1 Oriens Alveus (I), CA1 Basket (I), CA1 Schaffer Collateral Associated (I), CA3 Axo Axonic (I), CA1 OR LM (I), CA1 Recurrent O LM (I), CA3 LMR Targeting (I), DG HIPP (I), CA1 Axo Axonic (I), CA3 Mossy Fiber Associated (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 SO SO (I), CA3 Horizontal Axo Axonic (I)"
74,CA3,CA3 Horizontal Axo Axonic (I),0.5286214757881694,1.6014445513589e-05,-1.619977603064102e-05,2.2779271466634792e-05,42,26,"CA3 Horizontal Axo Axonic (I), CA1 O LMR (I), DG Neurogliaform (I), CA1 O LM (I), CA3 O LM (I), CA1 SO SO (I), CA1 Oriens Alveus (I), DG MOPP (I), CA1 Basket CCK+ (I), CA1 Ivy (I), CA1 Schaffer Collateral Associated (I), CA1 Horizontal Axo Axonic (I), CA3 Spiny Lucidum (I), MEC LIII Superficial Trilayered Interneuron (I), DG HIPP (I), CA1 Neurogliaform Projecting (I), CA1 Bistratified (I), CA1 Back Projection (E), CA2 Wide Arbor Basket (I), CA3 Axo Axonic (I), CA1 Quadrilaminar (I), CA1 Oriens Bistratified (I), CA3 Trilaminar (I), CA3 LMR Targeting (I), CA1 Horizontal Basket (I), CA1 Axo Axonic (I)"
73,CA3,CA3 Horizontal Axo Axonic (I),0.4638673338464682,1.6014445513588992e-05,1.6199776030641005e-05,2.277927146663478e-05,41,27,"CA3 Horizontal Axo Axonic (I), DG Neurogliaform (I), CA3 Spiny Lucidum (I), CA1 Ivy (I), CA1 O LMR (I), CA3 O LM (I), CA1 O LM (I), CA1 Neurogliaform Projecting (I), CA3 Trilaminar (I), CA1 Schaffer Collateral Associated (I), CA2 Wide Arbor Basket (I), DG HIPP (I), CA1 Basket CCK+ (I), CA1 Oriens Bistratified (I), CA1 Bistratified (I), CA1 Oriens Alveus (I), CA1 SO SO (I), CA3 Axo Axonic (I), DG MOPP (I), CA1 Back Projection (E), CA3 Mossy Fiber Associated (I), CA2 Basket (I), CA1 Horizontal Axo Axonic (I), CA1 Basket (I), CA1 Recurrent O LM (I), CA2 SP SR (I), CA3 LMR Targeting (I)"
82,CA3,CA3 Trilaminar (I),0.48459901879981293,1.4776582413239514e-07,2.902824574202005e-21,1.4776582413239514e-07,31,15,"CA3 Trilaminar (I), CA1 Oriens Bistratified (I), CA3 Horizontal Axo Axonic (I), DG MOPP (I), CA3 O LM (I), DG Neurogliaform (I), CA1 Recurrent O LM (I), CA1 SO SO (I), CA3 Spiny Lucidum (I), CA1 O LMR (I), MEC LIII Superficial Trilayered Interneuron (I), DG Basket (I), CA1 Oriens Alveus (I), CA1 Quadrilaminar (I), CA1 O LM (I)"
2,DG,DG AIPRIM (I),0.5207316545758364,0.028285916622448098,-0.3099216246023409,0.3112097467550244,27,22,"DG AIPRIM (I), DG Axo Axonic (I), CA1 Trilaminar (I), DG HICAP (I), CA1 Perforant Path Associated QuadD (I), MEC LIII Superficial Multipolar Interneuron (I), CA1 Perforant Path Associated (I), CA1 R Receiving Apical Targeting (I), DG MOLAX (I), DG Total Molecular Layer (E), CA2 Basket (I), DG Basket (I), CA1 LMR (I), CA1 OR LM (I), CA1 SO SO (I), DG HIPROM (I), CA1 Basket (I), CA1 Back Projection (E), CA1 Basket CCK+ (I), CA1 Oriens Alveus (I), CA1 Horizontal Axo Axonic (I), CA1 Radial Trilaminar (I)"
4,DG,DG HICAP (I),0.34536738697611313,-0.31028634658103277,-2.395079655221962e-16,0.31028634658103277,37,28,"DG HICAP (I), DG AIPRIM (I), CA1 Perforant Path Associated QuadD (I), CA1 Basket (I), CA3 Basket (I), CA1 Basket CCK+ (I), CA1 OR LM (I), CA1 Back Projection (E), CA1 Perforant Path Associated (I), DG Basket (I), CA1 Radial Trilaminar (I), CA3 Axo Axonic (I), CA1 Bistratified (I), DG MOLAX (I), CA1 Horizontal Axo Axonic (I), CA2 Bistratified (I), CA1 Neurogliaform (I), DG Axo Axonic (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 SO SO (I), CA3 Lucidum ORAX (I), CA1 LMR (I), CA3 Mossy Fiber Associated (I), CA1 Radiatum (I), DG HIPP (I), DG HIPROM (I), CA1 Axo Axonic (I), CA1 Oriens Alveus (I)"
6,DG,DG Axo Axonic (I),0.44409050442590814,0.1593224468342064,1.6523856797471768e-17,0.1593224468342064,38,27,"DG Axo Axonic (I), DG HICAP (I), CA1 R Receiving Apical Targeting (I), CA2 Basket (I), CA1 Neurogliaform (I), CA2 Bistratified (I), CA1 OR LM (I), DG AIPRIM (I), CA3 Basket (I), CA1 Oriens Alveus (I), DG MOLAX (I), CA1 Perforant Path Associated QuadD (I), CA1 Basket CCK+ (I), CA2 Wide Arbor Basket (I), DG HIPROM (I), CA3 Axo Axonic (I), CA1 Horizontal Basket (I), CA1 LMR (I), DG Total Molecular Layer (E), CA1 Trilaminar (I), CA1 Radial Trilaminar (I), CA1 Horizontal Axo Axonic (I), CA1 Axo Axonic (I), CA1 Quadrilaminar (I), CA1 Radiatum (I), CA1 Back Projection (E), DG Basket (I)"
18,DG,DG Total Molecular Layer (E),0.34880015749845833,-0.04521910487323839,-4.6412792773123034e-18,0.04521910487323839,38,22,"DG Total Molecular Layer (E), CA3 Lucidum ORAX (I), CA2 Basket (I), DG MOLAX (I), CA2 Bistratified (I), CA3 Mossy Fiber Associated (I), CA1 R Receiving Apical Targeting (I), CA3 O LM (I), DG HIPROM (I), CA1 Oriens Alveus (I), CA2 Wide Arbor Basket (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 OR LM (I), DG AIPRIM (I), CA1 Horizontal Axo Axonic (I), CA3 Basket (I), CA1 LMR (I), DG Axo Axonic (I), CA3 Horizontal Axo Axonic (I), CA1 Perforant Path Associated (I), DG MOPP (I), CA3 Mossy Fiber Associated ORDEN (I)"
24,DG,DG Mossy (E),0.3757809703457499,0.00028619490980968037,-0.013840288974206276,0.013843247683110231,51,34,"DG Total Molecular Layer (E), CA3 Basket CCK+ (I), CA2 Basket (I), CA1 Neurogliaform Projecting (I), CA3 Mossy Fiber Associated ORDEN (I), DG HIPROM (I), CA3 LMR Targeting (I), CA3 Basket (I), CA1 LMR (I), DG MOLAX (I), CA1 Horizontal Basket (I), DG MOPP (I), CA1 Basket CCK+ (I), CA1 Neurogliaform (I), CA3 Axo Axonic (I), CA2 Wide Arbor Basket (I), CA3 Mossy Fiber Associated (I), CA1 Perforant Path Associated (I), CA2 Bistratified (I), CA1 R Receiving Apical Targeting (I), CA1 Axo Axonic (I), CA1 OR LM (I), DG Basket (I), CA3 O LM (I), MEC LIII Superficial Trilayered Interneuron (I), DG Neurogliaform (I), DG AIPRIM (I), CA3 Lucidum ORAX (I), DG HICAP (I), CA1 Oriens Alveus (I), CA1 Radiatum (I), CA1 Bistratified (I), DG Axo Axonic (I), CA1 Horizontal Axo Axonic (I)"
22,DG,DG Total Molecular Layer (E),0.3595428516721105,0.00028619490980968796,0.013840288974206248,0.013843247683110203,49,32,"DG Total Molecular Layer (E), CA1 LMR (I), CA1 Horizontal Basket (I), DG HIPROM (I), DG MOLAX (I), CA1 Oriens Alveus (I), CA3 Basket CCK+ (I), CA2 Bistratified (I), CA1 Neurogliaform (I), CA3 Mossy Fiber Associated ORDEN (I), CA3 Axo Axonic (I), CA1 Basket CCK+ (I), CA2 Basket (I), CA3 LMR Targeting (I), DG AIPRIM (I), CA3 Basket (I), CA1 OR LM (I), CA2 Wide Arbor Basket (I), DG Basket (I), CA1 R Receiving Apical Targeting (I), CA1 Neurogliaform Projecting (I), CA1 Bistratified (I), CA1 Axo Axonic (I), CA3 O LM (I), DG MOPP (I), CA1 Ivy (I), CA1 Perforant Path Associated (I), CA3 Mossy Fiber Associated (I), CA1 Radial Trilaminar (I), DG Axo Axonic (I), CA1 Basket (I), MEC LIII Superficial Trilayered Interneuron (I)"
26,DG,DG Granule (E),0.5114736011466912,0.012722559095860562,-1.535502083559197e-18,0.012722559095860562,45,25,"CA1 LMR (I), CA3 Basket (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 Neurogliaform Projecting (I), DG MOPP (I), CA3 LMR Targeting (I), DG HIPROM (I), CA3 O LM (I), DG HICAP (I), CA1 Basket (I), CA2 Basket (I), CA1 OR LM (I), CA3 Axo Axonic (I), CA3 Basket CCK+ (I), DG Basket (I), DG Neurogliaform (I), CA1 Horizontal Basket (I), CA2 Wide Arbor Basket (I), DG AIPRIM (I), CA1 Radiatum (I), CA1 Basket CCK+ (I), CA3 Horizontal Axo Axonic (I), CA1 Recurrent O LM (I), CA1 SO SO (I), CA1 Neurogliaform (I)"
28,DG,DG Hilar Ectopic Granule (E),0.26562385225427376,0.006498376524684021,0.003867872107252683,0.007562362864517127,56,35,"CA1 Perforant Path Associated (I), CA3 Mossy Fiber Associated ORDEN (I), DG Basket (I), CA3 LMR Targeting (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Horizontal Axo Axonic (I), CA1 Radial Trilaminar (I), DG MOPP (I), CA1 Radiatum (I), CA1 Back Projection (E), CA3 Basket CCK+ (I), CA3 Lucidum ORAX (I), CA3 Basket (I), CA2 Wide Arbor Basket (I), DG Total Molecular Layer (E), CA1 Oriens Alveus (I), CA1 Neurogliaform (I), CA1 Basket CCK+ (I), CA1 LMR (I), DG HIPP (I), CA1 Perforant Path Associated QuadD (I), CA1 Neurogliaform Projecting (I), CA3 Axo Axonic (I), CA1 Schaffer Collateral Associated (I), DG HIPROM (I), CA1 Axo Axonic (I), CA3 Mossy Fiber Associated (I), CA2 Bistratified (I), DG Neurogliaform (I), CA1 Bistratified (I), CA2 Basket (I), DG AIPRIM (I), CA1 R Receiving Apical Targeting (I), CA1 OR LM (I), DG HICAP (I)"
31,DG,DG HIPROM (I),0.4827174268351803,0.0013136933940846162,0.00481683407306506,0.00499276284446819,42,28,"DG HIPROM (I), DG Basket (I), DG Total Molecular Layer (E), CA3 O LM (I), CA3 Axo Axonic (I), CA3 Lucidum ORAX (I), DG MOLAX (I), DG AIPRIM (I), CA1 Neurogliaform Projecting (I), CA3 Mossy Fiber Associated (I), DG HIPP (I), DG HICAP (I), DG MOPP (I), CA1 Radiatum (I), CA2 Basket (I), CA3 Basket CCK+ (I), CA3 Horizontal Axo Axonic (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Horizontal Axo Axonic (I), CA3 LMR Targeting (I), DG Neurogliaform (I), CA1 Radial Trilaminar (I), CA1 Oriens Alveus (I), CA3 Basket (I), CA1 Perforant Path Associated (I), CA3 Spiny Lucidum (I), CA2 Bistratified (I), CA1 LMR (I)"
33,DG,DG Mossy (E),0.3486260429809478,0.0013136933940846153,-0.004816834073065053,0.004992762844468183,37,23,"DG Basket (I), CA1 Neurogliaform Projecting (I), DG MOLAX (I), DG HIPROM (I), CA3 Mossy Fiber Associated (I), DG MOPP (I), DG HIPP (I), DG AIPRIM (I), CA3 LMR Targeting (I), CA3 Lucidum ORAX (I), CA3 Basket CCK+ (I), DG Neurogliaform (I), DG Total Molecular Layer (E), CA3 O LM (I), CA3 Axo Axonic (I), CA2 Basket (I), DG HICAP (I), CA1 Radiatum (I), MEC LIII Superficial Trilayered Interneuron (I), DG Axo Axonic (I), CA1 Bistratified (I), CA2 Bistratified (I), CA1 Schaffer Collateral Associated (I)"
35,DG,DG MOLAX (I),0.48463049748307196,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,43,27,"DG MOLAX (I), DG Total Molecular Layer (E), CA1 Radiatum (I), CA3 O LM (I), CA3 Lucidum ORAX (I), DG Basket (I), DG HIPROM (I), DG HIPP (I), CA1 Back Projection (E), CA1 Basket (I), CA3 Basket CCK+ (I), CA1 Bistratified (I), CA1 OR LM (I), DG HICAP (I), DG MOPP (I), CA1 Basket CCK+ (I), CA3 Mossy Fiber Associated (I), CA3 Horizontal Axo Axonic (I), CA3 Basket (I), CA1 Oriens Alveus (I), CA1 Schaffer Collateral Associated (I), CA1 Neurogliaform Projecting (I), CA1 O LMR (I), CA3 LMR Targeting (I), CA1 SO SO (I), CA1 Horizontal Basket (I), CA1 LMR (I)"
67,DG,DG Neurogliaform (I),0.43488545264882816,-5.246165952478926e-05,8.854227030148204e-05,0.00010291724515471457,49,31,"DG Neurogliaform (I), CA1 O LM (I), DG MOPP (I), CA1 SO SO (I), CA1 Neurogliaform Projecting (I), DG Basket (I), CA1 O LMR (I), CA1 Ivy (I), CA1 Schaffer Collateral Associated (I), CA3 Horizontal Axo Axonic (I), DG Total Molecular Layer (E), CA1 Recurrent O LM (I), CA1 Axo Axonic (I), MEC LIII Superficial Trilayered Interneuron (I), CA3 Trilaminar (I), CA3 Spiny Lucidum (I), DG HIPROM (I), CA2 SP SR (I), DG HIPP (I), CA1 Oriens Bistratified (I), DG MOLAX (I), CA3 Axo Axonic (I), CA1 Radiatum (I), CA3 LMR Targeting (I), CA3 Mossy Fiber Associated (I), CA2 Basket (I), CA1 Radial Trilaminar (I), CA3 Basket CCK+ (I), CA1 Horizontal Basket (I), CA3 O LM (I), CA3 Mossy Fiber Associated ORDEN (I)"
