mode,dominant_region,dominant_cell_type,dominant_loading,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,n_high_loading_cells,n_high_loading_inhibitory,high_loading_inhibitory_cells
38,CA1,CA1 Pyramidal (E),0.35770901911126834,0.0005340480940415902,-0.0025601155270182983,0.0026152244413108474,47,31,"CA1 Back Projection (E), CA1 OR LM (I), CA3 Basket CCK+ (I), CA1 Axo Axonic (I), CA1 Radiatum (I), CA2 Wide Arbor Basket (I), CA3 O LM (I), CA1 Perforant Path Associated (I), CA1 Basket CCK+ (I), CA1 Basket (I), CA1 Horizontal Axo Axonic (I), DG MOLAX (I), CA3 Basket (I), DG HIPROM (I), CA1 Perforant Path Associated QuadD (I), CA1 Ivy (I), CA1 Neurogliaform Projecting (I), CA3 Axo Axonic (I), CA3 LMR Targeting (I), CA1 Radial Trilaminar (I), CA1 R Receiving Apical Targeting (I), CA1 Neurogliaform (I), CA1 Schaffer Collateral Associated (I), MEC LIII Superficial Trilayered Interneuron (I), CA2 Bistratified (I), DG Basket (I), CA1 LMR (I), CA1 O LMR (I), CA3 Horizontal Axo Axonic (I), DG Total Molecular Layer (E), CA3 Lucidum ORAX (I)"
37,CA1,CA1 Back Projection (E),0.532853503145889,0.00053404809404159,0.0025601155270182953,0.0026152244413108444,50,32,"CA1 Back Projection (E), CA1 OR LM (I), CA3 Basket CCK+ (I), CA3 O LM (I), CA2 Wide Arbor Basket (I), CA1 Horizontal Axo Axonic (I), CA1 Perforant Path Associated QuadD (I), CA1 Axo Axonic (I), CA1 Perforant Path Associated (I), DG HIPROM (I), CA1 Basket (I), CA1 Ivy (I), CA3 LMR Targeting (I), CA3 Axo Axonic (I), CA1 Schaffer Collateral Associated (I), CA1 Radiatum (I), CA1 R Receiving Apical Targeting (I), CA1 Neurogliaform (I), CA1 Basket CCK+ (I), CA3 Horizontal Axo Axonic (I), CA1 Neurogliaform Projecting (I), CA1 O LMR (I), DG Total Molecular Layer (E), CA3 Lucidum ORAX (I), CA2 Bistratified (I), DG MOPP (I), DG MOLAX (I), CA3 Basket (I), CA1 Radial Trilaminar (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 SO SO (I), CA1 Oriens Alveus (I)"
39,CA1,CA1 Schaffer Collateral Associated (I),0.32164620676424,0.0024934509924521126,-2.6947472751242437e-19,0.0024934509924521126,39,23,"CA1 Schaffer Collateral Associated (I), CA1 Neurogliaform (I), CA1 Axo Axonic (I), CA1 O LMR (I), CA2 Wide Arbor Basket (I), CA1 OR LM (I), CA1 Radiatum (I), CA1 Recurrent O LM (I), CA1 Basket CCK+ (I), CA1 Perforant Path Associated (I), CA1 Horizontal Axo Axonic (I), CA3 Basket CCK+ (I), CA1 Bistratified (I), CA1 Neurogliaform Projecting (I), CA3 Basket (I), CA3 LMR Targeting (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 SO SO (I), CA1 O LM (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 Basket (I), CA2 Basket (I), DG Basket (I)"
42,CA1,CA1 Pyramidal (E),0.398932717026918,-0.00019280450224685202,-0.001580248273538381,0.0015919667653904368,50,30,"CA1 Schaffer Collateral Associated (I), CA1 Axo Axonic (I), CA2 Wide Arbor Basket (I), CA1 SO SO (I), CA1 Horizontal Axo Axonic (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Back Projection (E), CA1 Radial Trilaminar (I), CA3 Mossy Fiber Associated (I), CA1 Radiatum (I), DG MOLAX (I), DG Basket (I), DG HIPROM (I), CA1 Ivy (I), CA1 Basket CCK+ (I), CA1 O LMR (I), CA1 Oriens Alveus (I), CA3 Basket CCK+ (I), CA2 Bistratified (I), CA1 Neurogliaform (I), CA1 Bistratified (I), DG Total Molecular Layer (E), CA1 Quadrilaminar (I), CA2 SP SR (I), CA1 Perforant Path Associated (I), CA1 LMR (I), CA3 Lucidum ORAX (I), CA2 Basket (I), DG HIPP (I), CA3 Basket (I)"
45,CA1,CA1 Basket (I),0.48732931585213385,-0.0015599349319641638,1.9678764590675973e-18,0.0015599349319641638,44,28,"CA1 Basket (I), CA1 Basket CCK+ (I), CA2 Wide Arbor Basket (I), CA1 Neurogliaform (I), CA3 LMR Targeting (I), CA1 Ivy (I), MEC LIII Superficial Trilayered Interneuron (I), CA2 SP SR (I), CA1 Oriens Alveus (I), CA3 Basket (I), DG MOLAX (I), CA1 Horizontal Basket (I), CA1 Quadrilaminar (I), DG Total Molecular Layer (E), CA3 Mossy Fiber Associated (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 Radial Trilaminar (I), CA1 Schaffer Collateral Associated (I), CA2 Bistratified (I), CA3 Axo Axonic (I), CA1 Horizontal Axo Axonic (I), CA1 Back Projection (E), CA1 Radiatum (I), CA3 Basket CCK+ (I), DG MOPP (I), CA1 SO SO (I), CA1 OR LM (I), CA1 R Receiving Apical Targeting (I)"
47,CA1,CA1 Horizontal Axo Axonic (I),0.428224130219811,-0.0008341208463208455,0.0007272410263148062,0.00110663322588038,44,27,"CA1 Horizontal Axo Axonic (I), CA3 Mossy Fiber Associated (I), CA1 SO SO (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Axo Axonic (I), CA1 Neurogliaform Projecting (I), DG HIPROM (I), CA3 LMR Targeting (I), CA1 Horizontal Basket (I), DG MOLAX (I), CA1 Oriens Alveus (I), CA1 Quadrilaminar (I), CA3 Spiny Lucidum (I), CA1 OR LM (I), CA2 Basket (I), CA2 SP SR (I), DG HIPP (I), CA1 O LMR (I), CA3 Lucidum ORAX (I), CA1 Basket (I), DG Basket (I), CA2 Bistratified (I), DG HICAP (I), CA1 Bistratified (I), CA1 Radiatum (I), CA2 Wide Arbor Basket (I), CA1 Neurogliaform (I)"
52,CA1,CA1 Axo Axonic (I),0.3443099782567531,-0.0006428689984106815,0.0003894260371873802,0.0007516203746287215,46,32,"CA1 Axo Axonic (I), CA1 Radiatum (I), CA1 SO SO (I), CA1 Basket CCK+ (I), CA3 Axo Axonic (I), CA3 Basket CCK+ (I), CA1 Neurogliaform Projecting (I), CA2 Wide Arbor Basket (I), CA3 Basket (I), CA1 Horizontal Basket (I), DG HIPP (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Horizontal Axo Axonic (I), CA1 Radial Trilaminar (I), DG Total Molecular Layer (E), CA1 R Receiving Apical Targeting (I), CA1 OR LM (I), DG Basket (I), DG Neurogliaform (I), CA1 Bistratified (I), CA3 Spiny Lucidum (I), DG MOLAX (I), CA3 Mossy Fiber Associated (I), DG MOPP (I), DG HIPROM (I), CA1 Neurogliaform (I), CA1 Back Projection (E), CA1 Recurrent O LM (I), CA3 LMR Targeting (I), CA3 Lucidum ORAX (I), CA1 Basket (I), CA1 Quadrilaminar (I)"
56,CA1,CA1 Quadrilaminar (I),0.45986236395909036,-0.0001213557115359535,0.0002765361810297768,0.0003019924968288633,53,33,"CA1 Quadrilaminar (I), CA1 Bistratified (I), CA1 Radiatum (I), CA1 OR LM (I), CA1 O LM (I), CA1 Neurogliaform Projecting (I), CA1 Radial Trilaminar (I), CA1 SO SO (I), CA1 Schaffer Collateral Associated (I), CA1 Basket CCK+ (I), CA1 O LMR (I), CA2 SP SR (I), CA3 Axo Axonic (I), CA1 Ivy (I), CA1 Recurrent O LM (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Horizontal Axo Axonic (I), DG Basket (I), CA2 Wide Arbor Basket (I), DG MOPP (I), DG HIPROM (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 Perforant Path Associated QuadD (I), DG Total Molecular Layer (E), CA1 Back Projection (E), CA3 Spiny Lucidum (I), DG Neurogliaform (I), CA1 Basket (I), DG MOLAX (I), CA1 Neurogliaform (I), CA1 Oriens Alveus (I), CA3 Mossy Fiber Associated (I), CA2 Basket (I)"
61,CA1,CA1 Quadrilaminar (I),0.4811383960932033,0.00014721086821478354,7.756126873061701e-05,0.00016639347982313896,44,24,"CA1 Quadrilaminar (I), CA1 Oriens Alveus (I), CA1 Ivy (I), CA1 O LMR (I), CA1 Neurogliaform Projecting (I), CA1 Schaffer Collateral Associated (I), DG Basket (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 O LM (I), DG MOPP (I), CA1 Basket CCK+ (I), DG HIPROM (I), CA1 Radiatum (I), DG Neurogliaform (I), DG MOLAX (I), CA1 Radial Trilaminar (I), DG Total Molecular Layer (E), CA2 SP SR (I), CA1 OR LM (I), CA3 Spiny Lucidum (I), CA3 Mossy Fiber Associated (I), CA1 Back Projection (E), CA1 Bistratified (I), CA1 R Receiving Apical Targeting (I)"
65,CA1,CA1 SO SO (I),0.26598131453919943,-5.246165952478939e-05,-8.854227030148208e-05,0.00010291724515471466,41,26,"CA1 SO SO (I), DG MOPP (I), DG Basket (I), CA1 Schaffer Collateral Associated (I), CA3 Spiny Lucidum (I), DG Total Molecular Layer (E), MEC LIII Superficial Trilayered Interneuron (I), DG Neurogliaform (I), CA1 Ivy (I), DG HIPROM (I), CA3 Mossy Fiber Associated (I), CA2 SP SR (I), CA1 Recurrent O LM (I), CA1 Neurogliaform Projecting (I), CA1 O LM (I), DG MOLAX (I), CA1 Axo Axonic (I), CA1 Quadrilaminar (I), CA3 Horizontal Axo Axonic (I), CA1 Horizontal Basket (I), CA1 Radiatum (I), CA1 Radial Trilaminar (I), CA1 Bistratified (I), CA3 LMR Targeting (I), CA3 Axo Axonic (I), CA3 Lucidum ORAX (I)"
