Presynaptic,Postsynaptic,wij
DG MOLAX,DG MOPP,-1795.936044357
DG MOLAX,DG Neurogliaform,-1340.9534767075202
DG MOLAX,DG Total Molecular Layer,-1995.5460354155348
DG MOLAX,CA1 Neurogliaform Projecting,-1904.106605960637
DG MOPP,DG Granule,-141.22529697224
DG MOPP,DG Semilunar Granule,-130.09502718
DG MOPP,DG AIPRIM,-76.56289324101002
DG MOPP,DG Axo Axonic,-87.67444964396101
DG MOPP,DG Basket,-89.79318890380799
DG MOPP,DG HICAP,-74.88297666563999
DG MOPP,DG MOLAX,-119.167081191215
DG MOPP,DG MOPP,-140.09760907199998
DG MOPP,DG Neurogliaform,-119.886915288
DG MOPP,DG Total Molecular Layer,-90.384323968575
DG MOPP,CA1 Neurogliaform Projecting,-184.73964355255495
DG Neurogliaform,DG Granule,-48.70676802368521
DG Neurogliaform,DG Semilunar Granule,-52.294380089592
DG Neurogliaform,DG AIPRIM,-16.4847001493328
DG Neurogliaform,DG Axo Axonic,-39.499729983252
DG Neurogliaform,DG Basket,-19.15346085054624
DG Neurogliaform,DG HICAP,-16.752275227582317
DG Neurogliaform,DG MOLAX,-42.37004596154688
DG Neurogliaform,DG MOPP,-12.598702910112
DG Neurogliaform,DG Neurogliaform,-6.549837359520001
DG Neurogliaform,DG Total Molecular Layer,-15.6851781364656
DG Neurogliaform,CA1 Neurogliaform Projecting,-32.1361704991404
DG Total Molecular Layer,DG Granule,-4088.470679875126
DG Total Molecular Layer,DG Semilunar Granule,-3909.870444812125
DG Total Molecular Layer,DG Mossy,-5027.841134178721
DG Total Molecular Layer,DG AIPRIM,-4666.19683674375
DG Total Molecular Layer,DG Axo Axonic,-3496.8655103965043
DG Total Molecular Layer,DG Basket,-3556.482476215207
DG Total Molecular Layer,DG HICAP,-3940.7605807092255
DG Total Molecular Layer,DG HIPP,-2498.027911619625
DG Total Molecular Layer,DG HIPROM,-6450.741499644001
DG Total Molecular Layer,DG MOLAX,-7452.51861466125
DG Total Molecular Layer,DG MOPP,-1769.6601255199998
DG Total Molecular Layer,DG Neurogliaform,-1405.9007232900003
DG Total Molecular Layer,DG Total Molecular Layer,-4903.586444535625
DG Total Molecular Layer,CA1 Neurogliaform Projecting,-2118.724266658365
CA3 Pyramidal,CA3 Pyramidal,266540.7126583063
CA3 Pyramidal,CA3c Pyramidal,395693.84575883904
CA3 Pyramidal,CA3 Granule,41592.496640621466
CA3 Pyramidal,CA3 Axo Axonic,175688.4680010275
CA3 Pyramidal,CA3 Basket,229695.8800340916
CA3 Pyramidal,CA3 LMR Targeting,29902.143850072167
CA3 Pyramidal,CA3 Lucidum ORAX,96208.96061487972
CA3 Pyramidal,CA3 Mossy Fiber Associated ORDEN,203028.41063409072
CA3 Pyramidal,CA3 Trilaminar,185716.6008594153
CA3 Pyramidal,CA2 Basket,485909.8258273281
CA3 Pyramidal,CA2 Wide Arbor Basket,196409.19270127884
CA3 Pyramidal,CA2 Bistratified,468952.73982715176
CA3 Pyramidal,CA2 SP SR,278151.1628942592
CA3 Pyramidal,CA1 Pyramidal,380827.98284731206
CA3 Pyramidal,CA1 Radiatum Giant,165936.03817408613
CA3 Pyramidal,CA1 Axo Axonic,159502.00832572696
CA3 Pyramidal,CA1 Horizontal Axo Axonic,330795.00477235904
CA3 Pyramidal,CA1 Basket,228141.63568381788
CA3 Pyramidal,CA1 Basket CCK+,156057.75447742542
CA3 Pyramidal,CA1 Horizontal Basket,755237.5847063188
CA3 Pyramidal,CA1 Ivy,69076.63514988721
CA3 Pyramidal,CA1 LMR,32725.76193319608
CA3 Pyramidal,CA1 Recurrent O LM,2081164.3484694457
CA3 Pyramidal,CA1 O LMR,673425.8315303042
CA3 Pyramidal,CA1 Oriens Alveus,124756.44190094133
CA3 Pyramidal,CA1 Oriens Bistratified,476142.3704537304
CA3 Pyramidal,CA1 OR LM,530494.5777978556
CA3 Pyramidal,CA1 Perforant Path Associated,78833.5618303563
CA3 Pyramidal,CA1 Perforant Path Associated QuadD,584453.5674132234
CA3 Pyramidal,CA1 Radiatum,77702.49045034703
CA3 Pyramidal,CA1 R Receiving Apical Targeting,212463.56356371092
CA3 Pyramidal,CA1 Schaffer Collateral Associated,405597.75135211326
CA3 Pyramidal,CA1 SO SO,1082066.7210632826
CA3 Pyramidal,CA1 Trilaminar,2030611.1265128767
CA3 Pyramidal,CA1 Radial Trilaminar,48612.11039390058
CA3c Pyramidal,DG Granule,160418.7566737335
CA3c Pyramidal,DG Semilunar Granule,87352.46675373509
CA3c Pyramidal,DG Mossy,33393.42821681123
CA3c Pyramidal,DG AIPRIM,108136.77620246162
CA3c Pyramidal,DG Axo Axonic,143794.61716747435
CA3c Pyramidal,DG Basket,96808.27901181996
CA3c Pyramidal,DG HICAP,82111.44264625497
CA3c Pyramidal,DG HIPP,18549.96619745808
CA3c Pyramidal,DG HIPROM,164558.27937797178
CA3c Pyramidal,DG MOLAX,108931.58813004752
CA3c Pyramidal,DG Total Molecular Layer,72103.63782101168
CA3c Pyramidal,CA3 Pyramidal,31089.11555366892
CA3c Pyramidal,CA3c Pyramidal,37375.2377071344
CA3c Pyramidal,CA3 Granule,5108.88681916704
CA3c Pyramidal,CA3 Axo Axonic,19320.7649099472
CA3c Pyramidal,CA3 Basket,25171.5172351104
CA3c Pyramidal,CA3 LMR Targeting,4152.834730963475
CA3c Pyramidal,CA3 Lucidum ORAX,12467.0614729374
CA3c Pyramidal,CA3 Mossy Fiber Associated ORDEN,19935.28605240792
CA3c Pyramidal,CA3 Trilaminar,40886.40713210424
CA3c Pyramidal,CA2 Basket,1119782.6687443724
CA3c Pyramidal,CA2 Wide Arbor Basket,541851.3914313504
CA3c Pyramidal,CA2 Bistratified,1005433.8114323212
