,DG Granule,DG Semilunar Granule,DG Mossy,DG AIPRIM,DG Axo Axonic,DG Basket,DG HICAP,DG HIPP,DG HIPROM,DG MOLAX,DG MOPP,DG Neurogliaform,DG Total Molecular Layer,CA3 Pyramidal,CA3c Pyramidal,CA3 Granule,CA3 Axo Axonic,CA3 Basket,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,CA3 Trilaminar,CA2 Basket,CA2 Wide Arbor Basket,CA2 Bistratified,CA2 SP SR,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Basket,CA1 Basket CCK+,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 Recurrent O LM,CA1 O LMR,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 OR LM,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Radiatum,CA1 R Receiving Apical Targeting,CA1 Schaffer Collateral Associated,CA1 SO SO,CA1 Trilaminar,CA1 Radial Trilaminar,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,EC LIII Pyramidal,LEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,LEC LVI Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron
CA1 Radial Trilaminar,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.85107794624,-0.0,-0.0,-165.9451447072692,-67.97182818316801,-112.87490165426999,-35.4899563404414,-129.84255198275198,-151.4109638687184,-109.69849255276799,-154.67523812181003,-43.274669654820244,-0.0,-0.0,-65.58008432639998,-71.7462053498736,-127.05505936730876,-37.39440662685001,-89.34415112597942,-29.255114009097895,-230.44271043024003,-47.443997966736,-78.59515673038398,-144.6234077396444,-76.2342334105275,-94.47194714958002,-149.231695375224,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EC LI II Multipolar Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335584.71130231285,135890.6828359121,392297.275674549,160408.4870247552,241611.07233899788,495186.07152310305,199992.31318151238,498454.1441388962,368742.2194593228,145068.77664229058,320940.94475349196,306846.41757806396,321940.9836875456,0.0,127246.0525840919,0.0,105271.3598729232,55913.647163635804,0.0,0.0,397502.81949142436
EC LI II Pyramidal Fan,142125.19306975423,136026.2638259712,0.0,34801.982196513396,222073.56868326204,94455.78857298517,31780.361598286563,0.0,0.0,26447.06764329449,100491.4275260335,39929.12722642686,16818.393941190217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32254.532651322705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137058.64099133536,18762.87758140388,39692.19529359,24009.682691374383,48948.58745995679,36616.84395766204,22434.36749428991,34343.22160867753,36640.953440881014,31668.932570626264,21473.2463275512,30940.808490364503,34791.03195635339,0.0,19250.900103626096,0.0,31115.863137146,17570.49646924688,0.0,0.0,40543.0387878411
MEC LII III Pyramidal Multiform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904.3382715812,451.0219131319999,5645.585230708501,1803.987626222628,3084.3218290500004,1734.3210782054848,0.0,1765.8540896977402,0.0,13433.54615288,5047.3074085952,1348.90364749266,7262.665097184001,5838.751829278367,5981.216396512841,33908.9600890215,24788.029214565962,26638.982605368004,20148.5072225745,0.0,4328.393772342641
MEC LII Oblique Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.8219653032801,0.0,0.0,205.48095399136795,0.0,248.28941881485,0.0,4761.525294981,601.5577032486001,107.952083400616,623.60285516672,384.7664450123,0.0,2899.5512789880004,0.0,3325.8867929279995,0.0,0.0,413.98734304728
MEC LII Stellate,15769.826746692223,14868.423128821827,0.0,3814.8396233094045,24402.112898079413,10303.389982793824,3572.1916236470406,0.0,0.0,2965.9845138881055,11013.22594682884,4405.42992025715,1867.4464374085994,272974.24196877336,0.0,225689.71892664756,110217.59309572383,175066.7420152457,124132.60937027211,0.0,0.0,0.0,0.0,159516.23252329289,103327.4390926026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3582.516888960738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21641.041799244,6188.429776809499,39846.431817674995,21471.686026476844,0.0,13369.989240837898,0.0,13962.675774983354,0.0,33420.1948157539,23557.379549634003,10627.74698789286,21451.925303595,11938.210516874304,21732.149511072,50972.30139203125,68250.30627407398,51171.257153604,48648.5576692983,0.0,40392.24114294
EC LII III Pyramidal Tripolar,59273.61832060157,55352.570521682326,0.0,14370.230380440162,92369.40096232537,39275.77593349223,13201.770923143225,0.0,0.0,11010.21372436768,41549.674805739225,16451.77798814401,6997.990704270894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13417.915451227576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77336.67835013902,18827.748042067968,36533.6110884276,18337.84404080714,31925.578683463933,39081.823277108306,13694.270012902922,34424.727322890554,31671.01226029642,26013.027138860743,14242.06117503855,28855.307899746276,32238.57826455552,0.0,18188.39824676406,0.0,21246.86167602616,19795.518419235217,0.0,0.0,35152.7796781056
LEC LIII Multipolar Principal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9894.567638517912,1613.42081052243,0.0,0.0,0.0,5365.5877078432195,10989.807058186854,5271.7292996117685,11953.215801988777,0.0,0.0,4257.262441353492,10633.01180912755,4293.876969216016,5510.1422033750405,0.0,0.0,0.0,0.0,817.2360433315584,0.0
EC LIII Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191274.36891237606,143602.0736129414,197379.01017258,0.0,68497.02397121931,188594.73344976577,0.0,0.0,68511.93171040568,434544.2416941151,132332.23345765326,0.0,0.0,105755.14270619821,0.0,0.0,103391.12023260527,141935.7356560555,0.0,0.0,0.0,0.0,0.0,40194.081938386254,0.0,0.0,4277.525527163751,0.0,0.0,4247.0424416946935,24584.079929170945,4833.770028354714,16367.551712735998,13263.655534438401,4205.822602110975,2241.729739348736,23227.4883476736,25726.9779816192,18913.09384005709,17444.219172396803,7665.651399767962,10550.866536808193,9844.13497971456,15177.495448387583,2042.4431611760642
LEC LIII Complex Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4486.718086982209,1170.4289599679028,0.0,0.0,0.0,6287.3310619349995,18041.159977416577,6314.9322057891295,15997.088215080199,0.0,0.0,4412.752477521695,16451.639891628045,8112.004762856905,8393.478744887827,0.0,0.0,0.0,0.0,1549.9705618606465,0.0
MEC LIII Complex Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10125.701504029441,1348.85781543744,9113.20304167728,5698.416470127892,11943.98558728188,2712.297989939126,0.0,2467.523212200743,0.0,15198.307067518352,5474.179993366561,2270.0925091398744,3587.653486362625,880.8524826077702,1382.953670691488,7220.592400894739,6217.956198509413,7287.243514507879,0.0,0.0,9253.64853144576
MEC LIII Bipolar Complex Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2033.0230997349,325.8739337511959,2863.22870187144,1295.3653254289438,2688.7275748805996,897.8498190301857,0.0,862.9948216397761,0.0,9003.569463790402,1846.476609982326,689.6506326838241,1699.4601532496001,554.4914130826198,326.3117044732651,3981.0305590977605,1033.622174671758,6611.57488399954,0.0,0.0,2790.2404263322164
EC LIII Stellate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177.7639263014241,0.0,0.0,1198.146565002816,2274.8601446247594,1355.092803763776,1160.795323551864,1733.53088418378,1155.16026651828,634.4436658778064,873.258533082144,0.0,0.0,0.0,0.0,578.0810890828511,0.0,0.0,617.5361356910593
EC LIII V Bipolar Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5436.8851431258,0.0,0.0,5842.383676415,24189.455248241924,6317.0407428710405,12436.344065343743,11036.10794814216,5213.52951090244,3540.2054605631997,23950.517455238405,22795.43220985212,19455.032798347056,16129.218276029042,10208.751569359201,17344.67654732467,14337.238675434948,17261.04368661504,3979.6959440394
EC LIV VI Deep Multipolar Principal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41790.7245802601,0.0,28354.696766759524,14924.373513522622,0.0,0.0,52872.38912395442,87760.43376794651,59641.2310099648,53038.934253213774,21638.54083528847,29858.521317959265,39895.29329897916,56257.5410565934,0.0
EC LV Deep Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4372.424863340489,0.0,0.0,0.0,0.0,0.0,9157.388271811416,14554.730021045762,17984.56198284922,7634.5684559711835,7786.634975401413,3228.585362122781,9789.211073540053,15248.954929112575,0.0
MEC LV Multipolar Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1587.18311807328,0.0,0.0,509.50097085888,0.0,549.630472421394,0.0,4780.347932672001,1558.52223495696,336.76088240496006,1618.6681007777277,1534.7480454310476,1279.9790553164162,9114.13643872914,5226.221826025198,6253.279778163601,4790.628658015199,0.0,1071.468316764456
MEC LV Pyramidal,151026.29760266806,93817.12132302571,0.0,58876.51135056801,115184.40973423744,68131.85646607734,49384.620141425585,0.0,107091.45889516316,67548.92935549733,8722.595395581573,3415.920477441375,37522.61183111367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.845283382508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7287.8206826880005,883.8135547738068,6811.548011212895,3886.06082756892,9015.918818358761,2034.4792677369599,0.0,1844.7167288829653,0.0,15063.141308384402,4056.9485391234234,1579.234100943952,6273.280217352288,5368.495239146259,6085.033809146879,29919.956640000004,25530.475497173138,20473.359149449712,16345.020192905247,0.0,7168.654250334719
MEC LV Superficial Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.6833818411002,153.7346154751344,2188.245157191324,705.9759752707199,1351.61161379244,723.2629238714879,0.0,692.9781611562809,0.0,5185.17776685636,1973.7403914468243,455.8654892171771,2027.89845025488,1128.712474306053,1234.58882990625,9869.518800771839,6254.642574240605,4703.861230689347,1529.484520291875,0.0,1553.774689527858
MEC LV VI Pyramidal Polymorphic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3867.021652558802,3533.356249384122,0.0,0.0,0.0,20643.69725620272,0.0,0.0
LEC LVI Multipolar Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.7068499479375,6730.83360175275,954.9455304957752,3781.8665078150257,0.0,0.0,454.1538316574701,5129.4303605531995,6149.43014629632,5030.030336213663,0.0,0.0,0.0,0.0,5326.009457683199,0.0
MEC LIII Superficial Trilayered Interneuron,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2372.498740424376,-643.9387919240061,-1958.9893363888002,-1382.5080692325,-2324.9235135293998,-453.3228520128001,-0.0,-603.6496857205009,-0.0,-1952.434496304504,-855.8579324167699,-664.3395879144961,-520.0073196262559,-0.0,-632.1073700203417,-0.0,-1975.0575234521039,-1374.680935466849,-0.0,-0.0,-1330.89218843136
