,DG Granule,DG Semilunar Granule,DG Mossy,DG AIPRIM,DG Axo Axonic,DG Basket,DG HICAP,DG HIPP,DG HIPROM,DG MOLAX,DG MOPP,DG Neurogliaform,DG Total Molecular Layer,CA3 Pyramidal,CA3c Pyramidal,CA3 Granule,CA3 Axo Axonic,CA3 Basket,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,CA3 Trilaminar,CA2 Basket,CA2 Wide Arbor Basket,CA2 Bistratified,CA2 SP SR,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Basket,CA1 Basket CCK+,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 Recurrent O LM,CA1 O LMR,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 OR LM,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Radiatum,CA1 R Receiving Apical Targeting,CA1 Schaffer Collateral Associated,CA1 SO SO,CA1 Trilaminar,CA1 Radial Trilaminar,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,EC LIII Pyramidal,LEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,LEC LVI Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron
DG MOPP,-141.22529697224,-130.09502718,-0.0,-76.56289324101002,-87.67444964396101,-89.79318890380799,-74.88297666563999,-0.0,-0.0,-119.167081191215,-140.09760907199998,-119.886915288,-90.38432396857499,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-184.73964355255498,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
DG Neurogliaform,-48.70676802368521,-52.294380089591996,-0.0,-16.4847001493328,-39.499729983251996,-19.15346085054624,-16.752275227582317,-0.0,-0.0,-42.37004596154688,-12.598702910112001,-6.549837359520001,-15.6851781364656,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-32.1361704991404,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
DG Total Molecular Layer,-4088.470679875126,-3909.8704448121252,-5027.841134178721,-4666.19683674375,-3496.8655103965043,-3556.482476215207,-3940.7605807092255,-2498.027911619625,-6450.741499644001,-7452.51861466125,-1769.6601255199998,-1405.9007232900003,-4903.586444535625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2118.724266658365,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CA3 Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266540.7126583063,395693.84575883904,41592.496640621466,175688.4680010275,229695.88003409162,29902.143850072167,96208.96061487973,0.0,203028.41063409072,185716.6008594153,485909.8258273281,196409.19270127884,468952.73982715176,278151.1628942592,380827.98284731206,165936.03817408613,159502.00832572696,330795.00477235904,228141.63568381788,156057.75447742542,755237.5847063188,69076.63514988721,32725.761933196078,0.0,0.0,2081164.3484694457,673425.8315303042,124756.44190094133,476142.37045373034,530494.5777978556,78833.5618303563,584453.5674132234,77702.49045034703,212463.56356371095,405597.75135211326,1082066.7210632826,2030611.1265128772,48612.110393900584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3c Pyramidal,160418.7566737335,87352.46675373509,33393.42821681123,108136.77620246162,143794.61716747435,96808.27901181996,82111.44264625497,18549.96619745808,164558.27937797178,108931.58813004752,0.0,0.0,72103.63782101168,31089.11555366892,37375.237707134394,5108.88681916704,19320.7649099472,25171.5172351104,4152.834730963475,12467.0614729374,0.0,19935.286052407922,40886.40713210424,1119782.6687443724,541851.3914313504,1005433.8114323212,636442.6318356859,2946974.5185329346,2221043.9720433573,2006266.478154768,52687.918220024934,2116029.980411057,2795834.074983893,111868.5426625028,1842331.581818685,826291.8395654251,0.0,0.0,274726.7904544783,115467.08815002012,1743888.3093962292,81403.51344598243,2982732.150530972,1334059.6116201745,2795497.1552758655,1362763.212436586,2023667.388273065,0.0,154057.07098671794,274426.1152931656,1107880.820651227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Granule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.58690108091,133.22495805696,0.0,68.727183686112,75.5384513096472,53.255096133239995,80.26403533702398,240.6769873737734,57.562403784192014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Axo Axonic,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-393.05783615486854,-1201.9116230449415,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CA3 Basket,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-13694.304060989987,-12332.371448150581,-0.0,-5265.150495764399,-6212.436995566355,-0.0,-0.0,-0.0,-9496.353522032381,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CA3 LMR Targeting,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6333.728912114999,-440.6883700128,-2862.1156771583996,-2438.5938726239997,-2658.7698660403194,-4841.434196881919,-466.11866121626883,-0.0,-377.58289502419194,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CA3 Lucidum ORAX,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-9.745853616,-8.74190284704,-0.5047551916279198,-4.95162840942,-4.6931489935199995,-1.5267116390399997,-3.8547901169999994,-11.422731697575216,-8.659663626239999,-3.7729219347456,-0.0,-0.8005727042060801,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
