null_id,spectral_radius,max_real_eigenvalue,chain_count,divergent_count,convergent_count,reciprocal_count,chain_score_sum,chain_abs_score_sum,divergent_score_sum,divergent_abs_score_sum,convergent_score_sum,convergent_abs_score_sum,reciprocal_score_sum,reciprocal_abs_score_sum
0,0.7614600639074521,0.7593722979978232,28118,14723,14459,203,319.04598081754426,401.96029286526954,3917.739003438598,3917.739003438598,1913.5640121247252,1988.947396265683,0.07529961868460713,0.21610475411940305
1,0.9207278930965506,0.9207278930965506,28210,14546,14264,188,394.4310265736724,467.978295573267,2209.492900745975,2209.492900745975,1369.7263342970518,1423.193909455767,0.10309060440806178,1.0315087273870087
2,0.9239520898026731,0.9239520898026731,28153,14637,14337,175,388.26881387751234,474.7088576866877,2054.3710695422287,2054.3710695422287,1205.4711657242376,1281.595692950294,0.07324565237972805,0.2609849805502493
3,0.8853160826569098,0.8853160826569098,28234,14535,14339,208,460.1256298752994,540.648773622825,2990.9865818054195,2990.9865818054195,2210.3531602336,2278.5978999326817,0.5997191931768966,0.7363939257280594
4,0.7914416241652501,0.7914416241652501,28358,14445,14485,198,308.67387254096695,397.6190010887134,2805.5274046895515,2805.5274046895515,2130.655130342058,2189.0878757258097,0.114749182323388,0.19512798614935595
5,0.9104786250138365,0.9102744735987411,28313,14580,14452,204,342.8822763084974,425.45373512670494,1964.3519711469448,1964.3519711469448,1859.9801201216421,1920.07052965637,0.24841239014547944,0.4090355439558824
6,0.919842783578156,0.7649326715006903,28284,14635,14309,197,481.92140421641176,566.5404119331691,5410.1653355291,5410.1653355291,1641.3527061764048,1701.806567440861,0.16437003590950675,0.23928916129790373
7,0.9109479263839559,0.9109479263839559,28257,14662,14333,185,350.58733032535446,424.9751820815548,3479.385819491268,3479.385819491268,1131.6923165355465,1184.6796854139086,0.3911996218938537,0.5183829682959202
8,0.8940314457260888,0.8940314457260888,28207,14625,14344,187,356.10427516873256,437.0362282363916,3417.7427704371257,3417.7427704371257,2024.4459121868535,2096.8881561109724,-0.25104142725159195,0.6147346420698453
9,0.840765372136286,0.840765372136286,28031,14876,14477,191,335.6490587759747,418.26434044213016,3102.447784539344,3102.447784539344,1418.1689555249172,1474.586834712629,0.20259638343967515,0.4519459318450899
10,0.856701825950333,0.856701825950333,28125,14680,14537,180,492.7400259723381,563.7737905654379,2938.8689154551225,2938.8689154551225,1495.7965181648217,1561.1265137242922,0.13952297157358898,0.21731233572556855
11,1.1077687434220442,1.1077687434220442,28218,14545,14353,182,304.6998090985115,374.9258579633794,4474.794538759348,4474.794538759348,1294.5588987211952,1358.3854685872002,0.09575487156386506,0.1249386084796053
12,1.0316256300528541,1.0316256300528541,28399,14628,14502,178,428.5300668504671,506.5686489653084,2124.2834239615618,2124.2834239615618,2303.8259047196416,2357.6464837689323,0.0323316118574741,0.11466982483589719
13,0.7898069387440816,0.7898069387440816,28404,14572,14340,168,510.61595548522183,594.9196642814254,3851.801543395772,3851.801543395772,2050.3481667535148,2114.0344146750745,0.4856178157838511,0.5687551524570186
14,0.9890751120490685,0.9890751120490685,28090,14763,14209,201,293.3481042224695,374.234134911485,3902.929383302496,3902.929383302496,1911.131847126421,1984.6741096518592,0.6835611902336782,0.7728424988946938
15,0.8970965634943241,0.8970965634943241,28264,14487,14191,186,320.90685556276384,417.62162125428665,5203.819155133914,5203.819155133914,1268.6724989879044,1341.424390762347,0.03690067056458633,0.704613537734837
16,1.0298564576870037,1.0298564576870037,28169,14732,14270,194,392.81468394530486,466.2698847519101,2284.8421208569384,2284.8421208569384,1076.6561424135655,1146.2628593386617,0.17521298847140707,0.27225433308747454
17,1.6591784072333746,1.6591784072333746,28485,14540,14571,177,383.29703350078483,460.26829221128327,2248.5148850600335,2248.5148850600335,2463.6132773904324,2549.367552113779,3.1096879667547035,3.188832665316813
18,1.7544591015823947,1.7544591015823947,28288,14662,14381,177,382.6037886693569,459.2588177485764,2923.5114824425555,2923.5114824425555,2766.2322986178165,2830.8448479307945,3.0354789310810757,3.2083426221702447
19,0.8547826832058301,0.8547826832058301,28387,14666,14437,169,399.955158619895,483.17906753999824,2702.4679635727102,2702.4679635727102,1950.0785934468813,2017.3980056538967,0.41555099993959027,0.4495354794919756
20,1.080814652513037,1.080814652513037,28263,14559,14376,190,486.42255528166913,576.4386313484205,2543.4097417011067,2543.4097417011067,2214.7355503615936,2269.2425282064128,0.08082663704175132,0.2043748877194064
