metric,observed,null_mean,null_sd,z_score,empirical_p_greater,empirical_p_less,empirical_p_two_sided,n_null,null_model
chain_abs_score_sum,339.3346638917309,463.16833633523925,65.26780175258386,-1.8973164273700387,0.9900497512437811,0.014925373134328358,0.029850746268656716,200,seeded block-preserving weight shuffle
chain_count,28037.0,28228.025,127.53737997723368,-1.4977961757886258,0.9502487562189055,0.05970149253731343,0.11940298507462686,200,seeded block-preserving weight shuffle
chain_score_sum,237.81517942157555,381.9962521698406,64.81519999193877,-2.224494759966755,1.0,0.004975124378109453,0.009950248756218905,200,seeded block-preserving weight shuffle
convergent_abs_score_sum,2170.1286907789517,1710.5426802034508,594.2274437976854,0.7734176793288171,0.18407960199004975,0.8208955223880597,0.3681592039800995,200,seeded block-preserving weight shuffle
convergent_count,15879.0,14390.49,97.81127299870982,15.218184513554325,0.004975124378109453,1.0,0.009950248756218905,200,seeded block-preserving weight shuffle
convergent_score_sum,2067.5923861712386,1645.9169197700758,593.6766084304505,0.7102780544377171,0.1890547263681592,0.8159203980099502,0.3781094527363184,200,seeded block-preserving weight shuffle
divergent_abs_score_sum,26921.92172354827,3203.3594124415795,825.597176433711,28.728977021896473,0.004975124378109453,1.0,0.009950248756218905,200,seeded block-preserving weight shuffle
divergent_count,19285.0,14643.215,93.39336366618575,49.70144363352251,0.004975124378109453,1.0,0.009950248756218905,200,seeded block-preserving weight shuffle
divergent_score_sum,26921.92172354827,3203.3594124415795,825.597176433711,28.728977021896473,0.004975124378109453,1.0,0.009950248756218905,200,seeded block-preserving weight shuffle
max_real_eigenvalue,0.9999999999999994,0.9014093141650451,0.21696294099895191,0.45441256179980805,0.19402985074626866,0.8109452736318408,0.3880597014925373,200,seeded block-preserving weight shuffle
reciprocal_abs_score_sum,0.7668335452836536,0.5997491022151547,0.6206310290827923,0.2692170311165828,0.18407960199004975,0.8208955223880597,0.3681592039800995,200,seeded block-preserving weight shuffle
reciprocal_count,422.0,185.16,9.737478752855461,24.322517769863992,0.004975124378109453,1.0,0.009950248756218905,200,seeded block-preserving weight shuffle
reciprocal_score_sum,0.2504442207595596,0.3641872243468109,0.6144071313800716,-0.18512643779339535,0.43781094527363185,0.5671641791044776,0.8756218905472637,200,seeded block-preserving weight shuffle
spectral_radius,0.9999999999999994,0.9138115503930594,0.2144549252123512,0.4018954077254093,0.20398009950248755,0.8009950248756219,0.4079601990049751,200,seeded block-preserving weight shuffle
