motif,count,signed_score_sum,abs_score_sum,mean_score,mean_abs_score,max_abs_score
chain,28037,237.81517942157575,339.33466389172963,0.008482190655975167,0.012103101754529002,10.045140911067879
divergent,19285,26921.921723548305,26921.921723548305,1.3960032005988232,1.3960032005988232,1065.2843894001826
convergent,15879,2067.5923861712404,2170.1286907789495,0.13020923144853205,0.13666658421682407,296.3024186851019
reciprocal,422,0.2504442207595595,0.7668335452836537,0.0005934697174397145,0.0018171411025678997,0.177058603292081
