receiver,sender,receiver_group,sender_group,weight,dominant_lambda_sensitivity,weighted_sensitivity
DG MOLAX,DG Granule,I,E,1.7801048267831754,-3.017761110656362e-06,-5.371931119157946e-06
EC LIII V Bipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,E,E,0.0012771982920235742,0.004104191879199036,5.241866858250032e-06
DG AIPRIM,DG AIPRIM,I,I,-0.1045136164175691,-4.9143089848015604e-05,5.136122041949637e-06
MEC LIII Bipolar Complex Pyramidal,EC LIII Pyramidal,E,E,0.001153836923717546,0.004406352521949984,5.08421223874182e-06
DG AIPRIM,DG Mossy,I,E,0.6040357359098225,-8.404052078122821e-06,-5.076347781633391e-06
MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,E,E,0.0013078702692200853,0.003856924366487291,5.04435670955924e-06
DG Mossy,CA2 Pyramidal,E,E,0.18450348559478028,2.732460449816177e-05,5.041484772409658e-06
EC LIV VI Deep Multipolar Principal,MEC LV Pyramidal,E,E,0.004595751541718702,0.0010964014186680136,5.038788510186096e-06
MEC LIII Bipolar Complex Pyramidal,MEC LV Multipolar Pyramidal,E,E,0.005686945858278975,0.000885747007359721,5.037195274987363e-06
MEC LIII Bipolar Complex Pyramidal,MEC LV Superficial Pyramidal,E,E,0.007202049796079052,0.0006966111439337894,5.0170281471147435e-06
EC LIII V Bipolar Pyramidal,MEC LV Pyramidal,E,E,0.004714569367023494,0.001049573509348259,4.948287115612648e-06
EC LIII Pyramidal Stellate,LEC LVI Multipolar Pyramidal,E,E,0.005302464906260323,0.0009247632536277738,4.903524698960385e-06
EC LIII Pyramidal Stellate,MEC LIII Superficial Trilayered Interneuron,E,I,-0.0012571515920660533,0.003894386913853796,-4.895834708872504e-06
CA1 Pyramidal,CA1 Oriens Alveus,E,I,-0.00041780733219285246,0.01166376807067602,-4.873207820925322e-06
CA1 Pyramidal,CA1 SO SO,E,I,-0.0003840755528512405,0.012593268232477242,-4.836766458592661e-06
LEC LVI Multipolar Pyramidal,EC LV Deep Pyramidal,E,E,0.023228464800309108,0.00020768924992674946,4.824302431326101e-06
EC LIII V Bipolar Pyramidal,EC LIII Pyramidal,E,E,0.001312432525267617,0.0036570779113438076,4.799667998285376e-06
CA1 Basket,CA1 Basket CCK+,I,I,-0.05090059450583932,-9.283610857701881e-05,4.725413118178906e-06
CA1 Basket CCK+,EC LIII Pyramidal,I,E,0.06475988967017518,-7.269869204127669e-05,-4.7079592757591205e-06
MEC LV VI Pyramidal Polymorphic,CA1 Pyramidal,E,E,0.5174752019194188,8.94925234181278e-06,4.631016162607399e-06
CA3 O LM,CA3 Pyramidal,I,E,0.5898589103735771,-7.801215381314584e-06,-4.6016164044118095e-06
CA1 R Receiving Apical Targeting,CA3c Pyramidal,I,E,20.0227279764594,-2.2907228566745267e-07,-4.586652062865204e-06
CA2 Wide Arbor Basket,CA2 Basket,I,I,-0.01107558331618392,-0.0004114735512464777,4.5573095992364376e-06
DG Granule,DG Axo Axonic,E,I,-0.0004943493536647756,0.009002040217024434,-4.450152762950345e-06
CA1 Trilaminar,CA3c Pyramidal,I,E,6.328006789873579,-7.020392366995498e-07,-4.442509056592417e-06
EC LI II Pyramidal Fan,MEC LV Superficial Pyramidal,E,E,0.00011588833488319302,0.0374308315800381,4.337796745103852e-06
EC LIII Stellate,LEC LIII Multipolar Principal,E,E,0.015534472634027246,0.0002724832469706777,4.232883543296881e-06
