,CA1 Pyramidal,CA1 Radiatum Giant,CA2 Pyramidal,CA3 Granule,CA3 Pyramidal,CA3c Pyramidal,DG Granule,DG Hilar Ectopic Granule,DG Mossy,DG Semilunar Granule,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
EC LIII Stellate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.81600034271409,65.42000887199006,91.4501088515022,60.68453664121218,17.203193101718238,0.0,0.0,54.00019845163271,102.75543273270038,0.0,64.21168926195364,0.0,0.0,110.49107949247347,165.81222907217855,0.0,0.0,12.798715312294323,0.0,0.0
EC LIII V Bipolar Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.43569682470206,304.9686783779771,601.3553812101552,338.62065230287004,471.82519386819655,511.5294987890816,430.7344261554038,578.5387259197909,1092.637693563088,689.2334744065386,296.4189780032186,0.0,0.0,498.6740977178184,1055.6037252397975,357.100892631283,226.0217597456127,384.0111387577682,927.9060870741498,0.0
EC LIV VI Deep Multipolar Principal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.5457136863564,0.0,1041.5860657419018,1969.34413375272,1320.4568545606207,1319.060493589653,1887.6870292903488,2246.3636143897743,0.0,0.0,0.0,0.0,1427.516326568439,1174.282004366153,479.0772940932867,661.0676619796182,2582.023382309931,1100.6348653392354
EC LV Deep Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.4005489546849,326.6081416722669,398.1782023002817,0.0,197.50243107708988,608.8907703194651,0.0,0.0,0.0,0.0,0.0,169.029345615202,172.39609835538727,71.48087991739837,633.5577406795122,0.0
LEC LIII Complex Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.61587010227,23.12767624896576,366.36278097895246,304.8668842320541,538.1000722266449,422.07977447495017,324.0973058650725,182.03338687850896,185.8316194118165,744.1845437655309,814.9191961799069,61.890324535095615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEC LIII Multipolar Principal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.4518276519966,31.881195215923217,312.6527957360244,254.50402850154305,406.0536249631236,407.20715251546153,209.4703326398128,96.3545991892074,121.9945483827234,556.0635991085179,496.4095848183002,32.632235210229126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEC LVI Multipolar Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.98798814646632,46.10204179653461,138.9942025493572,43.43981399803702,101.04977810289805,137.99321248288945,111.3648716437705,175.93242994355498,304.0317537911717,212.6675576452901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEC LII III Pyramidal Multiform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.82452256660702,8.912193003488317,101.0588892270336,85.25039015320776,175.15826890796524,129.02263388267292,143.0745024145248,131.02159104900656,132.4241310187943,0.0,0.0,0.0,307.79730677822744,180.20032398337835,308.0929075038045,482.7749536321309,1284.918689522972,750.744376370936,548.8069668104904,589.7870748828476,1304.0113874450217,0.0
MEC LII Oblique Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.97337518907701,11.986703742041488,43.86731164829159,10.32561677726892,12.284976246784383,8.634159026076013,0.0,0.0,0.0,0.0,34.28337354833483,0.0,0.0,57.5389943157286,455.4398944649327,64.19606531679433,0.0,73.63513359542591,0.0,0.0
MEC LII Stellate,0.0,0.0,6045.530483170607,19640.6765649223,3923.6590067203424,0.0,746.9483238875063,257.1632982955139,0.0,63.49664611537702,1179.869598894783,122.28337238975573,779.0692730636243,674.0780930568393,723.0169044557828,1016.543999391952,422.6029284808215,267.8934439986594,481.14979017513406,0.0,0.0,0.0,2172.4274626996407,2144.806717184772,0.0,2253.263353922492,3196.6416341268605,1128.5267528195718,1511.061780907998,1132.9316333807926,3148.534652356986,116.46797293785286
MEC LIII Bipolar Complex Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.84041939754674,6.439268930923632,52.31770895488892,41.66292428927799,97.5251103043308,65.96508301620779,33.47936501901712,12.44278730957399,7.224541137038089,0.0,0.0,0.0,156.10322882603091,129.39404235709722,268.5769974548232,176.61548774480949,861.1914192115519,88.14001657842442,22.884394947232725,146.3802679317498,0.0,0.0
MEC LIII Complex Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0532459996851,26.653430433043813,158.0456038737529,119.1249706187313,202.5659042080212,217.134348499229,70.6767736813437,19.766329709718363,30.618594269109543,0.0,0.0,0.0,496.8518298322453,569.2148212010752,1193.0847203135872,523.6053163655115,1453.7180710081302,159.8639157558095,137.66555023499842,161.33957141120445,0.0,0.0
MEC LV Multipolar Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.68862157194694,26.53458883572656,53.32462209597836,32.21117840203443,31.88776158532124,34.43974613947271,28.33873628470545,0.0,0.0,0.0,86.53322359735522,0.0,0.0,149.07265177363325,457.2402797600769,201.78698075346315,115.70855122819788,138.44761428854213,310.0494867467437,0.0
MEC LV Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,9568.736896643586,3669.647725263941,0.0,525.4341809218159,397.3319836201498,17.464155842330424,118.54910693103264,89.0576530512442,183.66159867184444,151.053741755289,123.58362028184006,120.46903316644207,134.7226485345119,0.0,0.0,0.0,371.36559757132704,388.1786160658594,900.6001307658568,388.0471277671555,1440.789466146968,662.4278400096001,565.2447275074132,453.2801715688166,1057.8497068848276,58.72183615697319
MEC LV Superficial Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.87273797797678,3.037796001788656,42.1445305739916,33.455005683021945,71.06776290355756,43.60353404362299,39.949599470021134,25.32830792342784,27.333796694124377,0.0,0.0,0.0,119.30312597007098,70.51994016979222,135.01248410172684,188.7882684418888,495.9622533998108,218.5111462490885,138.477786593687,104.14348764746217,98.98823815329015,0.0
MEC LV VI Pyramidal Polymorphic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.77596588341953,78.22850736136446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.06008642144,0.0
SUB CA1 Projecting Pyramidal,106.20856360032086,8.28772603741471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.2428463623708
