rank,cell_type,region,ei,loading_real,loading_imag,loading_magnitude,energy_fraction
1,CA1 Radial Trilaminar,CA1,I,0.40891933329259067,-0.3088700250575046,0.5124604506881291,0.2626157135194804
2,CA1 Horizontal Basket,CA1,I,-0.29531711334182237,0.22306258660686157,0.370093386831338,0.1369691149762904
3,LEC LVI Multipolar Pyramidal,LEC,E,0.18976575055771625,-0.14333622149354122,0.23781571116471445,0.05655631247677889
4,CA1 Bistratified,CA1,I,0.17873669819018909,-0.13500562080100514,0.2239940287770983,0.05017332492779553
5,CA3 Lucidum ORAX,CA3,I,-0.16036343848988613,0.12112770229241736,0.2009685365099223,0.04038835266693997
6,DG Mossy,DG,E,0.14475546383816165,-0.10933849320083934,0.1814085180095778,0.032909050406431314
7,CA1 Horizontal Axo Axonic,CA1,I,-0.14415989747509142,0.10888864262516776,0.18066215024952065,0.03263881253278037
