rank,cell_type,region,ei,loading_real,loading_imag,loading_magnitude,energy_fraction
1,CA2 SP SR,CA2,I,-0.37047609067415216,0.35124965382804335,0.5105182201210089,0.2606288530755229
2,CA1 Recurrent O LM,CA1,I,-0.2414829502794247,0.22895081444169513,0.3327649180865835,0.11073249070917061
3,DG Semilunar Granule,DG,E,-0.22376627999777546,0.21215357850646607,0.3083512428013581,0.0950804889371421
4,CA3 Trilaminar,CA3,I,0.19627520138029253,-0.1860891924615288,0.27046837565204973,0.07315314222785829
5,CA3 Horizontal Axo Axonic,CA3,I,-0.1518329119271105,0.14395330521074848,0.20922664081173936,0.0437757872253646
6,EC LIII Stellate,EC,E,-0.143313698413346,0.13587620962233474,0.1974871147549737,0.03900116049424416
7,MEC LV Pyramidal,MEC,E,0.13416132946625645,-0.12719881719325277,0.18487509680732,0.034178801419515945
