rank,cell_type,region,ei,loading_real,loading_imag,loading_magnitude,energy_fraction
1,CA2 Bistratified,CA2,I,0.2712036646245806,0.28306254251512286,0.3920150898638058,0.15367583068092772
2,CA3 Lucidum ORAX,CA3,I,0.13615204515043727,-0.32340176570456575,0.35089326220302025,0.12312608145947752
3,CA3 O LM,CA3,I,0.11653386045903318,-0.3105114610035679,0.3316587222553565,0.10999750804805569
4,CA1 R Receiving Apical Targeting,CA1,I,0.1024540449974899,0.20852110848294858,0.2323314098853302,0.053977884019305304
5,CA2 Basket,CA2,I,0.04167842860848229,0.21563406092101853,0.21962499775882044,0.048235139640561885
6,CA3 Mossy Fiber Associated ORDEN,CA3,I,-0.2154593540607328,0.015956192536086992,0.21604937707042085,0.04667733333251689
7,CA1 Horizontal Basket,CA1,I,0.011473039075022078,0.21475553403570696,0.21506178187808886,0.04625157002457867
