rank,cell_type,region,ei,loading_real,loading_imag,loading_magnitude,energy_fraction
1,DG HIPROM,DG,I,0.4308272300735491,0.21772462423329808,0.4827174268351803,0.23301611417037765
2,DG Mossy,DG,E,0.19104269567444734,0.24410672412442624,0.30997645770819154,0.09608540433331826
3,DG Basket,DG,I,0.2704297868745593,-0.07278701507396029,0.2800539576445877,0.07843021919239651
4,DG Total Molecular Layer,DG,I,0.22854430599519182,0.0844285597475312,0.24364047591454568,0.059360681503866315
5,CA3 O LM,CA3,I,0.21828725017389894,0.07673412754852739,0.23138161102195656,0.05353744991911601
6,CA3 Axo Axonic,CA3,I,-0.21168071377410116,-0.06424896082916055,0.22121630489532174,0.04893665355153995
7,CA3 Lucidum ORAX,CA3,I,-0.21094508738802645,-0.028077044461577425,0.21280542831149657,0.04528615031883951
