rank,cell_type,region,ei,loading_real,loading_imag,loading_magnitude,energy_fraction
1,CA1 Oriens Bistratified,CA1,I,0.462305093438151,-0.06537859209553926,0.4669050864182703,0.21800035972325243
2,CA1 Radiatum Giant,CA1,E,-0.3756561481420921,0.03512610359540998,0.37729482476009246,0.14235138479074888
3,CA3 Trilaminar,CA3,I,0.3763013388414912,-0.022200734898653263,0.3769556608461253,0.14209557024393904
4,CA2 Pyramidal,CA2,E,0.3416982197479157,0.017292874010009035,0.3421355241281164,0.11705671687042091
5,CA1 O LM,CA1,I,-0.2959722652679818,0.04867407936453724,0.2999479084938681,0.08996874780984587
6,CA1 O LMR,CA1,I,0.2041157073027821,0.06638803132274315,0.21464061281738958,0.04607059267062454
7,MEC LII III Pyramidal Multiform,MEC,E,0.21335542346917252,-0.005309578218150443,0.21342148051347734,0.04554872834456459
