rank,cell_type,region,ei,loading_real,loading_imag,loading_magnitude,energy_fraction
1,CA1 Oriens Bistratified,CA1,I,-0.08802068802010975,-0.6687053965762288,0.6744735346399479,0.45491454892970495
2,CA1 O LM,CA1,I,-0.040638189470126145,-0.3087339717175561,0.3113970580077895,0.09696812773590661
3,CA3 Trilaminar,CA3,I,0.03600107240798614,0.27350514911053453,0.27586435761892253,0.07610114380450078
4,MEC LII III Pyramidal Multiform,MEC,E,0.028071427418917473,0.21326253437531542,0.21510210042098182,0.04626891360551815
5,EC LIV VI Deep Multipolar Principal,EC,E,-0.024527779700641107,-0.18634095030141443,0.1879482953800789,0.03532456173627739
6,EC LIII Pyramidal,EC,E,0.021946722386281717,0.16673229926939062,0.1681705034872589,0.028281318243158157
7,MEC LV Pyramidal,MEC,E,-0.02192719210607992,-0.1665839250171428,0.16802084938415826,0.028231005827773995
