mode,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,dominant_cell_type,dominant_region,dominant_ei,dominant_loading_magnitude,n_tree_edges,n_components,roots
30,-0.0036295063067566685,0.003928112997486306,0.005348213510304846,CA3 Basket CCK+,CA3,I,0.3908152329820879,4,3,CA3 Basket CCK+; DG Mossy; CA1 Bistratified
31,0.0013136933940846162,0.00481683407306506,0.00499276284446819,DG HIPROM,DG,I,0.4827174268351803,6,1,DG HIPROM
32,-0.0036295063067566763,-0.003928112997486311,0.005348213510304855,CA3 Axo Axonic,CA3,I,0.31802315049440577,2,5,CA3 Axo Axonic; CA3 Basket CCK+; CA1 Bistratified; EC LI II Multipolar Pyramidal; CA3 Lucidum ORAX
33,0.0013136933940846153,-0.004816834073065053,0.004992762844468183,DG Mossy,DG,E,0.3486260429809478,6,1,DG Mossy
34,0.004007637716606012,9.537008557138761e-19,0.004007637716606012,CA3 Basket CCK+,CA3,I,0.46392127097613334,3,4,CA3 Basket CCK+; CA3 O LM; DG HIPROM; CA1 Pyramidal
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,DG MOLAX,DG,I,0.48463049748307196,4,3,DG MOLAX; CA1 Radiatum; CA3 O LM
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,LEC LIII Multipolar Principal,LEC,E,0.3842947832106779,4,3,LEC LIII Multipolar Principal; CA3 O LM; CA1 Back Projection
37,0.00053404809404159,0.0025601155270182953,0.0026152244413108444,CA1 Back Projection,CA1,I,0.532853503145889,6,1,CA1 Back Projection
38,0.0005340480940415902,-0.0025601155270182983,0.0026152244413108474,CA1 Pyramidal,CA1,E,0.35770901911126834,6,1,CA1 Pyramidal
39,0.0024934509924521126,-2.6947472751242437e-19,0.0024934509924521126,CA1 Schaffer Collateral Associated,CA1,I,0.32164620676424,3,4,CA1 Schaffer Collateral Associated; LEC LVI Multipolar Pyramidal; CA1 Neurogliaform; MEC LV Pyramidal
40,-0.0019249937771686372,-1.8367810237272353e-19,0.0019249937771686372,CA3 Mossy Fiber Associated,CA3,I,0.35776359441889366,4,3,CA3 Mossy Fiber Associated; LEC LIII Multipolar Principal; CA3 O LM
41,-0.00019280450224685097,0.0015802482735383812,0.001591966765390437,CA2 Wide Arbor Basket,CA2,I,0.31555022105507774,6,1,CA2 Wide Arbor Basket
42,-0.00019280450224685202,-0.001580248273538381,0.0015919667653904368,CA1 Pyramidal,CA1,E,0.398932717026918,5,2,CA1 Pyramidal; CA1 Schaffer Collateral Associated
43,0.001651941426201705,0.0002508023039539611,0.0016708717099974907,MEC LIII Bipolar Complex Pyramidal,MEC,E,0.32104273376244524,5,2,MEC LIII Bipolar Complex Pyramidal; CA1 Schaffer Collateral Associated
44,0.001651941426201707,-0.00025080230395396167,0.0016708717099974926,MEC LIII Bipolar Complex Pyramidal,MEC,E,0.4603610593426863,4,3,MEC LIII Bipolar Complex Pyramidal; CA1 Horizontal Axo Axonic; CA1 SO SO
45,-0.0015599349319641638,1.9678764590675973e-18,0.0015599349319641638,CA1 Basket,CA1,I,0.48732931585213385,3,4,CA1 Basket; CA2 Wide Arbor Basket; CA1 Neurogliaform; CA3 LMR Targeting
46,-0.0012452687226345543,-5.172215421826809e-19,0.0012452687226345543,CA2 Wide Arbor Basket,CA2,I,0.42163833400472395,6,1,CA2 Wide Arbor Basket
47,-0.0008341208463208455,0.0007272410263148062,0.00110663322588038,CA1 Horizontal Axo Axonic,CA1,I,0.428224130219811,3,4,CA1 Horizontal Axo Axonic; MEC LIII Bipolar Complex Pyramidal; CA3 Mossy Fiber Associated; CA1 SO SO
48,-0.0008341208463208492,-0.0007272410263148093,0.0011066332258803848,MEC LV Superficial Pyramidal,MEC,E,0.4997183272017111,4,3,MEC LV Superficial Pyramidal; CA1 Horizontal Axo Axonic; CA3 Spiny Lucidum
49,0.0009670108372968375,-7.583092772758904e-19,0.0009670108372968375,MEC LIII Superficial Trilayered Interneuron,MEC,I,0.3174203004409788,5,2,MEC LIII Superficial Trilayered Interneuron; CA1 OR LM
50,-0.0010342261471190102,-1.3181424564004056e-18,0.0010342261471190102,MEC LV Superficial Pyramidal,MEC,E,0.5277878256279414,5,2,MEC LV Superficial Pyramidal; CA3 Spiny Lucidum
51,0.0006584436373453829,6.650528668339053e-21,0.0006584436373453829,EC LIII V Bipolar Pyramidal,EC,E,0.35321334306606017,3,4,EC LIII V Bipolar Pyramidal; CA1 Axo Axonic; CA1 O LMR; CA1 SO SO
52,-0.0006428689984106815,0.0003894260371873802,0.0007516203746287215,CA1 Axo Axonic,CA1,I,0.3443099782567531,2,5,CA1 Axo Axonic; CA1 Radiatum; CA1 SO SO; MEC LV Superficial Pyramidal; CA3 Axo Axonic
53,-0.0006428689984106821,-0.0003894260371873799,0.000751620374628722,MEC LII III Pyramidal Multiform,MEC,E,0.2988601973800121,4,3,MEC LII III Pyramidal Multiform; CA1 Radiatum; CA3 Spiny Lucidum
54,0.00041197590894607577,7.036381650434914e-05,0.00041794164212842326,CA3c Pyramidal,CA3,E,0.3446045709307072,4,3,CA3c Pyramidal; EC LV Deep Pyramidal; EC LIII Stellate
55,0.00041197590894607615,-7.036381650434904e-05,0.00041794164212842364,CA3c Pyramidal,CA3,E,0.4127930002479725,5,2,CA3c Pyramidal; EC LIII V Bipolar Pyramidal
56,-0.0001213557115359535,0.0002765361810297768,0.0003019924968288633,CA1 Quadrilaminar,CA1,I,0.45986236395909036,5,2,CA1 Quadrilaminar; EC LIII Pyramidal Stellate
57,-0.00012135571153595367,-0.0002765361810297777,0.0003019924968288643,EC LIII V Bipolar Pyramidal,EC,E,0.3310501132478804,5,2,EC LIII V Bipolar Pyramidal; CA1 Quadrilaminar
58,0.0002061222080634518,0.00015480508128886447,0.0002577808717686494,CA3 LMR Targeting,CA3,I,0.3638450639076375,6,1,CA3 LMR Targeting
59,0.00020612220806345125,-0.00015480508128886376,0.0002577808717686485,MEC LII III Pyramidal Multiform,MEC,E,0.25341136355074684,6,1,MEC LII III Pyramidal Multiform
60,0.00023648858980893257,2.7541322033715005e-19,0.00023648858980893257,CA3 Spiny Lucidum,CA3,I,0.28021973032595393,5,2,CA3 Spiny Lucidum; EC LV Deep Pyramidal
61,0.00014721086821478354,7.756126873061701e-05,0.00016639347982313896,CA1 Quadrilaminar,CA1,I,0.4811383960932033,5,2,CA1 Quadrilaminar; CA3 Pyramidal
62,-3.28753976557421e-06,0.00017611043684907137,0.00017614111923364454,EC LIII Pyramidal Stellate,EC,E,0.47398745760169825,4,3,EC LIII Pyramidal Stellate; CA3 Spiny Lucidum; DG HIPP
63,-3.287539765574347e-06,-0.00017611043684907158,0.00017614111923364476,CA3 Pyramidal,CA3,E,0.45647258432182425,5,2,CA3 Pyramidal; EC LIII Pyramidal
64,0.00014721086821478386,-7.756126873061701e-05,0.00016639347982313926,CA3 Pyramidal,CA3,E,0.4777848787072689,5,2,CA3 Pyramidal; EC LIV VI Deep Multipolar Principal
65,-5.246165952478939e-05,-8.854227030148208e-05,0.00010291724515471466,CA1 SO SO,CA1,I,0.26598131453919943,2,5,CA1 SO SO; DG MOPP; CA1 Schaffer Collateral Associated; EC LIII V Bipolar Pyramidal; CA3 Spiny Lucidum
66,9.14607047357568e-05,7.642972384178912e-20,9.14607047357568e-05,CA1 Ivy,CA1,I,0.3983683658347243,3,4,CA1 Ivy; MEC LII Oblique Pyramidal; CA2 SP SR; DG MOPP
67,-5.246165952478926e-05,8.854227030148204e-05,0.00010291724515471457,DG Neurogliaform,DG,I,0.43488545264882816,4,3,DG Neurogliaform; CA2 Pyramidal; MEC LII Oblique Pyramidal
68,-7.313616731370652e-05,3.371263037348372e-20,7.313616731370652e-05,CA3 Trilaminar,CA3,I,0.3465895437057044,5,2,CA3 Trilaminar; EC LIII Stellate
69,-4.9268852031861646e-05,3.651579788804268e-05,6.132555157467286e-05,DG HIPP,DG,I,0.38817860308232616,4,3,DG HIPP; MEC LII Oblique Pyramidal; CA1 Ivy
70,-4.9268852031861673e-05,-3.651579788804267e-05,6.132555157467287e-05,DG HIPP,DG,I,0.4184258746431165,4,3,DG HIPP; MEC LII Oblique Pyramidal; CA1 Ivy
71,-4.4040868290644895e-05,-6.3915809165211275e-21,4.4040868290644895e-05,CA2 SP SR,CA2,I,0.4697323984080701,6,1,CA2 SP SR
72,-3.124664503039789e-05,6.541047760352778e-21,3.124664503039789e-05,CA2 SP SR,CA2,I,0.5105182201210089,1,6,CA2 SP SR; CA1 Recurrent O LM; DG Semilunar Granule; CA3 Trilaminar; EC LIII Stellate; MEC LV Pyramidal
73,1.6014445513588992e-05,1.6199776030641005e-05,2.277927146663478e-05,CA3 Horizontal Axo Axonic,CA3,I,0.4638673338464682,6,1,CA3 Horizontal Axo Axonic
74,1.6014445513589e-05,-1.619977603064102e-05,2.2779271466634792e-05,CA3 Horizontal Axo Axonic,CA3,I,0.5286214757881694,4,3,CA3 Horizontal Axo Axonic; CA2 Pyramidal; DG Neurogliaform
75,-1.0797401176026235e-05,1.28967386631837e-05,1.6819920936274044e-05,DG Semilunar Granule,DG,E,0.5212482698168128,4,3,DG Semilunar Granule; CA3 Trilaminar; MEC LV Pyramidal
76,1.7072803384001894e-05,-8.961496860819732e-21,1.7072803384001894e-05,CA1 Radiatum Giant,CA1,E,0.439884152015146,4,3,CA1 Radiatum Giant; DG Neurogliaform; CA3 Spiny Lucidum
77,-1.07974011760262e-05,-1.2896738663183665e-05,1.6819920936273997e-05,CA1 Radiatum Giant,CA1,E,0.4140400854057474,5,2,CA1 Radiatum Giant; EC LII III Pyramidal Tripolar
78,-5.557833368240833e-06,3.01904190765882e-06,6.324881484212289e-06,CA1 Recurrent O LM,CA1,I,0.5707019820593042,3,4,CA1 Recurrent O LM; DG Semilunar Granule; CA2 Pyramidal; EC LIV VI Deep Multipolar Principal
79,-5.557833368240821e-06,-3.0190419076588187e-06,6.324881484212278e-06,CA1 Oriens Bistratified,CA1,I,0.4669050864182703,3,4,CA1 Oriens Bistratified; CA3 Trilaminar; CA2 Pyramidal; MEC LII III Pyramidal Multiform
80,7.24639412379877e-06,2.8004517290476183e-21,7.24639412379877e-06,MEC LII III Pyramidal Multiform,MEC,E,0.41928343559791154,4,3,MEC LII III Pyramidal Multiform; CA1 O LM; CA2 Pyramidal
81,3.2744812791687494e-06,-1.7734598881228086e-21,3.2744812791687494e-06,CA1 Oriens Bistratified,CA1,I,0.6744735346399479,4,3,CA1 Oriens Bistratified; CA3 Trilaminar; MEC LII III Pyramidal Multiform
82,1.4776582413239514e-07,2.902824574202005e-21,1.4776582413239514e-07,CA3 Trilaminar,CA3,I,0.48459901879981293,4,3,CA3 Trilaminar; EC LIII Pyramidal; DG MOPP
83,8.492493008944044e-06,-2.5294385593579704e-21,8.492493008944044e-06,MEC LV Pyramidal,MEC,E,0.44921034628046275,6,1,MEC LV Pyramidal
84,-1.4912111558130887e-06,2.0989985885428702e-27,1.4912111558130887e-06,EC LI II Pyramidal Fan,EC,E,0.8722342185236424,6,1,EC LI II Pyramidal Fan
