rank,cell_type,region,ei,loading_real,loading_imag,loading_magnitude,energy_fraction
1,MEC LV Pyramidal,MEC,E,0.4490961788079629,0.010127062036911839,0.44921034628046275,0.20178993520541325
2,EC LV Deep Pyramidal,EC,E,-0.3976772762395593,-0.008967572286715535,0.3977783721999377,0.15822763339003218
3,MEC LV Multipolar Pyramidal,MEC,E,-0.2815056949351454,-0.0063479178200071575,0.2815772582109015,0.0792857523415687
4,DG Neurogliaform,DG,I,-0.28091842763441705,-0.00633467501664468,0.28098984161737894,0.07895529109215971
5,MEC LII Oblique Pyramidal,MEC,E,-0.27967900665215967,-0.006306726230239184,0.2797501055543714,0.07826012155768194
6,DG Semilunar Granule,DG,E,-0.24647151983916066,-0.00555790160220981,0.24653417686407217,0.06077910036204562
7,EC LI II Pyramidal Fan,EC,E,0.23406359250665235,0.0052781044100377525,0.23412309523685068,0.05481362372328345
