rank,cell_type,region,ei,loading_real,loading_imag,loading_magnitude,energy_fraction
1,CA1 SO SO,CA1,I,0.17615398332714355,-0.19928831837812516,0.26598131453919943,0.07074605968400054
2,DG MOPP,DG,I,-0.2545848739951346,0.012063527456913983,0.2548705294101738,0.06495898676182227
3,DG Basket,DG,I,0.23738968873135535,-0.08013967846322471,0.2505518556709545,0.06277623238015882
4,CA1 Schaffer Collateral Associated,CA1,I,0.12224370973620863,-0.21654671659665062,0.2486684641020259,0.06183600503886054
5,EC LIII V Bipolar Pyramidal,EC,E,0.1485025091298612,-0.1784394540244229,0.23215002470471255,0.05389363397039865
6,CA3 Spiny Lucidum,CA3,I,-0.14609111131605612,0.15316564959863432,0.21166560661225037,0.04480232902253193
7,DG Total Molecular Layer,DG,I,-0.195077385005739,0.06387331206080153,0.20526808357436835,0.04213498613429387
