variant,component,z_real,z_imag,rho_MII_over_z,spectral_radius,spectral_abscissa,dominant_eigenvalue,dominant_real,dominant_imag
with_self,M_EE,0.850000000000001,0.0,0.1822056012326772,0.8856390292873784,0.8856390292873784,(0.8856390292873784+0j),0.8856390292873784,0.0
with_self,inhibitory_feedback,0.850000000000001,0.0,0.1822056012326772,0.09884220697104601,0.005187558842569199,(0.005187558842569199+0j),0.005187558842569199,0.0
with_self,M_eff_E,0.850000000000001,0.0,0.1822056012326772,0.8499999999999988,0.8499999999999988,(0.8499999999999988+0j),0.8499999999999988,0.0
no_self,M_EE,0.8500000000000013,0.0,0.13690687650089245,0.9958967689458833,0.9958967689458833,(0.9958967689458833+0j),0.9958967689458833,0.0
no_self,inhibitory_feedback,0.8500000000000013,0.0,0.13690687650089245,0.31055412809005095,0.015561307264783289,(0.015561307264783289+0j),0.015561307264783289,0.0
no_self,M_eff_E,0.8500000000000013,0.0,0.13690687650089245,0.8499999999999962,0.8499999999999962,(0.8499999999999962+0j),0.8499999999999962,0.0
