variant,motif,E_source,I_first,I_second,E_receiver,E_to_I,I_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.299683690694642,-0.15214480083416437,-0.012507705738984066,0.0024732751870744914,0.0024732751870744914
with_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Basket CCK+,CA1 Pyramidal,39.80037699791529,-0.005660376360334409,-0.010140342216864658,0.0022844681431118227,0.0022844681431118227
with_self,E-I-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.1333615607770113,-0.15214480083416437,-0.013035349849420346,0.0022477514499094375,0.0022477514499094375
with_self,E-I-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.1333615607770113,-0.15214480083416437,-0.012507705738984066,0.002156767101351883,0.002156767101351883
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket,CA1 Basket CCK+,CA1 Pyramidal,11.431332471317024,-0.016617144153359402,-0.010140342216864658,0.0019262198555250586,0.0019262198555250586
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Horizontal Basket,CA1 Pyramidal,11.316976304427392,-0.04940585179567662,-0.002771323273397275,0.0015495157208238232,0.0015495157208238232
with_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Basket,CA1 Pyramidal,39.80037699791529,-0.006235448607583508,-0.006109812337908343,0.0015162917118815159,0.0015162917118815159
with_self,E-I-I-E,CA3c Pyramidal,CA1 Basket,CA1 Basket,CA1 Pyramidal,11.431332471317024,-0.021270928243014544,-0.006109812337908343,0.0014856317411299058,0.0014856317411299058
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG Basket,DG Granule,7.271624687645916,-0.0264263414763691,-0.007695462289682239,0.0014787787880712554,0.0014787787880712554
with_self,E-I-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.4271033955535415,-0.15214480083416437,-0.006770554737192779,0.0014700659180384055,0.0014700659180384055
with_self,E-I-I-E,CA3c Pyramidal,CA1 LMR,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,11.123693383885314,-0.0021334343256661685,-0.061375639797058644,0.0014565463863325848,0.0014565463863325848
with_self,E-I-I-E,CA3c Pyramidal,CA1 Schaffer Collateral Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,2.9515463436816805,-0.007417213388990292,-0.061375639797058644,0.00134365079256697,0.00134365079256697
with_self,E-I-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.299683690694642,-0.15214480083416437,-0.006770554737192779,0.0013388102809323602,0.0013388102809323602
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,13.234782334439362,-0.15214480083416437,-0.0006559120416112982,0.0013207466661623378,0.0013207466661623378
with_self,E-I-I-E,DG Semilunar Granule,DG AIPRIM,DG AIPRIM,DG Hilar Ectopic Granule,1.4233047794925169,-0.08883657395493359,-0.01025433471392539,0.001296573670932732,0.001296573670932732
with_self,E-I-I-E,CA3c Pyramidal,CA1 Trilaminar,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,5.378805771392535,-0.003914431000617468,-0.061375639797058644,0.0012922618899539483,0.0012922618899539483
with_self,E-I-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.1333615607770113,-0.15214480083416437,-0.006770554737192779,0.0011674810728530627,0.0011674810728530627
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG Total Molecular Layer,DG Hilar Ectopic Granule,7.271624687645916,-0.021826286219359177,-0.007010367091328632,0.0011126333196084992,0.0011126333196084992
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG MOLAX,DG Granule,7.271624687645916,-0.029344652724835954,-0.004992520671627936,0.0010653205422427436,0.0010653205422427436
with_self,E-I-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Basket,CA3c Pyramidal,5.301567160692714,-0.028833302957937033,-0.006846212889712746,0.0010465236867716419,0.0010465236867716419
with_self,E-I-I-E,CA2 Pyramidal,CA1 Perforant Path Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,1.9098963002440683,-0.008822736515287385,-0.061375639797058644,0.0010342109443867331,0.0010342109443867331
with_self,E-I-I-E,EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,1.8830176189050778,-0.008822736515287385,-0.061375639797058644,0.0010196561089184854,0.0010196561089184854
with_self,E-I-I-E,CA3c Pyramidal,CA1 Perforant Path Associated QuadD,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,30.67715764908782,-0.0005355853290817653,-0.061375639797058644,0.0010084162204185097,0.0010084162204185097
with_self,E-I-I-E,DG Semilunar Granule,DG AIPRIM,DG AIPRIM,DG Mossy,1.4233047794925169,-0.08883657395493359,-0.0078046510407382115,0.0009868319430315542,0.0009868319430315542
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,0.9043360344166405,-0.08280305191975115,-0.013035349849420346,0.0009761102467141037,0.0009761102467141037
no_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,70.31283782917016,-0.006915380529041443,-0.10842850578873131,0.05272227987129768,0.05272227987129768
no_self,E-I-I-E,CA3c Pyramidal,CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,30.06696648635013,-0.008598262673898608,-0.10842850578873131,0.028031335862493123,0.028031335862493123
no_self,E-I-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,9.36594726300623,-0.026805963127704086,-0.10842850578873131,0.02722241164510898,0.02722241164510898
no_self,E-I-I-E,CA3c Pyramidal,CA1 Bistratified,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,11.138254913475604,-0.017662086734922696,-0.10842850578873131,0.021330578756632714,0.021330578756632714
no_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Basket,CA1 Pyramidal,19.992994529962473,-0.07643446342285036,-0.01079382348826782,0.016494622478497006,0.016494622478497006
no_self,E-I-I-E,CA3c Pyramidal,CA1 OR LM,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,20.459781542108733,-0.006273336823626981,-0.10842850578873131,0.013916918092506971,0.013916918092506971
no_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Basket CCK+,CA1 Pyramidal,70.31283782917016,-0.009999833044222382,-0.01791430864747936,0.012595848489040188,0.012595848489040188
no_self,E-I-I-E,CA3c Pyramidal,CA1 Basket,CA1 Basket CCK+,CA1 Pyramidal,20.195020420764898,-0.029356469716362295,-0.01791430864747936,0.010620578592847069,0.010620578592847069
no_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Horizontal Basket,CA1 Pyramidal,19.992994529962473,-0.08728222964579917,-0.0048959235713971795,0.008543548882365576,0.008543548882365576
no_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Basket,CA1 Pyramidal,70.31283782917016,-0.01101577723145961,-0.01079382348826782,0.008360362006200266,0.008360362006200266
no_self,E-I-I-E,DG Granule,DG AIPRIM,DG Basket,DG Granule,12.8463247331506,-0.04668576538216057,-0.013595092127475665,0.008153527384268826,0.008153527384268826
