variant,ii_chain_order,motif_length,fro_norm,signed_sum,positive_sum,negative_sum,max_abs,spectral_bound,relative_contribution,cumulative_energy,passes_decay_rule,passes_cumulative_energy_rule,passes_spectral_radius_rule,null_mean_fro,null_sd_fro,null_z,passes_null_significance_rule
with_self,0,E->I->E,1.6142127251692588,-4.027308354084938,0.0,-4.027308354084938,1.543009024792858,1.0,0.9629191748321642,0.9629191748321642,True,False,True,1.6142127251692582,6.728967680073322e-16,0.9899494936611666,False
with_self,1,E->I->I->E,0.05584491764019451,0.2815922090448719,0.2815922090448719,0.0,0.027367900799784888,0.13164354689060948,0.033312921633069,0.9962320964652331,True,False,True,0.04832719909238859,0.021466994469707446,0.3501989325247341,False
with_self,2,E->I->I->I->E,0.005533721263873042,-0.028042440322338005,0.0,-0.028042440322338005,0.003066861358344821,0.017330023437940097,0.003301006261489548,0.9995331027267227,False,False,False,0.0032041562727272805,0.0017793011493435827,1.3092584085640482,False
with_self,3,E->I->I->I->I->E,0.0006818312455513832,0.003183613493118167,0.003183613493118167,0.0,0.0004037325242807579,0.002281385753067828,0.0004067297761342341,0.9999398325028569,False,False,False,0.00020994601881564777,8.267276247654185e-05,5.707868136977175,True
with_self,4,E->I->I->I->I->I->E,8.769578503359082e-05,-0.00038139597629443974,0.0,-0.00038139597629443974,5.314878149578481e-05,0.0003003297123595531,5.231277863451964e-05,0.9999921452814914,False,False,False,1.553009209615057e-05,6.780581820432136e-06,10.642994192619451,True
with_self,5,E->I->I->I->I->I->I->E,1.1439944792859912e-05,4.711652798695789e-05,4.711652798695789e-05,0.0,6.99669410902021e-06,3.953646857164808e-05,6.824219651044518e-06,0.9999989695011424,False,False,False,1.1347161734868256e-06,6.051543683039432e-07,17.02909069012489,True
with_self,6,E->I->I->I->I->I->I->I->E,1.5004155740375035e-06,-5.941882678964901e-06,0.0,-5.941882678964901e-06,9.210696290200533e-07,5.204720954300862e-06,8.950362637650673e-07,0.9999998645374062,False,False,False,8.574783015191734e-08,5.597028940907468e-08,25.27533373190349,True
with_self,7,E->I->I->I->I->I->I->I->I->E,1.972113273934346e-07,7.599734373969476e-07,7.599734373969476e-07,0.0,1.2125287289741766e-07,6.851679270000431e-07,1.1764160056496268e-07,0.9999999821790068,False,False,False,6.702851987703597e-09,5.436486628039512e-09,35.04257224199805,True
with_self,8,E->I->I->I->I->I->I->I->I->I->E,2.5943969577675882e-08,-9.813355148539468e-08,0.0,-9.813355148539468e-08,1.5962158258892313e-08,9.019793612597187e-08,1.5476241382613894e-08,0.9999999976552482,False,False,False,5.420793241328207e-10,5.301545033313857e-10,47.91412709676636,True
with_self,9,E->I->I->I->I->I->I->I->I->I->I->E,3.4143231319738406e-09,1.2753095624467479e-08,1.2753095624467479e-08,0.0,2.10131512922982e-09,1.1873976233835576e-08,2.036731071182633e-09,0.9999999996919793,False,False,False,4.4763809028920713e-11,5.141500956911446e-11,65.53649121499045,True
with_self,10,E->I->I->I->I->I->I->I->I->I->I->I->E,4.4941185906123315e-10,-1.6644391517782225e-09,0.0,-1.6644391517782225e-09,2.766245767467129e-10,1.5631323471169162e-09,2.680856678549945e-10,0.999999999960065,False,False,False,3.79591564390414e-12,4.977501985794283e-12,89.52602021839677,True
with_self,11,E->I->I->I->I->I->I->I->I->I->I->I->I->E,5.915842591220295e-11,2.1784908067639186e-10,2.1784908067639186e-10,0.0,3.64158404400509e-11,2.057762864339142e-10,3.528951406189362e-11,0.9999999999953545,False,False,False,3.307019425245004e-13,4.846946963946056e-13,121.37067809338046,True
with_self,12,E->I->I->I->I->I->I->I->I->I->I->I->I->I->E,7.78759546763222e-12,-2.856718780181835e-11,0.0,-2.856718780181835e-11,4.793910398530794e-12,2.708912021213847e-11,4.645499867951312e-12,1.0,False,False,False,2.953952825839842e-14,4.7433979445964163e-14,163.5548193507914,True
no_self,0,E->I->E,5.037970821202528,-12.569261572224097,0.0,-12.569261572224097,4.815743503040147,1.0,0.967480968381673,0.967480968381673,True,False,True,5.0379708212025225,5.383174144058657e-15,0.9899494936611666,False
no_self,1,E->I->I->E,0.15537849902513953,0.5640596822643813,0.5640596822643813,0.0,0.08709506857110792,0.09891521827189523,0.029838549296450897,0.9973195176781239,True,False,True,0.2921496525852267,0.20183589254801726,-0.6776354385409867,False
no_self,2,E->I->I->I->E,0.012629415256561291,-0.047911296746554366,0.0,-0.047911296746554366,0.007570553608190268,0.009784220405776676,0.002425325460617827,0.9997448431387417,False,False,False,0.02463704975308505,0.011069064685490418,-1.0847921516136445,False
no_self,3,E->I->I->I->I->E,0.0011974269140103454,0.0041958566111627935,0.0041958566111627935,0.0,0.0007412844566210825,0.0009678082970577312,0.00022995126241252912,0.9999747944011542,False,False,False,0.002878814629656662,0.0016219959877864776,-1.0366164456059415,False
no_self,4,E->I->I->I->I->I->E,0.00011830336509545949,-0.00040449996601848374,0.0,-0.00040449996601848374,7.357532948847982e-05,9.57309689488167e-05,2.2718721145361032e-05,0.9999975131222996,False,False,False,0.0003136269757627642,0.00019442941286223754,-1.0045990871026327,False
no_self,5,E->I->I->I->I->I->I->E,1.1670065290221568e-05,3.887955441584343e-05,3.887955441584343e-05,0.0,7.267482605188824e-06,9.469249688952228e-06,2.2410939778658613e-06,0.9999997542162774,False,False,False,3.5726105234703164e-05,2.6097408251890485e-05,-0.921778887477801,False
no_self,6,E->I->I->I->I->I->I->I->E,1.1533571020255491e-06,-3.7814507461771205e-06,0.0,-3.7814507461771205e-06,7.192061748253982e-07,9.366528998537856e-07,2.214881914880191e-07,0.9999999757044689,False,False,False,4.077958634667661e-06,3.3424702454868107e-06,-0.8749820695011635,False
no_self,7,E->I->I->I->I->I->I->I->I->E,1.1400173332218198e-07,3.68806160073792e-07,3.68806160073792e-07,0.0,7.112118445947175e-08,9.264922603404082e-08,2.189264512758876e-08,0.999999997597114,False,False,False,4.7641254039120504e-07,4.457429336970993e-07,-0.813048911539888,False
no_self,8,E->I->I->I->I->I->I->I->I->I->E,1.1274952692999716e-08,-3.6103335070500756e-08,0.0,-3.6103335070500756e-08,7.03528584011079e-09,9.164418415879306e-09,2.1652174133230057e-09,0.9999999997623314,False,False,False,5.578125375253878e-08,5.88322998002213e-08,-0.7564943272772018,False
no_self,9,E->I->I->I->I->I->I->I->I->I->I->E,1.115279026039975e-09,3.5424309517353493e-09,3.5424309517353493e-09,0.0,6.958437855835349e-10,9.065004479416778e-10,2.1417576052403017e-10,0.9999999999765072,False,False,False,6.678334830550937e-09,7.92589997054467e-09,-0.7018831710197154,False
no_self,10,E->I->I->I->I->I->I->I->I->I->I->I->E,1.1033743672172077e-10,-3.482298497702144e-10,0.0,-3.482298497702144e-10,6.882851181071457e-11,8.966668967172186e-11,2.1188961571397443e-11,0.9999999999976962,False,False,False,8.010876279356953e-10,1.0612785889952827e-09,-0.6508660387353249,False
no_self,11,E->I->I->I->I->I->I->I->I->I->I->I->I->E,1.0916345114615268e-11,3.428190836189242e-11,3.428190836189242e-11,0.0,6.807962487162159e-12,8.869400180596661e-12,2.096351193267849e-12,0.9999999999997925,False,False,False,9.767692335844988e-11,1.4364749401906194e-10,-0.6039825395932179,False
no_self,12,E->I->I->I->I->I->I->I->I->I->I->I->I->I->E,1.0800464569159695e-12,-3.378534356029886e-12,0.0,-3.378534356029886e-12,6.733987547060761e-13,8.773186548045057e-13,2.0740977451410507e-13,0.9999999999999999,False,False,False,1.1969866932895707e-11,1.9424799974324554e-11,-0.5606142915434784,False
