variant,motif,E_source,I_middle,E_receiver,E_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Pyramidal,5.301567160692714,-0.002592428749073166,-0.013743935122521988,0.013743935122521988
with_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,DG Mossy,5.301567160692714,-0.00224810420245183,-0.011918475413533906,0.011918475413533906
with_self,E-I-E,CA3c Pyramidal,CA1 Bistratified,CA1 Pyramidal,6.304776742651966,-0.0018765274589439354,-0.011831086680097516,0.011831086680097516
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Mossy,1.4233047794925169,-0.0078046510407382115,-0.011108397128553943,0.011108397128553943
with_self,E-I-E,CA3 Pyramidal,CA1 Horizontal Basket,CA1 Pyramidal,3.8661904704050936,-0.002771323273397275,-0.010714463630020394,0.010714463630020394
with_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Granule,1.4233047794925169,-0.007523541454112081,-0.010708292510347805,0.010708292510347805
with_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Hilar Ectopic Granule,1.449958793947125,-0.007010367091328632,-0.010164743412869479,0.010164743412869479
with_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.4271033955535415,-0.006770554737192779,-0.00966228165522893,0.00966228165522893
with_self,E-I-E,CA3c Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,0.8769748772071787,-0.01025433471392539,-0.008992793926586029,0.008992793926586029
with_self,E-I-E,CA2 Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,0.8708195630835667,-0.01025433471392539,-0.008929675275293158,0.008929675275293158
with_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,1.299683690694642,-0.006770554737192779,-0.008799579568884804,0.008799579568884804
with_self,E-I-E,DG Granule,DG Basket,DG Granule,1.1297228310496044,-0.007695462289682239,-0.00869373944413529,0.00869373944413529
with_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,13.234782334439362,-0.0006559120416112982,-0.008680853101263266,0.008680853101263266
with_self,E-I-E,EC LIII Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,0.1402109731654875,-0.061375639797058644,-0.008605538184600017,0.008605538184600017
with_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Granule,1.449958793947125,-0.005916812634012218,-0.008579134510823467,0.008579134510823467
with_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Radiatum Giant,11.316976304427392,-0.0007419300691713537,-0.008396405012354386,0.008396405012354386
no_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,44.323672451710536,-0.10842850578873131,-4.8059495750081265,4.8059495750081265
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,23.381062547084507,-0.023028737643786608,-0.5384363552297742,0.5384363552297742
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,23.381062547084507,-0.02209658178077641,-0.5166415606931012,0.5166415606931012
no_self,E-I-E,CA2 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.3740943920362176,-0.10842850578873131,-0.3658480133186249,0.3658480133186249
no_self,E-I-E,EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,3.3266095060978413,-0.10842850578873131,-0.3606992980887784,0.3606992980887784
no_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Pyramidal,19.992994529962473,-0.01791430864747936,-0.3581606747971143,0.3581606747971143
no_self,E-I-E,CA3 Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,2.6192180186961753,-0.10842850578873131,-0.2839978961021476,0.2839978961021476
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,23.381062547084507,-0.011961115777237264,-0.2796635961205038,0.2796635961205038
no_self,E-I-E,DG Granule,DG AIPRIM,DG Hilar Ectopic Granule,12.8463247331506,-0.018115692065530733,-0.23272006303956755,0.23272006303956755
no_self,E-I-E,CA3c Pyramidal,CA1 Basket,CA1 Pyramidal,20.195020420764898,-0.01079382348826782,-0.2179814857637004,0.2179814857637004
no_self,E-I-E,DG Granule,DG AIPRIM,DG Mossy,12.8463247331506,-0.013787989067777773,-0.1771249849818037,0.1771249849818037
no_self,E-I-E,DG Granule,DG AIPRIM,DG Granule,12.8463247331506,-0.013291370335304373,-0.17074525947588476,0.17074525947588476
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,23.381062547084507,-0.007251960273896655,-0.1695585367529498,0.1695585367529498
no_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Pyramidal,70.31283782917016,-0.002307841907898251,-0.1622709138054124,0.1622709138054124
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,23.381062547084507,-0.00613865097496751,-0.14352818240043666,0.14352818240043666
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal,23.381062547084507,-0.004402155496728409,-0.10292707301099879,0.10292707301099879
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LII Oblique Pyramidal,23.381062547084507,-0.00420476699441574,-0.09831192009235096,0.09831192009235096
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal Stellate,23.381062547084507,-0.003878851618261496,-0.090691672297432,0.090691672297432
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal,23.381062547084507,-0.0036731755046561622,-0.08588274622078443,0.08588274622078443
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,23.381062547084507,-0.0031949910170073186,-0.07470228480602126,0.07470228480602126
no_self,E-I-E,CA3 Pyramidal,CA1 Trilaminar,SUB CA1 Projecting Pyramidal,70.31283782917016,-0.0010306794228495122,-0.07246999511268046,0.07246999511268046
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Pyramidal,9.36594726300623,-0.006730103735357819,-0.06303379665992258,0.06303379665992258
no_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,2.5211743502397015,-0.023028737643786608,-0.058059462665914253,0.058059462665914253
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LI II Multipolar Pyramidal,23.381062547084507,-0.0024105782785836336,-0.05636188150620724,0.05636188150620724
no_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,2.5211743502397015,-0.02209658178077641,-0.05570933521366739,0.05570933521366739
no_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,2.296069923604401,-0.023028737643786608,-0.05287559188247491,0.05287559188247491
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Granule,9.36594726300623,-0.005563539736436624,-0.052107819767105,0.052107819767105
no_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,2.296069923604401,-0.02209658178077641,-0.05073529684130569,0.05073529684130569
no_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,CA1 Pyramidal,44.323672451710536,-0.0011408165595718463,-0.050565179513949836,0.050565179513949836
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3c Pyramidal,9.36594726300623,-0.00515767410158109,-0.048306503635181526,0.048306503635181526
no_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,DG Granule,44.323672451710536,-0.00104864915386336,-0.04647998161260297,0.04647998161260297
no_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,2.0022390146933344,-0.023028737643786608,-0.0461090369695266,0.0461090369695266
no_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Hilar Ectopic Granule,2.5144635727239986,-0.018115692065530733,-0.0455512477934622,0.0455512477934622
no_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,2.0022390146933344,-0.02209658178077641,-0.04424263813283244,0.04424263813283244
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Pyramidal,9.36594726300623,-0.004579881799280637,-0.04289493140286454,0.04289493140286454
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,DG Mossy,9.36594726300623,-0.003971585149013816,-0.03719765705620214,0.03719765705620214
no_self,E-I-E,CA3c Pyramidal,CA1 Bistratified,CA1 Pyramidal,11.138254913475604,-0.003315143746241921,-0.036924916120457,0.036924916120457
no_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Mossy,2.5144635727239986,-0.013787989067777773,-0.03466939625204393,0.03466939625204393
no_self,E-I-E,CA3 Pyramidal,CA1 Horizontal Basket,CA1 Pyramidal,6.8301570001840775,-0.0048959235713971795,-0.03343992665354467,0.03343992665354467
no_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Granule,2.5144635727239986,-0.013291370335304373,-0.033420666539707204,0.033420666539707204
no_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Hilar Ectopic Granule,2.5615515537233087,-0.012384777270862537,-0.03172424546069505,0.03172424546069505
no_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,2.5211743502397015,-0.011961115777237264,-0.030156058297818,0.030156058297818
no_self,E-I-E,CA3c Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,1.549296689439766,-0.018115692065530733,-0.028066581744037,0.028066581744037
no_self,E-I-E,CA2 Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,1.5384224807913454,-0.018115692065530733,-0.02786958792870588,0.02786958792870588
no_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,2.296069923604401,-0.011961115777237264,-0.027463558188864562,0.027463558188864562
no_self,E-I-E,DG Granule,DG Basket,DG Granule,1.9958106983675687,-0.013595092127475665,-0.027133230313308644,0.027133230313308644
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,23.381062547084507,-0.0011587587980493449,-0.0270930119341762,0.0270930119341762
no_self,E-I-E,EC LIII Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,0.24770196067669004,-0.10842850578873131,-0.026857953477112582,0.026857953477112582
no_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Granule,2.5615515537233087,-0.010452862977219472,-0.02677554740015339,0.02677554740015339
no_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Radiatum Giant,19.992994529962473,-0.0013107214697228335,-0.026205247174472982,0.026205247174472982
