cell_type,region,ei_type,in_matrix,in_netlist,n_outgoing,outgoing_summed_strength,outgoing_summed_abs_strength,n_incoming,incoming_summed_strength,incoming_summed_abs_strength,self_connection_strength
CA3 Trilaminar,CA3,I,True,True,41,-4282.166768128709,4282.166768128709,8,2613.6427414628433,2693.3260446674167,-10.98193367104684
DG Granule,DG,E,True,True,24,896592.6306550347,896592.6306550347,20,27399.537194566783,29542.54694612665,0.0
DG Hilar Ectopic Granule,DG,E,True,True,20,29.063925684995233,29.063925684995233,25,45076.291391715225,46710.5389431904,0.9213810801264162
DG Mossy,DG,E,True,True,12,61533.96939505612,61533.96939505612,13,57131.56546900791,58111.46169744704,1751.260654032912
DG Semilunar Granule,DG,E,True,True,22,149816.6792819699,149816.6792819699,18,1780.1081920110942,1915.42050640165,40.60469398082807
DG AIPRIM,DG,I,True,True,12,-10870.153469974532,10870.153469974532,24,362401.72428903263,373369.0954840739,-2739.6290265605458
DG Axo Axonic,DG,I,True,True,3,-28.97225833174424,28.97225833174424,25,429343.25211060565,440836.97304980276,0.0
DG Basket,DG,I,True,True,7,-3069.207686976019,3069.207686976019,25,78856.8567300964,83165.54207663823,-340.4290163310755
DG HICAP,DG,I,True,True,10,-91.28959078490513,91.28959078490513,25,162321.06157463905,172934.03736483282,-14.91972159041843
DG HIPP,DG,I,True,True,12,-3263.3104618080106,3263.3104618080106,13,18204.628442035006,18550.70279086958,0.0
DG HIPROM,DG,I,True,True,30,-21.725774231962045,21.725774231962045,16,55059.35739957858,57122.70587198674,-0.7862956495514265
DG MOLAX,DG,I,True,True,13,-2444.7279337465307,2444.7279337465307,25,77910.43640701748,82894.79083672001,-215.64237195086028
DG MOPP,DG,I,True,True,12,-101.92900364390898,101.92900364390898,13,2280.750110412896,2551.7693197634926,-1.94595579001008
DG Neurogliaform,DG,I,True,True,13,-35.696849402093754,35.696849402093754,13,733.0220788326315,904.5092981196817,-0.0776534920054159
DG Total Molecular Layer,DG,I,True,True,15,-5165.529180387728,5165.529180387728,25,66450.21866766858,70352.50742331082,-364.8268314734505
EC LI II Multipolar Pyramidal,EC,E,True,True,19,702954.1694889886,702954.1694889886,13,32982.34303697102,33325.199916849575,18296.078460202098
EC LI II Pyramidal Fan,EC,E,True,True,32,188794.15468905194,188794.15468905194,13,3648.344285850023,3687.2352005972703,370.7544610085407
EC LII III Pyramidal Tripolar,EC,E,True,True,32,109442.84946455898,109442.84946455898,20,35887.61522857406,36051.990999321366,2277.297842357101
EC LIII Pyramidal,EC,E,True,True,34,19811.65568596672,19811.65568596672,20,29590.152503234258,29810.665994193343,17.545063132735347
EC LIII Pyramidal Stellate,EC,E,True,True,28,260668.34815131585,260668.34815131585,21,26836.294339947923,27037.622991270873,360.1830629372671
EC LIII Stellate,EC,E,True,True,13,2635.5990369305287,2635.5990369305287,20,38057.936754510636,38438.20989249885,60.68453664121218
EC LIII V Bipolar Pyramidal,EC,E,True,True,19,15749.772621550252,15749.772621550252,23,16613.845546333163,16674.789146949093,471.82519386819655
EC LIV VI Deep Multipolar Principal,EC,E,True,True,13,18220.645439668035,18220.645439668035,17,9356.040530881131,9356.040530881131,1969.34413375272
EC LV Deep Pyramidal,EC,E,True,True,9,2758.0441588912886,2758.0441588912886,21,14072.748831941053,14115.439014825855,398.1782023002817
LEC LIII Complex Pyramidal,LEC,E,True,True,12,4212.1094348997685,4212.1094348997685,11,24022.157355310068,24022.157355310068,744.1845437655309
LEC LIII Multipolar Principal,LEC,E,True,True,12,3464.675523932863,3464.675523932863,13,19050.00476442519,19050.00476442519,496.4095848183002
LEC LVI Multipolar Pyramidal,LEC,E,True,True,10,1320.56365009997,1320.56365009997,8,14466.251767960326,14466.251767960326,212.6675576452901
MEC LII III Pyramidal Multiform,MEC,E,True,True,20,13836.916506922298,13836.916506922298,17,29592.711478788773,30223.913634421016,307.79730677822744
MEC LII Oblique Pyramidal,MEC,E,True,True,13,1662.2982162978876,1662.2982162978876,11,23524.114215936854,23947.11113434792,0.0
MEC LII Stellate,MEC,E,True,True,41,181664.45659046868,181664.45659046868,10,34679.02289040729,35357.81253388991,0.0
MEC LIII Bipolar Complex Pyramidal,MEC,E,True,True,19,5600.022277514242,5600.022277514242,17,38908.344764014284,39876.064084778394,176.61548774480949
MEC LIII Complex Pyramidal,MEC,E,True,True,19,17243.892537265132,17243.892537265132,18,31858.28314987801,33003.23355855055,1453.7180710081302
MEC LV Multipolar Pyramidal,MEC,E,True,True,16,3799.8239439364493,3799.8239439364493,13,8854.834473896535,8854.834473896535,201.78698075346315
MEC LV Pyramidal,MEC,E,True,True,34,115089.10585368673,115089.10585368673,17,10789.528500106853,10899.440176908261,565.2447275074132
MEC LV Superficial Pyramidal,MEC,E,True,True,20,4961.293124932897,4961.293124932897,20,7281.110147633821,7470.22122107515,104.14348764746217
MEC LV VI Pyramidal Polymorphic,MEC,E,True,True,3,1501.0645596662239,1501.0645596662239,11,25011.526446752152,25011.526446752152,1336.06008642144
MEC LIII Superficial Multipolar Interneuron,MEC,I,True,True,17,-6502.103609794381,6502.103609794381,17,569846.0981617477,584337.2008343751,-4691.989954689168
MEC LIII Superficial Trilayered Interneuron,MEC,I,True,True,17,-3789.4888847928673,3789.4888847928673,17,38133.50065523931,38629.02914543698,-93.37539594034422
SUB CA1 Projecting Pyramidal,SUB,E,True,True,22,9670.056637881,9670.056637881,13,7299.564948849745,11133.322477729545,960.2428463623708
