,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA3 Basket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04112304921018069,0.0,-0.05064283828835905,0.0,0.0,0.0,0.0,0.0,-0.07923939566771307,0.0,-0.011352032745543299,0.0,0.0,-0.01422914859452836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Basket CCK+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11200547794726018,-0.24334144598012167,0.0,0.0,0.0,0.0,0.0,0.0,-0.19139971111175214,0.0,-0.028986091070349607,0.0,0.0,-0.02922735574366304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Granule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005367883328453255,0.0005897587639765778,0.00012709014304824982,0.0,0.0,0.00024445594898286606,0.0016770239296431653,0.0004566948408485659,0.0004803117405494482,0.0,6.348749122832928e-05,0.00017634687384077437,0.0,0.00015371558768419811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Horizontal Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00030136408401090206,0.0,0.0,-0.00034754602177470114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 LMR Targeting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019046448132533908,-0.04869208799609873,-0.01887825230259588,-0.014208474569420794,0.0,0.0,-0.00973900883042622,-0.0030500165642297255,-0.0031506241155372706,0.0,-0.005250409052661707,0.0,0.0,-0.0005084683288332997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Lucidum ORAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5399683053242473e-06,-3.867430929370704e-05,-8.594923039037205e-05,-2.3460921908730236e-05,-2.505769197682743e-06,-1.425934286578685e-05,-7.008038096691418e-06,0.0,-4.1649764143064485e-05,-7.22578946578727e-05,-3.882756243558954e-05,-8.078924557930806e-06,-9.028640146142607e-06,-2.5834501422926093e-06,-1.0086448914747595e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Mossy Fiber Associated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00033489947431807136,-0.0018241434438617662,-0.00422540833089962,-0.0014226767534115988,-0.00011331528287068073,0.0,-0.0005217654584208329,-0.005257258607209857,0.0,-0.0038966481070567115,0.0,-0.0004159733699767646,-0.0007204359581694668,0.0,-0.0004923599907098643,-0.007092933954623187,-0.004798661797485369,-0.0018153702740914505,0.0,-0.004711330112342317,-0.00046445054370309853,-0.0014150106672328046,-0.0010118353859881629,-0.0025424863562304462,0.0,-0.0015902936496716427,0.0,0.0,-0.0025022789511774976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Mossy Fiber Associated ORDEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010472078042689016,-0.0006801839607170063,-0.0014964697918437872,-0.000404450636256637,0.0,0.0,-0.00014959360464707698,-0.0011816040176773855,-0.0010172404339105808,0.0,0.0,-0.00012016984959432751,-0.00032227528236986194,0.0,-0.00017218664637670813,-0.0003037307375616791,-0.000161945587960447,-5.983205146336475e-05,0.0,-0.00016274794549742702,-2.1416969100628307e-05,-5.747928644980152e-05,-5.1683978950231696e-05,-0.00011517802826904302,0.0,-8.699271330334498e-05,0.0,0.0,-9.493443037205712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 O LM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022447443340841974,-0.052727195197395826,-0.02043460036680338,-0.013914498991231187,-0.004110236880878895,-0.02026393846689494,-0.008684855914192238,-0.003027178962032074,-0.007543764445146416,0.0,-0.006595738118118703,0.0,-0.0006992266335428576,-0.0013960095685054683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Pyramidal,0.8170816279941443,11.018761485889698,2.5615810707194355,1.3129037274516968,0.8411481862486458,7.536923959630858,8.035478823745985,0.20390780137393294,0.915659124105133,0.0,0.0,3.247250959452,3.043560068884522,4.281034822025091,1.3065996928667742,0.5811441057365686,3.0814329631719755,13.330136366745052,0.7455959604538437,0.6832749804218102,3.7137786588141215,0.40877394640595405,0.5622719895899623,0.02046540595670182,4.559864152455129,12.14583102460601,0.37676478464417623,82.72098568137677,2.885750150596753,3.020502648182891,0.8402355242695011,0.5106420095206172,0.868481167773957,1.372201140514332,1.7933271857020125,0.6356724134487571,0.20647870228072676,0.5342665635000293,0.13725929502038903,2.0101746506984486,0.7778461846969821,1.6941080094266083,1.042066860556641,0.0,0.0,0.1271665799649546,0.45655343361290535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
