,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
DG MOPP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7180859330548639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.304240124459272,-1.3932697170675807,-0.9639109138051223,-0.8634944620028846,-1.2664445426833297,0.0,0.0,-0.6403193377607335,-0.994142468706999,0.0,0.0,-0.38414882191334,-0.1823236348031161,-0.8878756457574856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG Mossy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.199608944084264,4.247775404996455,3.611158519843604,2.9864359436564536,3.9091638519543905,2.7881849863198824,3.4211529154656666,3.3264903542593762,3.607483824455691,0.0,0.0,0.0,1.713059158178184,3.5594928436247604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG Neurogliaform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23928801943753086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7095093937242496,-1.0678955635732406,-0.43928036193477676,-0.501577237348725,-0.6909088677616975,0.0,0.0,-0.381791551743021,-0.6182920095641042,-0.07003638202828322,0.0,0.0,-0.08267784728593008,-0.3358543525772687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8527837516485834
DG Semilunar Granule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.075931554329366,3.016339278459165,2.2380216318949606,0.0,0.0,2.363338592099643,3.562800812744512,2.78551421442218,2.837854773253238,0.0,1.8143726613028475,2.6661168097558767,0.0,2.2981237902522897,4.642407759563712,4.53992408837358,3.9184087111727735,2.689512101273272,4.323310878478486,3.201100761994671,3.894468271634184,3.661797777304292,3.943705898766513,0.0,3.712321820116205,0.0,0.0,3.7101476779751184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG Total Molecular Layer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.694212173085828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.067448728344999,-2.9766097098593343,-2.513063936820176,-2.263561383497707,-2.96393837548285,-1.527430643531457,-2.315776587324762,-2.336844917835702,-2.7446585637981835,-1.4079103726667657,-2.166747926227212,-1.2473344225604261,-1.222159085010864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EC LI II Multipolar Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4291383274414873,4.460228489471761,4.381384817936329,4.270315490563227,4.467620828543778,3.802310964007663,0.0,3.4499760644516937,4.2343878882474755,3.9559114667094355,0.0,4.33019144432697,4.204776458948238,4.382656840360914,4.487124248166687,4.142290220550648,5.610817824759375,4.44544536590022,0.0,3.367674145543006,3.0930461201421298,0.0,0.0
EC LI II Pyramidal Fan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8839758586009903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9615463211973774,4.806143618859404,3.9619832790699636,3.82819921126023,3.8572791705466374,0.0,0.0,3.369042140060117,3.3155272271579825,3.176645312979476,0.0,2.707751203926956,2.764855612546217,3.118868164292825,3.873520384041305,0.0,3.32932942374758,3.219844452971561,3.280078311623378,3.471363353777043,2.8365667270891386,0.0,2.6306464199628126,3.231861184682573,3.0061922775977066,0.0,3.3354616092087186,3.3800894781552726,3.689350989983763,3.31279407603951,3.4814617485596617,4.643565264970372,3.4541585291011296,0.0,2.838789424557188,2.591076624377768,0.0,2.83781010766395
EC LII III Pyramidal Tripolar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5038658176112634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5774735313590518,4.425184403644559,3.58094606709534,3.4484797357052352,3.4758374162458856,0.0,0.0,2.982023105484666,2.9352398065227727,2.7934939316593663,0.0,2.3238872319277797,2.3754570112663536,2.7385202813920415,3.6250443512754975,2.5717510963986334,0.0,3.2208733098027476,3.2165815989216853,3.4410680111523995,2.8035253899860364,0.0,2.6060492148187504,3.168596320041742,2.7920905044702105,0.0,3.299466433554935,3.2631073136990807,3.503796953011375,3.134576510305871,3.3960503787452723,4.54348086196826,3.392225307021316,0.0,2.6733946613637736,2.6427342904113447,0.0,2.640980810687777
EC LIII Pyramidal,3.034674452348912,0.0,2.9145399035045436,3.2300807428195784,0.0,0.0,0.0,0.0,3.31287076132112,3.3497476742442664,2.3443236902758207,0.0,0.0,0.0,3.073767171286169,0.0,3.6359823886323284,3.538319638793462,2.602947427828496,2.7353726201040205,0.0,2.558971084987215,0.0,1.2994794407175214,0.0,0.0,2.3586966498127873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2923946861041027,0.0,1.7505551945015934,1.2335325553322207,1.5490396303318625,1.6474311489694697,1.511647870111055,1.7652716810555875,1.9268023256285112,1.6680551431612858,1.2679642827047584,0.0,0.0,1.494789944796551,1.9840050140085914,2.6967564149904235,1.0709148621630529,1.477661192391208,1.1386215856239983,1.2686429001120445,1.6893166428072335,1.4765638562756263
EC LIII Pyramidal Stellate,4.161811740200136,0.0,4.0447296903778875,4.358940330371574,0.0,0.0,0.0,0.0,4.4399054525482855,4.477376613595527,3.4693992699276013,0.0,0.0,0.0,4.202867884117246,0.0,4.763961819933833,4.666227664372959,3.7285561981116278,3.8628280634764605,0.0,3.6867684183814164,0.0,2.405509026787614,0.0,0.0,3.488895044365309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4076300971779285,2.3855887504105535,0.0,2.353534923749089,1.8146635520005876,0.0,0.0,2.3146464024160522,2.6032335420365866,0.0,2.384898878842493,0.0,0.0,2.6231633407117507,2.811864719365218,3.835509523277089,2.1776770924069577,0.0,0.0,1.6841806592519801,0.0,2.5919485138966003
