,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
CA1 Neurogliaform Projecting,-2.3853838837794457,0.0,-3.9927467347869694,-4.4769392604884,0.0,0.0,0.0,0.0,-19.14142909445309,-4.518201695968075,0.0,0.0,0.0,0.0,-4.772431809903745,0.0,-15.606245516647007,-18.390781072430045,-1.0823676426565632,-3.0663438278064707,0.0,-4.341600931210583,0.0,-0.0885008473072588,0.0,0.0,-1.004103065308909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.311760072663295,-7.023325718612127,-1.7421084010730732,-1.5523330802619344,-4.069052354200564,0.0,0.0,-1.0043011889501765,-2.68322903219073,-0.3527515074631679,0.0,-0.2486502005402726,-0.1491129619800576,-1.4634236531830578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 O LM,-17.118340945676195,0.0,-31.02798927060023,-32.80960459578995,0.0,0.0,0.0,0.0,-152.77273899015964,-27.785445268573497,-10.206261645913514,0.0,0.0,0.0,-36.70599001048237,0.0,-119.13605978420657,-133.08009120504286,-7.984172222617325,-23.294151630565445,0.0,-34.52820652600604,0.0,-0.6610854299300226,0.0,0.0,-7.8428658848245245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 O LMR,-20.464787675061825,0.0,-42.391270266576,-42.399223189919866,-11.776307500802208,0.0,0.0,-3.985483441412229,-171.53790129339677,-16.1235879843771,-5.379552408881317,0.0,0.0,-23.59221537974291,-44.862460130382274,0.0,-156.45751031774483,-300.04872024930523,-10.566931539532968,-35.832543517647665,-81.99136625077122,-46.241581834132624,-21.386780082423225,-1.007892256594356,0.0,0.0,-14.322995164449924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 OR LM,-15.236236049460368,0.0,-24.39416050556704,-28.230778461537447,0.0,0.0,0.0,0.0,-126.40005509582502,-25.13249759662644,-8.922902600358176,0.0,0.0,0.0,-30.662264322244315,0.0,-109.50933028725947,-129.4087541503159,-6.623678157544628,-21.644521916288262,0.0,-30.301282402128464,0.0,-0.5961143021861562,0.0,0.0,-5.931993557106948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Oriens Alveus,-22.622622368053893,-61.42474247500336,-57.68020616663935,-51.21761027173864,-32.87256080635627,-64.61293781601826,-130.68163403195305,-21.113730550814125,0.0,0.0,0.0,-11.805416979714042,-19.40447988141636,-16.97077594509375,0.0,-3.712511142888807,0.0,-137.8980520372441,-10.952037964241237,-33.11554724885432,0.0,-54.99528669936562,0.0,0.0,-10.726359439863035,-66.89123712983915,0.0,-255.6563879316011,0.0,0.0,0.0,0.0,-4.365767099118007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Oriens Bistratified,-10.649491312645038,-9.11774592824178,-30.851333132824955,-23.60397670902129,-15.449824632369598,-11.89283484750555,-29.58466701169005,-6.050526466027681,-47.5624455712388,0.0,0.0,-3.2443247505276265,-3.9811151921066825,-22.824434835097,-26.65970347015705,0.0,-47.69737301995119,-151.2738465363081,-6.6208212852424975,-19.36400280046839,-57.19183093894592,-24.368910370169875,-13.782995030620368,0.0,-3.867396373731584,-21.859625651809058,-5.365123858302302,-86.50504609022799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Perforant Path Associated,-45.89587259250515,0.0,-82.92991118933284,-85.50874083608561,0.0,0.0,0.0,0.0,-393.0028488398775,-87.15120413626512,-28.0899684038848,0.0,0.0,0.0,-94.48739475045576,0.0,0.0,-271.3804407552845,-19.914450783004348,-52.10269225121514,0.0,-69.04912590815361,0.0,-1.5741305738015243,0.0,0.0,-17.318202936507905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.26811545492321,-86.94235672817435,-27.671287435863785,-18.305547713199942,-43.701412127182,0.0,0.0,-9.66193824772566,-17.520443916769352,-6.61286046776776,0.0,-3.5658730726153816,-1.7067178638387568,-12.277602980945904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1892.76192029925
CA1 Perforant Path Associated QuadD,-2.6517218361375487,0.0,-4.994478624601806,-4.977029574362767,0.0,0.0,0.0,0.0,-23.79874158073737,-4.933204958793988,-1.64457553572124,0.0,0.0,0.0,-5.711882401744707,0.0,-16.516903437729866,0.0,0.0,-3.108890549005932,0.0,-4.369541427503683,0.0,0.0,0.0,0.0,-1.0531341181583975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Pyramidal,3874.96157969986,13696.70368235844,7061.742021617824,6573.981002668468,6747.331037968798,11541.441606593928,17544.24204022055,3436.3554065077933,0.0,0.0,0.0,2791.715370688324,3039.925395207336,9137.956266662315,7579.454650844681,983.6110407395204,0.0,17183.209099730822,0.0,4107.506974122781,0.0,4368.194651198497,0.0,0.0,5621.75319973284,15427.927297516017,0.0,80625.28866776635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5659.759259805604,5382.001268082903,6927.87660371489,0.0,3004.906539138589,10569.009270094895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3851.18781666244,3424.360693274852,1316.2618620442718,13564.64480225756,4318.325857573143
CA1 Quadrilaminar,-0.7223541406843069,-0.5222140875123154,-1.674389895376262,-1.5781680058209215,-0.7741489634103046,-0.4067121746169216,-0.812019373096461,-0.4142318120365698,-4.387124721957374,-0.2804281610211008,-0.0870714435893947,-0.1045684972743786,-0.1436742754507156,-0.8039935831951974,-1.6847263334538,-0.023918497251201,-3.623415334872757,-7.708009044670928,-0.3817999172619877,0.0,-2.2977903269531232,-1.8887601303461377,-0.652361723806575,0.0,-0.1110119958629099,-0.636528398152396,-0.3471519311671753,-2.61601073916336,0.0,0.0,0.0,0.0,-0.0213012283627442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
