,CA3 Pyramidal,CA3c Pyramidal,EC LIV VI Deep Multipolar Principal,EC LIII Pyramidal Stellate,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Oriens Alveus
CA3 Pyramidal,3278.450765697168,6774.278639391325,0.0,0.0,180218.2123930897,5590.385362984531,19387.15107140628
CA3c Pyramidal,382.3961213101277,639.8640695461409,0.0,0.0,25658.205172837872,91022.66866449673,271000.24328017404
EC LIV VI Deep Multipolar Principal,0.0,0.0,1969.34413375272,1011.5457136863564,0.0,0.0,0.0
EC LIII Pyramidal Stellate,0.0,0.0,0.0,360.1830629372671,0.0,3081.442928465794,15952.937417697553
CA1 SO SO,0.0,0.0,0.0,0.0,-65.81663566135066,0.0,-40.19727837848996
CA1 Schaffer Collateral Associated,0.0,0.0,0.0,0.0,-67.59832991786647,-16.50631386224168,-207.27657980283715
CA1 Oriens Alveus,0.0,0.0,0.0,0.0,-66.89123712983915,0.0,-52.55578248142694
