,CA3 Basket,CA3 Granule,SUB CA1 Projecting Pyramidal,CA1 Perforant Path Associated,CA1 Horizontal Basket,CA3 Axo Axonic,CA1 Oriens Alveus
CA3 Basket,-1688.150222346905,0.0,0.0,0.0,0.0,-610.1782909541363,0.0
CA3 Granule,8.750761472944552,0.0,0.0,0.0,0.0,7.96479331738352,0.0
SUB CA1 Projecting Pyramidal,0.0,0.0,960.2428463623708,1391.524144576578,0.0,0.0,291.40030992433583
CA1 Perforant Path Associated,0.0,0.0,-1892.76192029925,-272.08416505614923,0.0,0.0,-94.48739475045576
CA1 Horizontal Basket,0.0,0.0,0.0,0.0,-549.1605773609149,0.0,0.0
CA3 Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Oriens Alveus,0.0,0.0,0.0,0.0,-130.68163403195305,0.0,-52.55578248142694
