,DG Mossy,DG Granule,DG Hilar Ectopic Granule,DG Total Molecular Layer,CA3 Basket CCK+,CA2 Basket,CA1 Neurogliaform Projecting
DG Mossy,1751.260654032912,968.2502990077752,2119.754290320353,3625.543103188329,0.0,0.0,0.0
DG Granule,44908.709978571016,0.0,25114.71428869603,44715.245336109205,1530.7410797556458,45861.22691942544,0.0
DG Hilar Ectopic Granule,1.6138578915994803,0.0,0.9213810801264162,1.4983557751436258,0.0850605044587634,0.0,0.0
DG Total Molecular Layer,-145.80739289118293,-182.4684464428269,-216.1925467768688,-364.8268314734505,0.0,0.0,-48.455223978476816
CA3 Basket CCK+,0.0,0.0,0.0,0.0,-1289.6497311663295,0.0,0.0
CA2 Basket,0.0,0.0,0.0,0.0,0.0,-469.44380375494126,0.0
CA1 Neurogliaform Projecting,0.0,-1.5523330802619344,-1.0043011889501765,-1.4634236531830578,0.0,0.0,-1.5863058824702536
