,MEC LII III Pyramidal Multiform,CA1 O LM,EC LIII Stellate,EC LI II Pyramidal Fan,EC LIII Pyramidal Stellate,MEC LIII Superficial Trilayered Interneuron,CA2 Pyramidal
MEC LII III Pyramidal Multiform,307.79730677822744,0.0,129.02263388267292,8.912193003488317,175.15826890796524,303.6801070675597,0.0
CA1 O LM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EC LIII Stellate,64.21168926195364,0.0,60.68453664121218,0.0,91.4501088515022,43.32633528008472,0.0
EC LI II Pyramidal Fan,2164.0184874065267,0.0,2959.488332103365,370.7544610085407,1904.8043400508457,2844.499601354932,0.0
EC LIII Pyramidal Stellate,241.6045148791969,0.0,224.7017486044421,0.0,360.1830629372671,149.54872867130987,0.0
MEC LIII Superficial Trilayered Interneuron,-106.80409861991738,0.0,-63.54408158402155,-12.72423052841836,-32.953878264535795,-93.37539594034422,0.0
CA2 Pyramidal,0.0,3393.9627536734965,0.0,0.0,0.0,0.0,2163.138288508038
