,DG HIPROM,DG Mossy,DG Basket,DG Total Molecular Layer,CA3 O LM,CA3 Axo Axonic,CA3 Lucidum ORAX
DG HIPROM,-0.7862956495514265,-0.3152316904291632,-1.251751119313363,-0.966817413197539,-0.544261380393091,-0.5484182806344825,-0.8102901757612149
DG Mossy,2636.2598038433093,1751.260654032912,4083.684523286925,3625.543103188329,0.0,0.0,0.0
DG Basket,0.0,0.0,-340.4290163310755,-403.2172190261984,0.0,0.0,0.0
DG Total Molecular Layer,-205.9076686686365,-145.80739289118293,-324.88467420225913,-364.8268314734505,0.0,0.0,0.0
CA3 O LM,0.0,0.0,0.0,0.0,-163.1985870972566,-333.0721548394777,-128.8647277058631
CA3 Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Lucidum ORAX,0.0,0.0,0.0,0.0,-0.5761181659408119,-0.5738442163676838,-1.19506203207234
