,MEC LV Pyramidal,EC LV Deep Pyramidal,MEC LV Multipolar Pyramidal,DG Neurogliaform,MEC LII Oblique Pyramidal,DG Semilunar Granule,EC LI II Pyramidal Fan
MEC LV Pyramidal,565.2447275074132,134.7226485345119,662.4278400096001,43.56293178206653,388.1786160658594,525.4341809218159,17.464155842330424
EC LV Deep Pyramidal,172.39609835538727,398.1782023002817,169.029345615202,0.0,0.0,0.0,0.0
MEC LV Multipolar Pyramidal,115.70855122819788,28.33873628470545,201.78698075346315,0.0,0.0,0.0,0.0
DG Neurogliaform,0.0,0.0,0.0,-0.0776534920054159,0.0,-0.2097004641592638,0.0
MEC LII Oblique Pyramidal,0.0,0.0,64.19606531679433,0.0,0.0,0.0,0.0
DG Semilunar Granule,0.0,0.0,0.0,0.0,0.0,40.60469398082807,0.0
EC LI II Pyramidal Fan,688.9052098564124,426.2149282942818,0.0,509.2126286221898,2398.327204041387,580.9097213417157,370.7544610085407
