,CA1 Radiatum Giant,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,LEC LIII Complex Pyramidal,CA1 Oriens Bistratified,EC LIII Pyramidal Stellate,EC LIV VI Deep Multipolar Principal
CA1 Radiatum Giant,0.0,0.0,0.0,0.0,12.07393346016203,0.0,0.0
EC LII III Pyramidal Tripolar,0.0,2277.297842357101,1661.9274787853765,1473.3354903489894,0.0,1645.5753097666966,0.0
EC LIII Pyramidal,18.928721623651768,18.60625677457176,17.545063132735347,57.24674772751966,0.0,55.30606722486277,43.40492582775664
LEC LIII Complex Pyramidal,0.0,366.36278097895246,304.8668842320541,744.1845437655309,0.0,538.1000722266449,182.03338687850896
CA1 Oriens Bistratified,0.0,0.0,0.0,0.0,-0.7661769853824949,0.0,0.0
EC LIII Pyramidal Stellate,253.3952668500652,254.6407583376596,241.99019548048847,205.36992313739768,0.0,360.1830629372671,0.0
EC LIV VI Deep Multipolar Principal,0.0,0.0,0.0,1319.060493589653,0.0,1011.5457136863564,1969.34413375272
