,EC LII III Pyramidal Tripolar,MEC LII Stellate,LEC LIII Complex Pyramidal,MEC LIII Superficial Trilayered Interneuron,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate
EC LII III Pyramidal Tripolar,2277.297842357101,3189.046054691212,1473.3354903489894,2466.319022215889,1661.9274787853765,1645.5753097666966,2760.010200610732
MEC LII Stellate,779.0692730636243,0.0,0.0,2833.9196385886708,674.0780930568393,723.0169044557828,1016.543999391952
LEC LIII Complex Pyramidal,366.36278097895246,0.0,744.1845437655309,0.0,304.8668842320541,538.1000722266449,422.07977447495017
MEC LIII Superficial Trilayered Interneuron,-26.415122586785863,-232.2366097664517,0.0,-93.37539594034422,-33.41134185774516,-32.953878264535795,-63.54408158402155
EC LIII Pyramidal,18.60625677457176,0.0,57.24674772751966,10.773751416706329,17.545063132735347,55.30606722486277,16.121135143574193
EC LIII Pyramidal Stellate,254.6407583376596,0.0,205.36992313739768,149.54872867130987,241.99019548048847,360.1830629372671,224.7017486044421
EC LIII Stellate,69.81600034271409,0.0,54.00019845163271,43.32633528008472,65.42000887199006,91.4501088515022,60.68453664121218
