,CA3 Trilaminar,DG Neurogliaform,EC LIII Stellate,CA1 O LM,CA3 Spiny Lucidum,DG Semilunar Granule,CA1 Ivy
CA3 Trilaminar,-10.98193367104684,0.0,0.0,-20.23423228247779,-24.663260070013813,0.0,-46.03223782466036
DG Neurogliaform,0.0,-0.0776534920054159,0.0,0.0,0.0,-0.2097004641592638,0.0
EC LIII Stellate,0.0,0.0,60.68453664121218,0.0,0.0,0.0,0.0
CA1 O LM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Spiny Lucidum,0.0,-1.657234394487059,0.0,0.0,-1.48181367288471,-1.5955009063544543,0.0
DG Semilunar Granule,0.0,0.0,0.0,0.0,462.5715872249977,40.60469398082807,0.0
CA1 Ivy,0.0,0.0,0.0,-26.386777528640312,0.0,0.0,-67.16247578964757
