,DG Mossy,DG Basket,CA1 Neurogliaform Projecting,DG MOLAX,DG HIPROM,CA3 Mossy Fiber Associated,DG MOPP
DG Mossy,1751.260654032912,4083.684523286925,0.0,4049.26859400448,2636.2598038433093,0.0,0.0
DG Basket,0.0,-340.4290163310755,0.0,-371.4702751004077,0.0,0.0,0.0
CA1 Neurogliaform Projecting,0.0,-1.7421084010730732,-1.5863058824702536,-2.68322903219073,0.0,0.0,-0.3527515074631679
DG MOLAX,0.0,-193.54160983030133,-43.54691807831977,-215.64237195086028,-52.91017281444062,0.0,-24.94555165611873
DG HIPROM,-0.3152316904291632,-1.251751119313363,-0.0818954659312467,-1.2476849236611838,-0.7862956495514265,-0.542959672283536,-0.04903436665776
CA3 Mossy Fiber Associated,-23.59656396859865,-26.93622074648672,0.0,-37.72507169129948,-20.99573857476098,-41.66142560219374,0.0
DG MOPP,0.0,-8.202607806362858,-4.224995648046932,-8.866030840626395,0.0,0.0,-1.94595579001008
