,CA2 Wide Arbor Basket,CA1 Pyramidal,CA1 Schaffer Collateral Associated,CA1 Horizontal Axo Axonic,CA1 SO SO,CA1 Back Projection,MEC LV Multipolar Pyramidal
CA2 Wide Arbor Basket,-316.75689476205247,-197.19444480342665,0.0,0.0,0.0,0.0,0.0
CA1 Pyramidal,0.0,2793.7555172355333,0.0,11541.441606593928,15427.927297516017,13696.70368235844,3851.18781666244
CA1 Schaffer Collateral Associated,-13.00182434421092,-49.26603524689744,-16.50631386224168,-54.15398553978245,-67.59832991786647,-110.37910586357812,0.0
CA1 Horizontal Axo Axonic,0.0,-3.269523383454519,0.0,0.0,0.0,0.0,0.0
CA1 SO SO,0.0,-10.06782244314976,0.0,-89.27562995627311,-65.81663566135066,-47.18301121148933,0.0
CA1 Back Projection,-22.3112736398551,-79.94784956310734,-39.686257533062495,-161.94223645711918,-133.10363648265974,-196.3416727692154,0.0
MEC LV Multipolar Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,201.78698075346315
