,CA2 Wide Arbor Basket,CA1 Axo Axonic,CA1 Schaffer Collateral Associated,CA1 Basket,CA1 Ivy,CA3 Basket,CA1 Back Projection
CA2 Wide Arbor Basket,-316.75689476205247,-422.6284678666892,0.0,-971.7007924875912,-350.3181993762556,-1132.945881689944,0.0
CA1 Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 Schaffer Collateral Associated,-13.00182434421092,-91.48417716078622,-16.50631386224168,-224.264287929312,-72.5176549008722,0.0,-110.37910586357812
CA1 Basket,0.0,-280.0288878399418,0.0,-655.9736586196078,-206.0993534163676,0.0,0.0
CA1 Ivy,-13.010642126325823,-75.16046226154998,-11.722352084467524,-193.1087050685679,-67.16247578964757,0.0,-143.67488584101972
CA3 Basket,0.0,0.0,0.0,0.0,0.0,-1688.150222346905,0.0
CA1 Back Projection,-22.3112736398551,-165.9508612332082,-39.686257533062495,-370.3578392858256,-93.67401880383592,-889.189555590594,-196.3416727692154
