,CA1 Quadrilaminar,CA3 Pyramidal,CA1 Oriens Alveus,CA3c Pyramidal,CA1 Ivy,CA1 O LMR,CA1 Neurogliaform Projecting
CA1 Quadrilaminar,-1.2191589321889449,0.0,-1.6847263334538,0.0,-0.4142318120365698,-0.1436742754507156,-0.0870714435893947
CA3 Pyramidal,10138.342555159694,3278.450765697168,19387.15107140628,6774.278639391325,3025.55661956506,45159.93626242219,0.0
CA1 Oriens Alveus,-33.11554724885432,0.0,-52.55578248142694,0.0,-21.113730550814125,-19.40447988141636,0.0
CA3c Pyramidal,142847.75302391537,382.3961213101277,271000.24328017404,639.8640695461409,80694.1232836584,7743.222931340349,0.0
CA1 Ivy,-119.29858640597324,0.0,-180.43116678915868,0.0,-67.16247578964757,-46.13305832300746,0.0
CA1 O LMR,-35.832543517647665,0.0,-44.862460130382274,0.0,-3.985483441412229,0.0,-5.379552408881317
CA1 Neurogliaform Projecting,-3.0663438278064707,0.0,-4.772431809903745,0.0,0.0,0.0,-1.5863058824702536
