,EC LI II Pyramidal Fan,MEC LII III Pyramidal Multiform,MEC LIII Superficial Trilayered Interneuron,EC LV Deep Pyramidal,MEC LV Pyramidal,EC LIII Pyramidal,LEC LIII Complex Pyramidal
EC LI II Pyramidal Fan,370.7544610085407,2164.0184874065267,2844.499601354932,426.2149282942818,688.9052098564124,1657.9926157766406,1704.5371540697847
MEC LII III Pyramidal Multiform,8.912193003488317,307.79730677822744,303.6801070675597,132.4241310187943,548.8069668104904,85.25039015320776,0.0
MEC LIII Superficial Trilayered Interneuron,-12.72423052841836,-106.80409861991738,-93.37539594034422,-13.994857172250365,-43.72777356922958,-33.41134185774516,0.0
EC LV Deep Pyramidal,0.0,0.0,0.0,398.1782023002817,172.39609835538727,0.0,0.0
MEC LV Pyramidal,17.464155842330424,371.36559757132704,502.9527822034839,134.7226485345119,565.2447275074132,89.0576530512442,0.0
EC LIII Pyramidal,0.0,17.53379191328466,10.773751416706329,31.48238204973288,12.760099858249111,17.545063132735347,57.24674772751966
LEC LIII Complex Pyramidal,23.12767624896576,0.0,0.0,185.8316194118165,0.0,304.8668842320541,744.1845437655309
