,CA1 Trilaminar,CA1 Perforant Path Associated QuadD,CA1 Perforant Path Associated,DG AIPRIM,DG Axo Axonic,DG HICAP,CA1 LMR
CA1 Trilaminar,-274.6652377283173,-607.6175480609322,-120.71704608059672,0.0,0.0,0.0,-160.48546238076034
CA1 Perforant Path Associated QuadD,0.0,-16.14389456564704,-16.516903437729866,0.0,0.0,0.0,-23.79874158073737
CA1 Perforant Path Associated,0.0,-271.3804407552845,-272.08416505614923,-43.26811545492321,-86.94235672817435,-43.701412127182,-393.0028488398775
DG AIPRIM,0.0,0.0,0.0,-2739.6290265605458,-2091.281900299923,-2095.507600796262,0.0
DG Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG HICAP,0.0,0.0,0.0,-17.677784161770468,-18.225255318439626,-14.91972159041843,0.0
CA1 LMR,0.0,-106.22420407136504,-65.79293127423746,0.0,0.0,0.0,-85.05543358173746
