,CA1 R Receiving Apical Targeting,SUB CA1 Projecting Pyramidal,CA1 Perforant Path Associated,CA1 LMR,CA1 Radial Trilaminar,CA1 Neurogliaform,CA1 Horizontal Basket
CA1 R Receiving Apical Targeting,-83.34571454602052,0.0,-150.09396331252455,-213.6262003191554,-41.72554165040087,-13.884602675626368,0.0
SUB CA1 Projecting Pyramidal,460.1612013814821,960.2428463623708,1391.524144576578,529.5048308792063,257.11625948178613,103.7728535782436,0.0
CA1 Perforant Path Associated,0.0,-1892.76192029925,-272.08416505614923,-393.0028488398775,-69.04912590815361,-87.15120413626512,0.0
CA1 LMR,-40.33412743777664,0.0,-65.79293127423746,-85.05543358173746,-22.45675403260124,-5.5786005466507245,0.0
CA1 Radial Trilaminar,-20.384439849592383,0.0,-16.9673810229966,-17.96591185389517,-18.6196386319667,0.0,-17.318101019305484
CA1 Neurogliaform,0.0,0.0,-215.97799840086435,-274.6823644846484,-67.2715060115873,-59.55353517958427,0.0
CA1 Horizontal Basket,0.0,0.0,0.0,0.0,-689.3946947481963,0.0,-549.1605773609149
