,MEC LV Superficial Pyramidal,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,CA1 Neurogliaform Projecting,CA3 LMR Targeting,CA3c Pyramidal,MEC LV Multipolar Pyramidal
MEC LV Superficial Pyramidal,104.14348764746217,0.0,0.0,0.0,0.0,0.0,218.5111462490885
CA3 Spiny Lucidum,0.0,-1.48181367288471,-20.18221227999496,-3.965814709944788,-4.916249141078587,-3.556231626529906,0.0
CA3 Mossy Fiber Associated,0.0,-10.689732160934264,-41.66142560219374,0.0,-7.741885920738279,-7.305571533133388,0.0
CA1 Neurogliaform Projecting,0.0,0.0,0.0,-1.5863058824702536,0.0,0.0,0.0
CA3 LMR Targeting,0.0,0.0,-45.25573687475408,0.0,-329.7500831496275,-7.544584894619136,0.0
CA3c Pyramidal,0.0,0.0,1030.1656012476628,0.0,282.84957352592227,639.8640695461409,0.0
MEC LV Multipolar Pyramidal,138.44761428854213,0.0,0.0,0.0,0.0,0.0,201.78698075346315
