,CA3 Basket CCK+,CA3 O LM,CA3 Basket,DG HIPROM,CA3 Lucidum ORAX,CA1 Pyramidal,CA1 Basket CCK+
CA3 Basket CCK+,-1289.6497311663295,0.0,-3610.667751497859,0.0,0.0,0.0,0.0
CA3 O LM,-303.2058606456646,-163.1985870972566,-782.3590533842801,0.0,-128.8647277058631,0.0,0.0
CA3 Basket,-751.4316450105925,0.0,-1688.150222346905,0.0,0.0,0.0,0.0
DG HIPROM,-0.3017661941015643,-0.544261380393091,-1.093259959164173,-0.7862956495514265,-0.8102901757612149,0.0,0.0
CA3 Lucidum ORAX,-0.3481100139561993,-0.5761181659408119,-1.2753031576130562,0.0,-1.19506203207234,0.0,0.0
CA1 Pyramidal,0.0,0.0,0.0,0.0,0.0,2793.7555172355333,6573.981002668468
CA1 Basket CCK+,0.0,0.0,0.0,0.0,0.0,-312.7177764720282,-1112.0869456812588
