,CA3 LMR Targeting,CA2 Pyramidal,CA3 Mossy Fiber Associated ORDEN,CA3 Axo Axonic,DG HIPP,CA3c Pyramidal,CA1 Bistratified
CA3 LMR Targeting,-329.7500831496275,0.0,-46.74853823294521,-282.6086438983953,0.0,-7.544584894619136,0.0
CA2 Pyramidal,401.9931719312679,2163.138288508038,8302.254189961015,7861.199255686899,1701.5623140473656,2212.266414990227,6767.796150234705
CA3 Mossy Fiber Associated ORDEN,-2.219649850250516,0.0,-16.350481800770595,-10.09247841918225,-0.3177821162153434,-2.55488237446297,0.0
CA3 Axo Axonic,0.0,0.0,0.0,0.0,0.0,-0.6303526264759227,0.0
DG HIPP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3c Pyramidal,282.84957352592227,24424.53581944845,2468.187766148625,2239.083445413781,317.71454604696333,639.8640695461409,194432.8625157873
CA1 Bistratified,0.0,0.0,0.0,0.0,0.0,0.0,-145.31037412843256
