,CA2 Basket,CA2 Bistratified,CA3 Mossy Fiber Associated,DG HIPROM,DG Mossy,DG MOLAX,DG Granule
CA2 Basket,-469.44380375494126,-858.4160166178315,0.0,0.0,0.0,0.0,0.0
CA2 Bistratified,-61.7957104663398,-133.06277892855218,0.0,0.0,0.0,0.0,0.0
CA3 Mossy Fiber Associated,0.0,0.0,-41.66142560219374,-20.99573857476098,-23.59656396859865,-37.72507169129948,0.0
DG HIPROM,0.0,0.0,-0.542959672283536,-0.7862956495514265,-0.3152316904291632,-1.2476849236611838,-0.3212418297748023
DG Mossy,0.0,0.0,0.0,2636.2598038433093,1751.260654032912,4049.26859400448,968.2502990077752
DG MOLAX,0.0,0.0,0.0,-52.91017281444062,0.0,-215.64237195086028,-153.96422823142706
DG Granule,45861.22691942544,22415.841894656765,16762.962040262293,32190.630761502,44908.709978571016,46662.119453326166,0.0
