,CA3 Pyramidal,EC LIII Pyramidal,EC LIII Pyramidal Stellate,LEC LIII Complex Pyramidal,EC LII III Pyramidal Tripolar,EC LIV VI Deep Multipolar Principal,CA1 Ivy
CA3 Pyramidal,3278.450765697168,0.0,0.0,0.0,0.0,0.0,3025.55661956506
EC LIII Pyramidal,0.0,17.545063132735347,55.30606722486277,57.24674772751966,18.60625677457176,43.40492582775664,0.0
EC LIII Pyramidal Stellate,0.0,241.99019548048847,360.1830629372671,205.36992313739768,254.6407583376596,0.0,0.0
LEC LIII Complex Pyramidal,0.0,304.8668842320541,538.1000722266449,744.1845437655309,366.36278097895246,182.03338687850896,0.0
EC LII III Pyramidal Tripolar,0.0,1661.9274787853765,1645.5753097666966,1473.3354903489894,2277.297842357101,0.0,0.0
EC LIV VI Deep Multipolar Principal,0.0,0.0,1011.5457136863564,1319.060493589653,0.0,1969.34413375272,0.0
CA1 Ivy,0.0,0.0,0.0,0.0,0.0,0.0,-67.16247578964757
