,EC LIII Pyramidal Stellate,EC LIV VI Deep Multipolar Principal,CA3 Spiny Lucidum,CA1 Quadrilaminar,DG HIPP,CA3 Pyramidal,EC LIII Pyramidal
EC LIII Pyramidal Stellate,360.1830629372671,0.0,0.0,7290.687762963591,0.0,0.0,241.99019548048847
EC LIV VI Deep Multipolar Principal,1011.5457136863564,1969.34413375272,0.0,0.0,0.0,0.0,0.0
CA3 Spiny Lucidum,0.0,0.0,-1.48181367288471,0.0,0.0,-3.007558833007965,0.0
CA1 Quadrilaminar,0.0,0.0,0.0,-1.2191589321889449,0.0,0.0,0.0
DG HIPP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA3 Pyramidal,0.0,0.0,0.0,10138.342555159694,0.0,3278.450765697168,0.0
EC LIII Pyramidal,55.30606722486277,43.40492582775664,0.0,542.7166345839955,0.0,0.0,17.545063132735347
