,EC LIII V Bipolar Pyramidal,CA1 Axo Axonic,CA1 O LMR,MEC LIII Bipolar Complex Pyramidal,CA1 OR LM,CA1 SO SO,CA1 Neurogliaform
EC LIII V Bipolar Pyramidal,471.82519386819655,0.0,0.0,498.6740977178184,0.0,0.0,0.0
CA1 Axo Axonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA1 O LMR,0.0,-20.464787675061825,0.0,0.0,-23.59221537974291,0.0,-16.1235879843771
MEC LIII Bipolar Complex Pyramidal,33.47936501901712,0.0,0.0,176.61548774480949,0.0,0.0,0.0
CA1 OR LM,0.0,-15.236236049460368,0.0,0.0,0.0,0.0,-25.13249759662644
CA1 SO SO,0.0,-18.47372385383599,-29.074086144805907,0.0,-22.66243588134674,-65.81663566135066,0.0
CA1 Neurogliaform,0.0,-31.680838384952963,0.0,0.0,0.0,0.0,-59.55353517958427
