pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
EC LII III Pyramidal Tripolar,MEC LII Stellate,e,e,31925.578683463933,0.09989,3189.046054691212
MEC LII Stellate,MEC LIII Superficial Trilayered Interneuron,e,i,40392.24114294,0.07016,2833.9196385886708
EC LII III Pyramidal Tripolar,EC LIII Stellate,e,e,28855.30789974628,0.09565,2760.0102006107318
EC LII III Pyramidal Tripolar,MEC LIII Superficial Trilayered Interneuron,e,i,35152.7796781056,0.07016,2466.319022215889
EC LII III Pyramidal Tripolar,EC LIII Pyramidal,e,e,31577.569424004872,0.05263,1661.9274787853765
EC LII III Pyramidal Tripolar,EC LIII Pyramidal Stellate,e,e,35373.501929636644,0.04652,1645.5753097666966
EC LII III Pyramidal Tripolar,LEC LIII Complex Pyramidal,e,e,31671.01226029642,0.04652,1473.3354903489894
MEC LII Stellate,EC LIII Stellate,e,e,10627.74698789286,0.09565,1016.543999391952
MEC LII Stellate,EC LII III Pyramidal Tripolar,e,e,13369.989240837898,0.05827,779.0692730636243
MEC LII Stellate,EC LIII Pyramidal Stellate,e,e,15542.06587394202,0.04652,723.0169044557828
MEC LII Stellate,EC LIII Pyramidal,e,e,12807.86800412007,0.05263,674.0780930568393
LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,e,e,11567.0694803664,0.04652,538.1000722266449
LEC LIII Complex Pyramidal,EC LIII Stellate,e,e,4412.752477521695,0.09565,422.07977447495017
LEC LIII Complex Pyramidal,EC LII III Pyramidal Tripolar,e,e,6287.331061935,0.05827,366.36278097895246
LEC LIII Complex Pyramidal,EC LIII Pyramidal,e,e,5792.644579746419,0.05263,304.8668842320541
EC LIII Pyramidal Stellate,EC LII III Pyramidal Tripolar,e,e,4370.014730352833,0.05827,254.6407583376596
EC LIII Pyramidal Stellate,EC LIII Pyramidal,e,e,4597.951652678861,0.05263,241.99019548048847
MEC LIII Superficial Trilayered Interneuron,MEC LII Stellate,i,e,-2324.9235135294,0.09989,-232.23660976645172
EC LIII Pyramidal Stellate,EC LIII Stellate,e,e,2349.208035592704,0.09565,224.7017486044421
EC LIII Pyramidal Stellate,LEC LIII Complex Pyramidal,e,e,4414.658708886451,0.04652,205.36992313739768
EC LIII Pyramidal Stellate,MEC LIII Superficial Trilayered Interneuron,e,i,2131.538321997005,0.07016,149.54872867130987
EC LIII Stellate,EC LIII Pyramidal Stellate,e,e,1965.8234920787231,0.04652,91.4501088515022
EC LIII Stellate,EC LII III Pyramidal Tripolar,e,e,1198.146565002816,0.05827,69.81600034271409
EC LIII Stellate,EC LIII Pyramidal,e,e,1243.017459091584,0.05263,65.42000887199006
MEC LIII Superficial Trilayered Interneuron,EC LIII Stellate,i,e,-664.3395879144961,0.09565,-63.54408158402155
EC LIII Pyramidal,LEC LIII Complex Pyramidal,e,e,1230.583571098875,0.04652,57.24674772751966
EC LIII Pyramidal,EC LIII Pyramidal Stellate,e,e,1188.8664493736624,0.04652,55.30606722486277
EC LIII Stellate,LEC LIII Complex Pyramidal,e,e,1160.795323551864,0.04652,54.00019845163271
EC LIII Stellate,MEC LIII Superficial Trilayered Interneuron,e,i,617.5361356910593,0.07016,43.32633528008472
MEC LIII Superficial Trilayered Interneuron,EC LIII Pyramidal,i,e,-634.834540333368,0.05263,-33.41134185774516
MEC LIII Superficial Trilayered Interneuron,EC LIII Pyramidal Stellate,i,e,-708.3808741301762,0.04652,-32.953878264535795
MEC LIII Superficial Trilayered Interneuron,EC LII III Pyramidal Tripolar,i,e,-453.3228520128001,0.05827,-26.415122586785863
EC LIII Pyramidal,EC LII III Pyramidal Tripolar,e,e,319.3110824536083,0.05827,18.60625677457176
EC LIII Pyramidal,EC LIII Stellate,e,e,168.542970659427,0.09565,16.121135143574193
EC LIII Pyramidal,MEC LIII Superficial Trilayered Interneuron,e,i,153.559740831048,0.07016,10.773751416706329
