pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
MEC LII Stellate,CA2 Basket,e,i,159516.23252329289,0.08812,14056.57040995257
CA2 Basket,CA2 Bistratified,i,i,-8982.065675607737,0.09557,-858.4160166178315
DG Total Molecular Layer,DG MOLAX,i,i,-7452.51861466125,0.0744,-554.467384930797
MEC LII Stellate,DG MOLAX,e,i,3115.5560994381726,0.0744,231.79737379820003
DG MOLAX,DG Total Molecular Layer,i,i,-1995.5460354155348,0.0744,-148.4686250349158
MEC LII Stellate,DG Total Molecular Layer,e,i,1960.778023098145,0.0744,145.88188491850198
CA3 Mossy Fiber Associated,CA3 Lucidum ORAX,i,i,-251.617632382116,0.31002,-78.00649839110359
CA2 Bistratified,CA2 Basket,i,i,-701.2677084241919,0.08812,-61.7957104663398
CA3 Mossy Fiber Associated,DG MOLAX,i,i,-507.05741520563816,0.0744,-37.72507169129948
CA3 Mossy Fiber Associated,DG Total Molecular Layer,i,i,-499.03870437625113,0.0744,-37.12847960559308
CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,i,i,-5.693170119883896,0.10855,-0.6179936165133969
