pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
EC LI II Multipolar Pyramidal,MEC LII Stellate,e,e,241611.07233899788,0.09989,24134.5300159425
EC LI II Multipolar Pyramidal,MEC LIII Complex Pyramidal,e,e,145068.77664229058,0.09565,13875.828485835094
MEC LII Stellate,CA3 LMR Targeting,e,i,146487.2618284637,0.06811,9977.247403136664
MEC LII Stellate,MEC LIII Complex Pyramidal,e,e,33420.1948157539,0.09565,3196.6416341268605
CA1 Basket CCK+,CA1 Radial Trilaminar,i,i,-12095.67810522002,0.12477,-1509.1777571883017
MEC LIII Complex Pyramidal,MEC LII Stellate,e,e,11943.98558728188,0.09989,1193.0847203135872
MEC LII Stellate,EC LI II Multipolar Pyramidal,e,e,21641.041799244,0.05452,1179.869598894783
MEC LIII Complex Pyramidal,EC LI II Multipolar Pyramidal,e,e,10125.70150402944,0.05452,552.0532459996851
MEC LII Stellate,CA1 Neurogliaform Projecting,e,i,3713.124589105612,0.02287,84.91915935284536
CA1 Radial Trilaminar,CA1 Basket CCK+,i,i,-151.4109638687184,0.12483,-18.90063061973212
CA1 Neurogliaform Projecting,CA1 Basket CCK+,i,i,-35.8642895176512,0.12483,-4.4769392604884
CA1 Neurogliaform Projecting,CA1 Radial Trilaminar,i,i,-34.796833623552,0.12477,-4.341600931210583
