pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA3 O LM,CA3 LMR Targeting,i,i,-4414.5294707808,0.06811,-300.6736022548803
CA3 LMR Targeting,CA3 Lucidum ORAX,i,i,-466.11866121626895,0.31002,-144.5061073502677
CA3 O LM,CA3 Lucidum ORAX,i,i,-415.6658528671153,0.31002,-128.8647277058631
CA3 O LM,CA3 Mossy Fiber Associated ORDEN,i,i,-904.0737054389044,0.12381,-111.93336547039074
CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,i,i,-377.582895024192,0.12381,-46.74853823294521
CA3 Mossy Fiber Associated ORDEN,CA3 Lucidum ORAX,i,i,-56.55274498641601,0.31002,-17.53248200068869
CA1 R Receiving Apical Targeting,CA1 Neurogliaform,i,i,-196.0825120128,0.07081,-13.884602675626368
CA2 Bistratified,CA1 R Receiving Apical Targeting,i,i,-9.506003523140736,0.25936,-2.465477073761781
CA3 Mossy Fiber Associated ORDEN,CA3 LMR Targeting,i,i,-32.58919175232,0.06811,-2.2196498502505158
CA3 Lucidum ORAX,CA3 Mossy Fiber Associated ORDEN,i,i,-8.659663626239999,0.12381,-1.0721529535647742
CA3 Lucidum ORAX,CA3 O LM,i,i,-3.235891743096,0.17804,-0.5761181659408119
CA3 Lucidum ORAX,CA3 LMR Targeting,i,i,-1.5267116390399995,0.06811,-0.1039843297350143
