pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA1 Pyramidal,CA1 Back Projection,e,i,70681.71990070409,0.19378,13696.70368235844
CA1 Pyramidal,CA1 OR LM,e,i,76314.98468901217,0.11974,9137.956266662315
CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,e,e,239839.62870244664,0.02244,5382.001268082903
EC LIV VI Deep Multipolar Principal,MEC LIII Complex Pyramidal,e,e,14924.373513522622,0.09565,1427.516326568439
CA1 Back Projection,CA3 O LM,i,i,-2280.92930434824,0.17804,-406.0966533461606
CA3 O LM,CA3 Basket CCK+,i,i,-3516.2456296609603,0.08623,-303.2058606456646
CA1 Back Projection,CA3 Basket CCK+,i,i,-2744.569457272499,0.08623,-236.6642243006076
CA1 Back Projection,CA1 OR LM,i,i,-861.7617151116364,0.11974,-103.18734776746734
CA1 Back Projection,CA1 Pyramidal,i,e,-2752.07743762848,0.02905,-79.94784956310734
MEC LIII Complex Pyramidal,EC LIV VI Deep Multipolar Principal,e,e,880.8524826077702,0.02244,19.766329709718363
CA1 OR LM,CA1 Pyramidal,i,e,-228.00957513062403,0.02905,-6.623678157544628
